denoise_eng-eng: 250	 acc: --	 ppl: 29542.96	 xent: 10.29	  15.22 TFLOP/s	 41641/48367 tok/s	 123883 sents	    512 sec	
denoise_eng-eng: 500	 acc: --	 ppl: 3680.61	 xent: 8.21	  15.15 TFLOP/s	 41449/48140 tok/s	 247247 sents	   1024 sec	
denoise_eng-eng: 750	 acc: --	 ppl: 1426.38	 xent: 7.26	  15.27 TFLOP/s	 41786/48533 tok/s	 372951 sents	   1541 sec	
denoise_eng-eng: 1000	 acc: --	 ppl: 626.88	 xent: 6.44	  15.34 TFLOP/s	 41952/48731 tok/s	 496789 sents	   2049 sec	
denoise_eng-eng: 1250	 acc: --	 ppl: 84.93	 xent: 4.44	   9.40 TFLOP/s	 25729/29883 tok/s	 619731 sents	   2871 sec	
denoise_eng-eng: 1500	 acc: --	 ppl: 16.06	 xent: 2.78	  15.20 TFLOP/s	 41594/48313 tok/s	 743535 sents	   3383 sec	
denoise_eng-eng: 1750	 acc: --	 ppl: 13.71	 xent: 2.62	  15.22 TFLOP/s	 41631/48362 tok/s	 867550 sents	   3894 sec	
denoise_eng-eng: 2000	 acc: --	 ppl: 13.06	 xent: 2.57	  15.15 TFLOP/s	 41444/48134 tok/s	 992145 sents	   4411 sec	
denoise_eng-eng: 2250	 acc: --	 ppl: 12.17	 xent: 2.50	   9.41 TFLOP/s	 25754/29916 tok/s	 1115111 sents	   5232 sec	
denoise_eng-eng: 2500	 acc: --	 ppl: 11.92	 xent: 2.48	  15.21 TFLOP/s	 41623/48349 tok/s	 1240767 sents	   5748 sec	
denoise_eng-eng: 2750	 acc: --	 ppl: 12.09	 xent: 2.49	  15.03 TFLOP/s	 41117/47763 tok/s	 1364206 sents	   6263 sec	
denoise_eng-eng: 3000	 acc: --	 ppl: 12.29	 xent: 2.51	  15.04 TFLOP/s	 41146/47806 tok/s	 1484593 sents	   6768 sec	
denoise_eng-eng: 3250	 acc: --	 ppl: 11.52	 xent: 2.44	   9.39 TFLOP/s	 25673/29819 tok/s	 1606110 sents	   7585 sec	
denoise_eng-eng: 3500	 acc: --	 ppl: 11.50	 xent: 2.44	  15.07 TFLOP/s	 41238/47906 tok/s	 1728707 sents	   8095 sec	
denoise_eng-eng: 3750	 acc: --	 ppl: 11.17	 xent: 2.41	  15.07 TFLOP/s	 41225/47886 tok/s	 1851725 sents	   8608 sec	
denoise_eng-eng: 4000	 acc: --	 ppl: 11.09	 xent: 2.41	  15.09 TFLOP/s	 41281/47960 tok/s	 1973550 sents	   9115 sec	
denoise_eng-eng: 4250	 acc: --	 ppl: 11.29	 xent: 2.42	   9.50 TFLOP/s	 26003/30203 tok/s	 2097495 sents	   9935 sec	
denoise_eng-eng: 4500	 acc: --	 ppl: 11.60	 xent: 2.45	  15.31 TFLOP/s	 41896/48670 tok/s	 2222120 sents	  10445 sec	
denoise_eng-eng: 4750	 acc: --	 ppl: 10.80	 xent: 2.38	  14.94 TFLOP/s	 40890/47502 tok/s	 2344085 sents	  10957 sec	
denoise_eng-eng: 5000	 acc: --	 ppl: 10.96	 xent: 2.39	  15.11 TFLOP/s	 41352/48032 tok/s	 2467571 sents	  11470 sec	
denoise_eng-eng: 5250	 acc: --	 ppl: 10.78	 xent: 2.38	   9.21 TFLOP/s	 25195/29261 tok/s	 2587763 sents	  12291 sec	
denoise_eng-eng: 5500	 acc: --	 ppl: 10.95	 xent: 2.39	  15.01 TFLOP/s	 41065/47702 tok/s	 2710343 sents	  12806 sec	
denoise_eng-eng: 5750	 acc: --	 ppl: 11.06	 xent: 2.40	  15.38 TFLOP/s	 42058/48861 tok/s	 2835720 sents	  13319 sec	
denoise_eng-eng: 6000	 acc: --	 ppl: 11.00	 xent: 2.40	  15.13 TFLOP/s	 41399/48094 tok/s	 2960486 sents	  13838 sec	
denoise_eng-eng: 6250	 acc: --	 ppl: 10.60	 xent: 2.36	   9.43 TFLOP/s	 25789/29958 tok/s	 3084018 sents	  14664 sec	
denoise_eng-eng: 6500	 acc: --	 ppl: 10.44	 xent: 2.35	  15.09 TFLOP/s	 41296/47968 tok/s	 3208752 sents	  15183 sec	
denoise_eng-eng: 6750	 acc: --	 ppl: 10.81	 xent: 2.38	  15.20 TFLOP/s	 41608/48326 tok/s	 3333347 sents	  15698 sec	
denoise_eng-eng: 7000	 acc: --	 ppl: 10.79	 xent: 2.38	  15.41 TFLOP/s	 42175/48991 tok/s	 3459154 sents	  16211 sec	
denoise_eng-eng: 7250	 acc: --	 ppl: 10.44	 xent: 2.35	   9.58 TFLOP/s	 26218/30455 tok/s	 3584475 sents	  17033 sec	
denoise_eng-eng: 7500	 acc: --	 ppl: 10.44	 xent: 2.35	  15.04 TFLOP/s	 41151/47798 tok/s	 3707538 sents	  17548 sec	
denoise_eng-eng: 7750	 acc: --	 ppl: 10.38	 xent: 2.34	  15.46 TFLOP/s	 42298/49129 tok/s	 3834276 sents	  18063 sec	
denoise_eng-eng: 8000	 acc: --	 ppl: 10.71	 xent: 2.37	  14.92 TFLOP/s	 40825/47415 tok/s	 3956203 sents	  18576 sec	
denoise_eng-eng: 8250	 acc: --	 ppl: 10.50	 xent: 2.35	   9.29 TFLOP/s	 25423/29530 tok/s	 4078016 sents	  19399 sec	
denoise_eng-eng: 8500	 acc: --	 ppl: 10.04	 xent: 2.31	  15.11 TFLOP/s	 41346/48028 tok/s	 4200264 sents	  19908 sec	
denoise_eng-eng: 8750	 acc: --	 ppl: 10.78	 xent: 2.38	  15.05 TFLOP/s	 41160/47817 tok/s	 4321364 sents	  20415 sec	
denoise_eng-eng: 9000	 acc: --	 ppl: 10.13	 xent: 2.32	  15.08 TFLOP/s	 41273/47949 tok/s	 4443944 sents	  20925 sec	
denoise_eng-eng: 9250	 acc: --	 ppl: 10.55	 xent: 2.36	   9.55 TFLOP/s	 26126/30348 tok/s	 4567687 sents	  21743 sec	
denoise_eng-eng: 9500	 acc: --	 ppl:  9.94	 xent: 2.30	  15.25 TFLOP/s	 41700/48445 tok/s	 4692055 sents	  22257 sec	
denoise_eng-eng: 9750	 acc: --	 ppl: 10.14	 xent: 2.32	  15.07 TFLOP/s	 41216/47883 tok/s	 4814768 sents	  22769 sec	
denoise_eng-eng: 10000	 acc: --	 ppl: 10.13	 xent: 2.32	  15.29 TFLOP/s	 41826/48588 tok/s	 4940488 sents	  23287 sec	
denoise_eng-eng: 10250	 acc: --	 ppl: 10.17	 xent: 2.32	   9.40 TFLOP/s	 25709/29868 tok/s	 5062573 sents	  24104 sec	
denoise_eng-eng: 10500	 acc: --	 ppl: 10.41	 xent: 2.34	  15.04 TFLOP/s	 41155/47810 tok/s	 5184375 sents	  24612 sec	
denoise_eng-eng: 10750	 acc: --	 ppl: 10.17	 xent: 2.32	  15.72 TFLOP/s	 43028/49978 tok/s	 5312516 sents	  25123 sec	
denoise_eng-eng: 11000	 acc: --	 ppl: 10.61	 xent: 2.36	  15.27 TFLOP/s	 41791/48541 tok/s	 5438328 sents	  25640 sec	

denoise_fra-fra: 250	 acc: --	 ppl: 28653.20	 xent: 10.26	  15.85 TFLOP/s	 43289/50108 tok/s	 121424 sents	    512 sec	
denoise_fra-fra: 500	 acc: --	 ppl: 3008.08	 xent: 8.01	  15.85 TFLOP/s	 43290/50120 tok/s	 243017 sents	   1024 sec	
denoise_fra-fra: 750	 acc: --	 ppl: 848.91	 xent: 6.74	  15.77 TFLOP/s	 43078/49865 tok/s	 365346 sents	   1541 sec	
denoise_fra-fra: 1000	 acc: --	 ppl: 378.78	 xent: 5.94	  15.95 TFLOP/s	 43569/50432 tok/s	 486681 sents	   2049 sec	
denoise_fra-fra: 1250	 acc: --	 ppl: 106.90	 xent: 4.67	   9.89 TFLOP/s	 27021/31281 tok/s	 608415 sents	   2871 sec	
denoise_fra-fra: 1500	 acc: --	 ppl: 14.57	 xent: 2.68	  15.83 TFLOP/s	 43248/50067 tok/s	 729995 sents	   3383 sec	
denoise_fra-fra: 1750	 acc: --	 ppl: 12.11	 xent: 2.49	  16.12 TFLOP/s	 44031/50969 tok/s	 853715 sents	   3894 sec	
denoise_fra-fra: 2000	 acc: --	 ppl: 11.33	 xent: 2.43	  15.91 TFLOP/s	 43476/50322 tok/s	 976990 sents	   4411 sec	
denoise_fra-fra: 2250	 acc: --	 ppl: 11.15	 xent: 2.41	   9.72 TFLOP/s	 26561/30746 tok/s	 1096451 sents	   5232 sec	
denoise_fra-fra: 2500	 acc: --	 ppl: 10.44	 xent: 2.35	  16.01 TFLOP/s	 43760/50656 tok/s	 1221120 sents	   5748 sec	
denoise_fra-fra: 2750	 acc: --	 ppl: 10.46	 xent: 2.35	  15.69 TFLOP/s	 42878/49629 tok/s	 1342515 sents	   6263 sec	
denoise_fra-fra: 3000	 acc: --	 ppl: 10.70	 xent: 2.37	  15.73 TFLOP/s	 42970/49738 tok/s	 1461206 sents	   6768 sec	
denoise_fra-fra: 3250	 acc: --	 ppl: 10.09	 xent: 2.31	   9.93 TFLOP/s	 27121/31397 tok/s	 1582333 sents	   7585 sec	
denoise_fra-fra: 3500	 acc: --	 ppl: 10.52	 xent: 2.35	  15.79 TFLOP/s	 43142/49943 tok/s	 1703225 sents	   8095 sec	
denoise_fra-fra: 3750	 acc: --	 ppl:  9.82	 xent: 2.28	  15.71 TFLOP/s	 42929/49690 tok/s	 1824095 sents	   8608 sec	
denoise_fra-fra: 4000	 acc: --	 ppl:  9.93	 xent: 2.30	  16.11 TFLOP/s	 43999/50930 tok/s	 1946547 sents	   9115 sec	
denoise_fra-fra: 4250	 acc: --	 ppl:  9.93	 xent: 2.30	   9.95 TFLOP/s	 27189/31475 tok/s	 2068887 sents	   9935 sec	
denoise_fra-fra: 4500	 acc: --	 ppl:  9.68	 xent: 2.27	  15.97 TFLOP/s	 43630/50504 tok/s	 2191129 sents	  10445 sec	
denoise_fra-fra: 4750	 acc: --	 ppl:  9.72	 xent: 2.27	  15.79 TFLOP/s	 43134/49930 tok/s	 2312498 sents	  10957 sec	
denoise_fra-fra: 5000	 acc: --	 ppl:  9.93	 xent: 2.30	  15.70 TFLOP/s	 42892/49650 tok/s	 2433399 sents	  11470 sec	
