denoise_fin-fin: 10000	 acc: --	 ppl:  7.97	 xent: 2.08	  24.42 TFLOP/s	 7093/7240 tok/s	 4971541 sents	 129687 sec	
denoise_fin-fin: 10500	 acc: --	 ppl:  7.89	 xent: 2.06	  24.50 TFLOP/s	 7106/7249 tok/s	 5214169 sents	 136446 sec	
denoise_fin-fin: 11000	 acc: --	 ppl:  7.91	 xent: 2.07	  25.42 TFLOP/s	 7383/7516 tok/s	 5456379 sents	 142938 sec	
denoise_fin-fin: 11500	 acc: --	 ppl:  7.74	 xent: 2.05	  26.30 TFLOP/s	 7629/7782 tok/s	 5703920 sents	 149369 sec	
denoise_fin-fin: 12000	 acc: --	 ppl:  7.74	 xent: 2.05	  25.60 TFLOP/s	 7429/7576 tok/s	 5951433 sents	 155871 sec	
denoise_fin-fin: 12500	 acc: --	 ppl:  7.72	 xent: 2.04	  25.21 TFLOP/s	 7318/7464 tok/s	 6195545 sents	 162315 sec	
denoise_fin-fin: 13000	 acc: --	 ppl:  7.77	 xent: 2.05	  25.46 TFLOP/s	 7386/7525 tok/s	 6439340 sents	 168988 sec	

denoise_swe-swe: 500	 acc: --	 ppl: 5992.68	 xent: 8.70	  24.24 TFLOP/s	 7204/7052 tok/s	 250315 sents	   6523 sec	
denoise_swe-swe: 1000	 acc: --	 ppl: 727.52	 xent: 6.59	  23.56 TFLOP/s	 7007/6867 tok/s	 503642 sents	  12941 sec	
denoise_swe-swe: 1500	 acc: --	 ppl: 255.07	 xent: 5.54	  24.22 TFLOP/s	 7191/7052 tok/s	 752209 sents	  19456 sec	
denoise_swe-swe: 2000	 acc: --	 ppl: 37.68	 xent: 3.63	  24.07 TFLOP/s	 7154/7008 tok/s	 1004473 sents	  25890 sec	
denoise_swe-swe: 2500	 acc: --	 ppl: 16.08	 xent: 2.78	  24.79 TFLOP/s	 7367/7223 tok/s	 1263320 sents	  32288 sec	
denoise_swe-swe: 3000	 acc: --	 ppl: 11.69	 xent: 2.46	  23.67 TFLOP/s	 7025/6898 tok/s	 1520116 sents	  39038 sec	
denoise_swe-swe: 3500	 acc: --	 ppl: 10.00	 xent: 2.30	  25.23 TFLOP/s	 7488/7349 tok/s	 1775670 sents	  45475 sec	
denoise_swe-swe: 4000	 acc: --	 ppl:  9.07	 xent: 2.21	  25.07 TFLOP/s	 7446/7301 tok/s	 2034754 sents	  51910 sec	
denoise_swe-swe: 4500	 acc: --	 ppl:  8.72	 xent: 2.17	  24.17 TFLOP/s	 7177/7048 tok/s	 2291744 sents	  58324 sec	
denoise_swe-swe: 5000	 acc: --	 ppl:  8.15	 xent: 2.10	  24.64 TFLOP/s	 7325/7180 tok/s	 2552652 sents	  64745 sec	
denoise_swe-swe: 5500	 acc: --	 ppl:  7.84	 xent: 2.06	  24.35 TFLOP/s	 7235/7095 tok/s	 2815509 sents	  71346 sec	
denoise_swe-swe: 6000	 acc: --	 ppl:  7.73	 xent: 2.04	  25.25 TFLOP/s	 7492/7358 tok/s	 3072376 sents	  77738 sec	
