mt_bos-eng: 500	 acc: --	 ppl: 1182.02	 xent: 7.07	  10.90 TFLOP/s	 31423/33271 tok/s	 256020 sents	   1515 sec	
mt_bos-eng: 1000	 acc: --	 ppl: 322.13	 xent: 5.77	  10.91 TFLOP/s	 31511/33238 tok/s	 512020 sents	   3033 sec	
mt_bos-eng: 1500	 acc: --	 ppl: 204.58	 xent: 5.32	  10.96 TFLOP/s	 31625/33392 tok/s	 768032 sents	   4544 sec	
mt_bos-eng: 2000	 acc: --	 ppl: 201.95	 xent: 5.31	  10.96 TFLOP/s	 31653/33365 tok/s	 1024000 sents	   6060 sec	
mt_bos-eng: 2500	 acc: --	 ppl: 76.30	 xent: 4.33	  10.96 TFLOP/s	 31656/33373 tok/s	 1280020 sents	   7567 sec	
mt_bos-eng: 3000	 acc: --	 ppl: 23.03	 xent: 3.14	   9.01 TFLOP/s	 25957/27524 tok/s	 1536032 sents	   9401 sec	
mt_bos-eng: 3500	 acc: --	 ppl: 19.21	 xent: 2.96	  10.92 TFLOP/s	 31641/33162 tok/s	 1792020 sents	  10921 sec	
mt_bos-eng: 4000	 acc: --	 ppl: 15.49	 xent: 2.74	  10.96 TFLOP/s	 31650/33382 tok/s	 2048000 sents	  12434 sec	
mt_bos-eng: 4500	 acc: --	 ppl: 14.52	 xent: 2.68	  10.88 TFLOP/s	 31622/33021 tok/s	 2304032 sents	  13953 sec	
mt_bos-eng: 5000	 acc: --	 ppl: 14.53	 xent: 2.68	  10.92 TFLOP/s	 31599/33218 tok/s	 2560020 sents	  15463 sec	
mt_bos-eng: 5500	 acc: --	 ppl: 14.29	 xent: 2.66	   9.04 TFLOP/s	 26094/27540 tok/s	 2816032 sents	  17295 sec	
mt_bos-eng: 6000	 acc: --	 ppl: 14.20	 xent: 2.65	  10.96 TFLOP/s	 31657/33369 tok/s	 3072032 sents	  18811 sec	
mt_bos-eng: 6500	 acc: --	 ppl: 12.68	 xent: 2.54	  11.01 TFLOP/s	 31930/33406 tok/s	 3328000 sents	  20325 sec	
mt_bos-eng: 7000	 acc: --	 ppl: 13.24	 xent: 2.58	  10.91 TFLOP/s	 31473/33278 tok/s	 3584020 sents	  21837 sec	
mt_bos-eng: 7500	 acc: --	 ppl: 13.53	 xent: 2.61	  10.88 TFLOP/s	 31453/33140 tok/s	 3840020 sents	  23356 sec	
mt_bos-eng: 8000	 acc: --	 ppl: 12.93	 xent: 2.56	   9.09 TFLOP/s	 26289/27666 tok/s	 4096000 sents	  25185 sec	
