mt_cat-eng: 2500	 acc: --	 ppl: 94.72	 xent: 4.55	   9.21 TFLOP/s	 27708/26961 tok/s	 640024 sents	   4815 sec	
mt_cat-eng: 3000	 acc: --	 ppl: 25.49	 xent: 3.24	   6.90 TFLOP/s	 20761/20214 tok/s	 768032 sents	   6088 sec	
mt_cat-eng: 3500	 acc: --	 ppl: 18.32	 xent: 2.91	   9.15 TFLOP/s	 27577/26732 tok/s	 896024 sents	   7053 sec	
mt_cat-eng: 4000	 acc: --	 ppl: 15.61	 xent: 2.75	   9.11 TFLOP/s	 27428/26663 tok/s	 1024032 sents	   8019 sec	
mt_cat-eng: 4500	 acc: --	 ppl: 14.89	 xent: 2.70	   9.21 TFLOP/s	 27692/26993 tok/s	 1152016 sents	   8975 sec	
mt_cat-eng: 5000	 acc: --	 ppl: 14.44	 xent: 2.67	   9.12 TFLOP/s	 27462/26682 tok/s	 1280020 sents	   9940 sec	
mt_cat-eng: 5500	 acc: --	 ppl: 13.50	 xent: 2.60	   6.91 TFLOP/s	 20852/20201 tok/s	 1408016 sents	  11216 sec	
mt_cat-eng: 6000	 acc: --	 ppl: 13.56	 xent: 2.61	   9.16 TFLOP/s	 27585/26835 tok/s	 1536020 sents	  12175 sec	
mt_cat-eng: 6500	 acc: --	 ppl: 13.61	 xent: 2.61	   9.12 TFLOP/s	 27569/26607 tok/s	 1664024 sents	  13141 sec	
mt_cat-eng: 7000	 acc: --	 ppl: 13.54	 xent: 2.61	   9.16 TFLOP/s	 27571/26827 tok/s	 1792030 sents	  14101 sec	
mt_cat-eng: 7500	 acc: --	 ppl: 13.44	 xent: 2.60	   9.20 TFLOP/s	 27697/26925 tok/s	 1920016 sents	  15061 sec	
mt_cat-eng: 8000	 acc: --	 ppl: 12.74	 xent: 2.54	   6.86 TFLOP/s	 20653/20074 tok/s	 2048010 sents	  16344 sec	

mt_ces-eng: 500	 acc: --	 ppl: 629.67	 xent: 6.45	   8.84 TFLOP/s	 25823/26649 tok/s	 128016 sents	    958 sec	
mt_ces-eng: 1000	 acc: --	 ppl: 209.68	 xent: 5.35	   8.78 TFLOP/s	 25661/26418 tok/s	 256030 sents	   1924 sec	
mt_ces-eng: 1500	 acc: --	 ppl: 191.18	 xent: 5.25	   8.80 TFLOP/s	 25730/26494 tok/s	 384016 sents	   2888 sec	
mt_ces-eng: 2000	 acc: --	 ppl: 189.33	 xent: 5.24	   8.77 TFLOP/s	 25621/26396 tok/s	 512030 sents	   3858 sec	
mt_ces-eng: 2500	 acc: --	 ppl: 154.41	 xent: 5.04	   8.89 TFLOP/s	 25981/26738 tok/s	 640016 sents	   4815 sec	
mt_ces-eng: 3000	 acc: --	 ppl: 28.57	 xent: 3.35	   6.69 TFLOP/s	 19566/20141 tok/s	 768000 sents	   6088 sec	
mt_ces-eng: 3500	 acc: --	 ppl: 21.00	 xent: 3.04	   8.77 TFLOP/s	 25620/26426 tok/s	 896016 sents	   7053 sec	
mt_ces-eng: 4000	 acc: --	 ppl: 19.03	 xent: 2.95	   8.81 TFLOP/s	 25750/26526 tok/s	 1024010 sents	   8019 sec	
mt_ces-eng: 4500	 acc: --	 ppl: 16.61	 xent: 2.81	   8.88 TFLOP/s	 25961/26726 tok/s	 1152024 sents	   8975 sec	
mt_ces-eng: 5000	 acc: --	 ppl: 14.51	 xent: 2.67	   8.77 TFLOP/s	 25620/26429 tok/s	 1280032 sents	   9940 sec	
