mt_bos-eng: 500	 acc: --	 ppl: 7250.17	 xent: 8.89	   6.79 TFLOP/s	 31933/33840 tok/s	  76822 sents	    446 sec	
mt_bos-eng: 1000	 acc: --	 ppl: 504.74	 xent: 6.22	   6.58 TFLOP/s	 30999/32690 tok/s	 153632 sents	    907 sec	
mt_bos-eng: 1500	 acc: --	 ppl: 249.65	 xent: 5.52	   6.57 TFLOP/s	 30934/32647 tok/s	 230416 sents	   1373 sec	
mt_bos-eng: 2000	 acc: --	 ppl: 155.39	 xent: 5.05	   6.64 TFLOP/s	 31286/32957 tok/s	 307208 sents	   1830 sec	
mt_bos-eng: 2500	 acc: --	 ppl: 103.40	 xent: 4.64	   6.58 TFLOP/s	 31003/32607 tok/s	 384016 sents	   2295 sec	
mt_bos-eng: 3000	 acc: --	 ppl: 90.89	 xent: 4.51	   4.10 TFLOP/s	 19272/20461 tok/s	 460832 sents	   3033 sec	
mt_bos-eng: 3500	 acc: --	 ppl: 82.58	 xent: 4.41	   6.58 TFLOP/s	 31015/32481 tok/s	 537624 sents	   3501 sec	
mt_bos-eng: 4000	 acc: --	 ppl: 43.86	 xent: 3.78	   6.65 TFLOP/s	 31302/33004 tok/s	 614424 sents	   3959 sec	
mt_bos-eng: 4500	 acc: --	 ppl: 30.31	 xent: 3.41	   6.69 TFLOP/s	 31556/33005 tok/s	 691220 sents	   4418 sec	
mt_bos-eng: 5000	 acc: --	 ppl: 22.83	 xent: 3.13	   6.78 TFLOP/s	 31960/33598 tok/s	 768002 sents	   4869 sec	
mt_bos-eng: 5500	 acc: --	 ppl: 19.37	 xent: 2.96	   5.36 TFLOP/s	 25240/26676 tok/s	 844816 sents	   5436 sec	
mt_bos-eng: 6000	 acc: --	 ppl: 16.95	 xent: 2.83	   6.58 TFLOP/s	 30970/32664 tok/s	 921620 sents	   5899 sec	
mt_bos-eng: 6500	 acc: --	 ppl: 13.46	 xent: 2.60	   6.63 TFLOP/s	 31295/32718 tok/s	 998424 sents	   6361 sec	
mt_bos-eng: 7000	 acc: --	 ppl: 14.13	 xent: 2.65	   6.58 TFLOP/s	 30935/32764 tok/s	 1075202 sents	   6826 sec	
mt_bos-eng: 7500	 acc: --	 ppl: 13.39	 xent: 2.59	   6.65 TFLOP/s	 31331/33047 tok/s	 1152024 sents	   7282 sec	
mt_bos-eng: 8000	 acc: --	 ppl: 13.41	 xent: 2.60	   5.37 TFLOP/s	 25265/26642 tok/s	 1228808 sents	   7850 sec	
mt_bos-eng: 8500	 acc: --	 ppl: 13.29	 xent: 2.59	   6.55 TFLOP/s	 30837/32628 tok/s	 1305624 sents	   8313 sec	
mt_bos-eng: 9000	 acc: --	 ppl: 12.50	 xent: 2.53	   6.65 TFLOP/s	 31238/33201 tok/s	 1382412 sents	   8770 sec	
mt_bos-eng: 9500	 acc: --	 ppl: 12.41	 xent: 2.52	   6.52 TFLOP/s	 30694/32443 tok/s	 1459216 sents	   9235 sec	
mt_bos-eng: 10000	 acc: --	 ppl: 11.72	 xent: 2.46	   6.68 TFLOP/s	 31415/33337 tok/s	 1536032 sents	   9688 sec	
mt_bos-eng: 10500	 acc: --	 ppl: 12.52	 xent: 2.53	   5.59 TFLOP/s	 26297/27826 tok/s	 1612816 sents	  10233 sec	
mt_bos-eng: 11000	 acc: --	 ppl: 11.16	 xent: 2.41	   6.49 TFLOP/s	 30613/32141 tok/s	 1689632 sents	  10703 sec	
mt_bos-eng: 11500	 acc: --	 ppl: 11.70	 xent: 2.46	   6.63 TFLOP/s	 31194/33018 tok/s	 1766422 sents	  11161 sec	
mt_bos-eng: 12000	 acc: --	 ppl: 10.99	 xent: 2.40	   6.55 TFLOP/s	 30863/32520 tok/s	 1843224 sents	  11625 sec	
mt_bos-eng: 12500	 acc: --	 ppl: 10.26	 xent: 2.33	   6.65 TFLOP/s	 31303/33011 tok/s	 1920024 sents	  12086 sec	
mt_bos-eng: 13000	 acc: --	 ppl: 11.13	 xent: 2.41	   5.30 TFLOP/s	 24989/26311 tok/s	 1996816 sents	  12660 sec	
mt_bos-eng: 13500	 acc: --	 ppl: 10.70	 xent: 2.37	   6.44 TFLOP/s	 30272/32147 tok/s	 2073618 sents	  13132 sec	
mt_bos-eng: 14000	 acc: --	 ppl: 10.75	 xent: 2.37	   6.64 TFLOP/s	 31302/32817 tok/s	 2150406 sents	  13592 sec	
mt_bos-eng: 14500	 acc: --	 ppl: 10.21	 xent: 2.32	   6.64 TFLOP/s	 31252/33010 tok/s	 2227216 sents	  14051 sec	
mt_bos-eng: 15000	 acc: --	 ppl: 10.58	 xent: 2.36	   6.66 TFLOP/s	 31379/33054 tok/s	 2304010 sents	  14508 sec	
mt_bos-eng: 15500	 acc: --	 ppl: 10.42	 xent: 2.34	   5.26 TFLOP/s	 24808/26009 tok/s	 2380822 sents	  15084 sec	
mt_bos-eng: 16000	 acc: --	 ppl: 10.45	 xent: 2.35	   6.54 TFLOP/s	 30850/32423 tok/s	 2457632 sents	  15546 sec	
mt_bos-eng: 16500	 acc: --	 ppl:  9.95	 xent: 2.30	   6.61 TFLOP/s	 31172/32677 tok/s	 2534424 sents	  16007 sec	
mt_bos-eng: 17000	 acc: --	 ppl: 10.06	 xent: 2.31	   6.54 TFLOP/s	 30795/32464 tok/s	 2611232 sents	  16472 sec	
mt_bos-eng: 17500	 acc: --	 ppl: 10.00	 xent: 2.30	   6.54 TFLOP/s	 30837/32384 tok/s	 2688024 sents	  16939 sec	
mt_bos-eng: 18000	 acc: --	 ppl: 10.10	 xent: 2.31	   5.06 TFLOP/s	 23850/25015 tok/s	 2764832 sents	  17542 sec	
mt_bos-eng: 18500	 acc: --	 ppl: 10.18	 xent: 2.32	   6.60 TFLOP/s	 31057/32784 tok/s	 2841616 sents	  18007 sec	
mt_bos-eng: 19000	 acc: --	 ppl: 10.31	 xent: 2.33	   6.52 TFLOP/s	 30740/32225 tok/s	 2918408 sents	  18478 sec	
mt_bos-eng: 19500	 acc: --	 ppl:  9.94	 xent: 2.30	   6.60 TFLOP/s	 31102/32689 tok/s	 2995220 sents	  18942 sec	
mt_bos-eng: 20000	 acc: --	 ppl: 10.00	 xent: 2.30	   6.50 TFLOP/s	 30587/32369 tok/s	 3072030 sents	  19410 sec	
mt_bos-eng: 20500	 acc: --	 ppl:  9.73	 xent: 2.27	   5.18 TFLOP/s	 24376/25820 tok/s	 3148820 sents	  19999 sec	
mt_bos-eng: 21000	 acc: --	 ppl:  9.91	 xent: 2.29	   6.50 TFLOP/s	 30627/32190 tok/s	 3225602 sents	  20471 sec	
mt_bos-eng: 21500	 acc: --	 ppl:  9.76	 xent: 2.28	   6.48 TFLOP/s	 30530/32198 tok/s	 3302424 sents	  20940 sec	
mt_bos-eng: 22000	 acc: --	 ppl:  9.72	 xent: 2.27	   6.56 TFLOP/s	 30893/32583 tok/s	 3379232 sents	  21403 sec	
mt_bos-eng: 22500	 acc: --	 ppl:  9.82	 xent: 2.28	   6.57 TFLOP/s	 30936/32674 tok/s	 3456024 sents	  21867 sec	
mt_bos-eng: 23000	 acc: --	 ppl:  9.90	 xent: 2.29	   5.21 TFLOP/s	 24575/25825 tok/s	 3532828 sents	  22451 sec	
mt_bos-eng: 23500	 acc: --	 ppl:  9.83	 xent: 2.29	   6.55 TFLOP/s	 30856/32552 tok/s	 3609616 sents	  22916 sec	
mt_bos-eng: 24000	 acc: --	 ppl:  9.67	 xent: 2.27	   6.61 TFLOP/s	 31163/32811 tok/s	 3686406 sents	  23377 sec	
