zero_deu-tur: 500	 acc: --	 ppl: 300.71	 xent: 5.71	  15.26 TFLOP/s	 42725/47639 tok/s	 246431 sents	   1034 sec	
zero_deu-tur: 1000	 acc: --	 ppl: 245.79	 xent: 5.50	  15.07 TFLOP/s	 42256/47008 tok/s	 490600 sents	   2071 sec	
zero_deu-tur: 1500	 acc: --	 ppl: 222.30	 xent: 5.40	  15.28 TFLOP/s	 42848/47644 tok/s	 739008 sents	   3114 sec	
zero_deu-tur: 2000	 acc: --	 ppl: 132.41	 xent: 4.89	  15.21 TFLOP/s	 42540/47526 tok/s	 983941 sents	   4143 sec	
zero_deu-tur: 2500	 acc: --	 ppl: 35.99	 xent: 3.58	  15.38 TFLOP/s	 43034/48039 tok/s	 1231469 sents	   5173 sec	
zero_deu-tur: 3000	 acc: --	 ppl: 18.70	 xent: 2.93	  11.73 TFLOP/s	 32846/36587 tok/s	 1477192 sents	   6514 sec	
zero_deu-tur: 3500	 acc: --	 ppl: 17.01	 xent: 2.83	  15.31 TFLOP/s	 42889/47749 tok/s	 1723811 sents	   7544 sec	
zero_deu-tur: 4000	 acc: --	 ppl: 15.05	 xent: 2.71	  15.30 TFLOP/s	 42871/47727 tok/s	 1971697 sents	   8581 sec	
zero_deu-tur: 4500	 acc: --	 ppl: 15.87	 xent: 2.76	  14.91 TFLOP/s	 41758/46527 tok/s	 2214966 sents	   9625 sec	
zero_deu-tur: 5000	 acc: --	 ppl: 15.48	 xent: 2.74	  15.11 TFLOP/s	 42324/47165 tok/s	 2463365 sents	  10672 sec	

zero_deu-ukr: 500	 acc: --	 ppl: 271.82	 xent: 5.61	  15.48 TFLOP/s	 42553/48860 tok/s	 245068 sents	   1034 sec	
zero_deu-ukr: 1000	 acc: --	 ppl: 226.26	 xent: 5.42	  15.12 TFLOP/s	 41577/47726 tok/s	 485708 sents	   2071 sec	
zero_deu-ukr: 1500	 acc: --	 ppl: 201.29	 xent: 5.30	  15.36 TFLOP/s	 42150/48535 tok/s	 731360 sents	   3114 sec	
zero_deu-ukr: 2000	 acc: --	 ppl: 94.14	 xent: 4.54	  15.40 TFLOP/s	 42278/48628 tok/s	 974330 sents	   4143 sec	
zero_deu-ukr: 2500	 acc: --	 ppl: 46.23	 xent: 3.83	  15.57 TFLOP/s	 42761/49152 tok/s	 1220151 sents	   5173 sec	
zero_deu-ukr: 3000	 acc: --	 ppl: 18.39	 xent: 2.91	  11.93 TFLOP/s	 32840/37603 tok/s	 1465030 sents	   6514 sec	
zero_deu-ukr: 3500	 acc: --	 ppl: 14.69	 xent: 2.69	  15.58 TFLOP/s	 42787/49228 tok/s	 1711798 sents	   7544 sec	
