zero_deu-tur: 500	 acc: --	 ppl: 294.73	 xent: 5.69	  20.70 TFLOP/s	 23628/26347 tok/s	 245460 sents	   1862 sec	
zero_deu-tur: 1000	 acc: --	 ppl: 250.53	 xent: 5.52	  20.58 TFLOP/s	 23508/26155 tok/s	 488756 sents	   3720 sec	
zero_deu-tur: 1500	 acc: --	 ppl: 173.34	 xent: 5.16	  20.94 TFLOP/s	 23919/26592 tok/s	 736944 sents	   5586 sec	
zero_deu-tur: 2000	 acc: --	 ppl: 16.39	 xent: 2.80	  20.67 TFLOP/s	 23581/26348 tok/s	 980993 sents	   7436 sec	
zero_deu-tur: 2500	 acc: --	 ppl: 15.34	 xent: 2.73	  20.82 TFLOP/s	 23763/26530 tok/s	 1226995 sents	   9289 sec	
zero_deu-tur: 3000	 acc: --	 ppl: 15.77	 xent: 2.76	  19.22 TFLOP/s	 21943/24444 tok/s	 1470644 sents	  11280 sec	
zero_deu-tur: 3500	 acc: --	 ppl: 15.49	 xent: 2.74	  20.88 TFLOP/s	 23851/26552 tok/s	 1716306 sents	  13124 sec	
zero_deu-tur: 4000	 acc: --	 ppl: 15.12	 xent: 2.72	  20.81 TFLOP/s	 23765/26456 tok/s	 1963661 sents	  14992 sec	
zero_deu-tur: 4500	 acc: --	 ppl: 15.98	 xent: 2.77	  20.41 TFLOP/s	 23303/25966 tok/s	 2206405 sents	  16857 sec	
zero_deu-tur: 5000	 acc: --	 ppl: 14.62	 xent: 2.68	  20.45 TFLOP/s	 23352/26021 tok/s	 2452235 sents	  18735 sec	
zero_deu-tur: 5500	 acc: --	 ppl: 11.84	 xent: 2.47	  18.47 TFLOP/s	 21094/23515 tok/s	 2697018 sents	  20810 sec	
zero_deu-tur: 6000	 acc: --	 ppl: 11.48	 xent: 2.44	  20.34 TFLOP/s	 23218/25879 tok/s	 2936371 sents	  22661 sec	
zero_deu-tur: 6500	 acc: --	 ppl: 10.99	 xent: 2.40	  20.57 TFLOP/s	 23472/26191 tok/s	 3178786 sents	  24515 sec	
zero_deu-tur: 7000	 acc: --	 ppl: 10.32	 xent: 2.33	  20.63 TFLOP/s	 23552/26276 tok/s	 3421615 sents	  26362 sec	
zero_deu-tur: 7500	 acc: --	 ppl:  9.85	 xent: 2.29	  20.73 TFLOP/s	 23667/26386 tok/s	 3666434 sents	  28212 sec	
zero_deu-tur: 8000	 acc: --	 ppl:  9.46	 xent: 2.25	  19.08 TFLOP/s	 21787/24266 tok/s	 3907394 sents	  30193 sec	
zero_deu-tur: 8500	 acc: --	 ppl: 10.33	 xent: 2.34	  20.94 TFLOP/s	 23899/26659 tok/s	 4153348 sents	  32037 sec	
zero_deu-tur: 9000	 acc: --	 ppl:  9.76	 xent: 2.28	  21.12 TFLOP/s	 24110/26901 tok/s	 4402963 sents	  33885 sec	
zero_deu-tur: 9500	 acc: --	 ppl:  8.14	 xent: 2.10	  20.40 TFLOP/s	 23308/25926 tok/s	 4644877 sents	  35746 sec	
zero_deu-tur: 10000	 acc: --	 ppl:  7.79	 xent: 2.05	  20.40 TFLOP/s	 23292/25985 tok/s	 4886930 sents	  37604 sec	

zero_deu-ukr: 500	 acc: --	 ppl: 222.52	 xent: 5.41	  20.84 TFLOP/s	 23595/27092 tok/s	 244744 sents	   1862 sec	
zero_deu-ukr: 1000	 acc: --	 ppl: 229.21	 xent: 5.43	  20.45 TFLOP/s	 23159/26583 tok/s	 484780 sents	   3720 sec	
zero_deu-ukr: 1500	 acc: --	 ppl: 109.79	 xent: 4.70	  20.65 TFLOP/s	 23364/26904 tok/s	 728589 sents	   5586 sec	
zero_deu-ukr: 2000	 acc: --	 ppl: 16.10	 xent: 2.78	  20.68 TFLOP/s	 23404/26921 tok/s	 970229 sents	   7436 sec	
zero_deu-ukr: 2500	 acc: --	 ppl: 14.30	 xent: 2.66	  20.93 TFLOP/s	 23688/27232 tok/s	 1215218 sents	   9289 sec	
zero_deu-ukr: 3000	 acc: --	 ppl: 14.60	 xent: 2.68	  19.38 TFLOP/s	 21963/25147 tok/s	 1458540 sents	  11280 sec	
zero_deu-ukr: 3500	 acc: --	 ppl: 14.52	 xent: 2.68	  20.89 TFLOP/s	 23644/27199 tok/s	 1702548 sents	  13124 sec	
zero_deu-ukr: 4000	 acc: --	 ppl: 14.08	 xent: 2.64	  20.86 TFLOP/s	 23606/27170 tok/s	 1948903 sents	  14992 sec	
zero_deu-ukr: 4500	 acc: --	 ppl: 15.12	 xent: 2.72	  20.09 TFLOP/s	 22766/26084 tok/s	 2185509 sents	  16857 sec	
zero_deu-ukr: 5000	 acc: --	 ppl: 14.52	 xent: 2.68	  20.52 TFLOP/s	 23236/26712 tok/s	 2430171 sents	  18735 sec	
zero_deu-ukr: 5500	 acc: --	 ppl: 13.46	 xent: 2.60	  18.58 TFLOP/s	 21034/24200 tok/s	 2674775 sents	  20810 sec	
zero_deu-ukr: 6000	 acc: --	 ppl: 10.86	 xent: 2.39	  20.64 TFLOP/s	 23369/26836 tok/s	 2915375 sents	  22661 sec	
zero_deu-ukr: 6500	 acc: --	 ppl: 10.74	 xent: 2.37	  20.47 TFLOP/s	 23193/26568 tok/s	 3154004 sents	  24515 sec	
zero_deu-ukr: 7000	 acc: --	 ppl: 10.48	 xent: 2.35	  20.82 TFLOP/s	 23576/27073 tok/s	 3396764 sents	  26362 sec	
zero_deu-ukr: 7500	 acc: --	 ppl:  9.49	 xent: 2.25	  20.52 TFLOP/s	 23243/26696 tok/s	 3637018 sents	  28212 sec	
zero_deu-ukr: 8000	 acc: --	 ppl: 10.04	 xent: 2.31	  19.25 TFLOP/s	 21801/25016 tok/s	 3878170 sents	  30193 sec	
zero_deu-ukr: 8500	 acc: --	 ppl: 10.31	 xent: 2.33	  21.00 TFLOP/s	 23780/27292 tok/s	 4122290 sents	  32037 sec	
zero_deu-ukr: 9000	 acc: --	 ppl:  9.51	 xent: 2.25	  20.83 TFLOP/s	 23588/27090 tok/s	 4365932 sents	  33885 sec	
zero_deu-ukr: 9500	 acc: --	 ppl:  8.27	 xent: 2.11	  20.62 TFLOP/s	 23355/26796 tok/s	 4608643 sents	  35746 sec	
zero_deu-ukr: 10000	 acc: --	 ppl:  8.55	 xent: 2.15	  20.50 TFLOP/s	 23205/26699 tok/s	 4849651 sents	  37604 sec	

zero_fra-nld: 500	 acc: --	 ppl: 272.57	 xent: 5.61	  22.42 TFLOP/s	 26258/26112 tok/s	 243315 sents	   1862 sec	
zero_fra-nld: 1000	 acc: --	 ppl: 266.17	 xent: 5.58	  22.21 TFLOP/s	 26017/25871 tok/s	 484017 sents	   3720 sec	
zero_fra-nld: 1500	 acc: --	 ppl: 120.27	 xent: 4.79	  22.75 TFLOP/s	 26648/26510 tok/s	 731649 sents	   5586 sec	
zero_fra-nld: 2000	 acc: --	 ppl: 16.08	 xent: 2.78	  22.40 TFLOP/s	 26234/26119 tok/s	 973383 sents	   7436 sec	
zero_fra-nld: 2500	 acc: --	 ppl: 15.74	 xent: 2.76	  22.56 TFLOP/s	 26420/26285 tok/s	 1217151 sents	   9289 sec	
zero_fra-nld: 3000	 acc: --	 ppl: 15.78	 xent: 2.76	  20.97 TFLOP/s	 24554/24439 tok/s	 1460786 sents	  11280 sec	
zero_fra-nld: 3500	 acc: --	 ppl: 14.74	 xent: 2.69	  22.48 TFLOP/s	 26331/26201 tok/s	 1703200 sents	  13124 sec	
zero_fra-nld: 4000	 acc: --	 ppl: 12.57	 xent: 2.53	  22.47 TFLOP/s	 26326/26172 tok/s	 1947906 sents	  14992 sec	
zero_fra-nld: 4500	 acc: --	 ppl:  9.49	 xent: 2.25	  21.80 TFLOP/s	 25537/25366 tok/s	 2184915 sents	  16857 sec	
zero_fra-nld: 5000	 acc: --	 ppl: 10.39	 xent: 2.34	  22.44 TFLOP/s	 26290/26123 tok/s	 2431845 sents	  18735 sec	
zero_fra-nld: 5500	 acc: --	 ppl:  7.94	 xent: 2.07	  20.23 TFLOP/s	 23704/23534 tok/s	 2676926 sents	  20810 sec	
zero_fra-nld: 6000	 acc: --	 ppl:  6.62	 xent: 1.89	  22.04 TFLOP/s	 25819/25620 tok/s	 2913956 sents	  22661 sec	
zero_fra-nld: 6500	 acc: --	 ppl:  7.73	 xent: 2.05	  21.99 TFLOP/s	 25758/25583 tok/s	 3150731 sents	  24515 sec	
zero_fra-nld: 7000	 acc: --	 ppl:  7.56	 xent: 2.02	  22.64 TFLOP/s	 26518/26387 tok/s	 3394564 sents	  26362 sec	
zero_fra-nld: 7500	 acc: --	 ppl:  6.24	 xent: 1.83	  22.04 TFLOP/s	 25809/25685 tok/s	 3632672 sents	  28212 sec	
zero_fra-nld: 8000	 acc: --	 ppl:  6.46	 xent: 1.87	  20.82 TFLOP/s	 24384/24256 tok/s	 3873604 sents	  30193 sec	
zero_fra-nld: 8500	 acc: --	 ppl:  6.12	 xent: 1.81	  22.36 TFLOP/s	 26196/26053 tok/s	 4114066 sents	  32037 sec	
zero_fra-nld: 9000	 acc: --	 ppl:  6.02	 xent: 1.79	  22.66 TFLOP/s	 26537/26408 tok/s	 4359122 sents	  33885 sec	
zero_fra-nld: 9500	 acc: --	 ppl:  6.14	 xent: 1.81	  22.13 TFLOP/s	 25918/25765 tok/s	 4599702 sents	  35746 sec	
zero_fra-nld: 10000	 acc: --	 ppl:  6.36	 xent: 1.85	  22.25 TFLOP/s	 26055/25929 tok/s	 4841173 sents	  37604 sec	

zero_swe-fin: 500	 acc: --	 ppl: 231.31	 xent: 5.44	  22.37 TFLOP/s	 25995/26692 tok/s	 241067 sents	   1862 sec	
zero_swe-fin: 1000	 acc: --	 ppl: 230.02	 xent: 5.44	  22.31 TFLOP/s	 25932/26565 tok/s	 481124 sents	   3720 sec	
zero_swe-fin: 1500	 acc: --	 ppl: 73.16	 xent: 4.29	  22.49 TFLOP/s	 26137/26831 tok/s	 724195 sents	   5586 sec	
zero_swe-fin: 2000	 acc: --	 ppl: 15.12	 xent: 2.72	  22.41 TFLOP/s	 26043/26710 tok/s	 964038 sents	   7436 sec	
zero_swe-fin: 2500	 acc: --	 ppl: 14.65	 xent: 2.68	  22.67 TFLOP/s	 26351/26988 tok/s	 1207059 sents	   9289 sec	
zero_swe-fin: 3000	 acc: --	 ppl: 14.56	 xent: 2.68	  21.14 TFLOP/s	 24572/25171 tok/s	 1450373 sents	  11280 sec	
zero_swe-fin: 3500	 acc: --	 ppl: 13.67	 xent: 2.61	  22.54 TFLOP/s	 26197/26848 tok/s	 1691320 sents	  13124 sec	
zero_swe-fin: 4000	 acc: --	 ppl: 12.37	 xent: 2.51	  22.57 TFLOP/s	 26239/26898 tok/s	 1935166 sents	  14992 sec	
zero_swe-fin: 4500	 acc: --	 ppl:  9.94	 xent: 2.30	  21.90 TFLOP/s	 25462/26073 tok/s	 2171571 sents	  16857 sec	
zero_swe-fin: 5000	 acc: --	 ppl:  9.84	 xent: 2.29	  22.42 TFLOP/s	 26056/26746 tok/s	 2416585 sents	  18735 sec	
zero_swe-fin: 5500	 acc: --	 ppl:  8.28	 xent: 2.11	  20.27 TFLOP/s	 23558/24143 tok/s	 2660700 sents	  20810 sec	
zero_swe-fin: 6000	 acc: --	 ppl:  6.76	 xent: 1.91	  22.27 TFLOP/s	 25879/26533 tok/s	 2898653 sents	  22661 sec	
zero_swe-fin: 6500	 acc: --	 ppl:  7.65	 xent: 2.03	  22.20 TFLOP/s	 25807/26407 tok/s	 3135781 sents	  24515 sec	
zero_swe-fin: 7000	 acc: --	 ppl:  7.09	 xent: 1.96	  22.64 TFLOP/s	 26318/26970 tok/s	 3377650 sents	  26362 sec	
zero_swe-fin: 7500	 acc: --	 ppl:  6.48	 xent: 1.87	  22.13 TFLOP/s	 25714/26388 tok/s	 3615019 sents	  28212 sec	
zero_swe-fin: 8000	 acc: --	 ppl:  5.97	 xent: 1.79	  21.13 TFLOP/s	 24556/25179 tok/s	 3857755 sents	  30193 sec	
zero_swe-fin: 8500	 acc: --	 ppl:  5.66	 xent: 1.73	  22.44 TFLOP/s	 26072/26731 tok/s	 4096866 sents	  32037 sec	
zero_swe-fin: 9000	 acc: --	 ppl:  5.90	 xent: 1.78	  22.95 TFLOP/s	 26679/27326 tok/s	 4342943 sents	  33885 sec	
zero_swe-fin: 9500	 acc: --	 ppl:  6.05	 xent: 1.80	  22.43 TFLOP/s	 26066/26755 tok/s	 4585092 sents	  35746 sec	
zero_swe-fin: 10000	 acc: --	 ppl:  5.98	 xent: 1.79	  22.37 TFLOP/s	 25995/26666 tok/s	 4825848 sents	  37604 sec	

zero_ces-slk: 500	 acc: --	 ppl: 276.74	 xent: 5.62	  22.83 TFLOP/s	 26998/25641 tok/s	 238897 sents	   1862 sec	
zero_ces-slk: 1000	 acc: --	 ppl: 289.51	 xent: 5.67	  22.67 TFLOP/s	 26806/25487 tok/s	 476088 sents	   3720 sec	
zero_ces-slk: 1500	 acc: --	 ppl: 142.94	 xent: 4.96	  23.08 TFLOP/s	 27290/25927 tok/s	 718293 sents	   5586 sec	
zero_ces-slk: 2000	 acc: --	 ppl: 16.88	 xent: 2.83	  22.84 TFLOP/s	 26996/25672 tok/s	 955879 sents	   7436 sec	
zero_ces-slk: 2500	 acc: --	 ppl: 16.46	 xent: 2.80	  22.96 TFLOP/s	 27123/25865 tok/s	 1195871 sents	   9289 sec	
zero_ces-slk: 3000	 acc: --	 ppl: 16.27	 xent: 2.79	  21.55 TFLOP/s	 25494/24172 tok/s	 1436882 sents	  11280 sec	
zero_ces-slk: 3500	 acc: --	 ppl: 12.18	 xent: 2.50	  23.18 TFLOP/s	 27415/26040 tok/s	 1677724 sents	  13124 sec	
zero_ces-slk: 4000	 acc: --	 ppl:  9.03	 xent: 2.20	  23.11 TFLOP/s	 27350/25895 tok/s	 1919868 sents	  14992 sec	
zero_ces-slk: 4500	 acc: --	 ppl:  8.05	 xent: 2.09	  22.44 TFLOP/s	 26533/25207 tok/s	 2155479 sents	  16857 sec	
zero_ces-slk: 5000	 acc: --	 ppl:  7.36	 xent: 2.00	  22.79 TFLOP/s	 26955/25594 tok/s	 2397124 sents	  18735 sec	
zero_ces-slk: 5500	 acc: --	 ppl:  6.90	 xent: 1.93	  20.52 TFLOP/s	 24278/23027 tok/s	 2637167 sents	  20810 sec	
zero_ces-slk: 6000	 acc: --	 ppl:  6.01	 xent: 1.79	  22.65 TFLOP/s	 26786/25421 tok/s	 2872616 sents	  22661 sec	
zero_ces-slk: 6500	 acc: --	 ppl:  5.86	 xent: 1.77	  22.70 TFLOP/s	 26847/25432 tok/s	 3107918 sents	  24515 sec	
zero_ces-slk: 7000	 acc: --	 ppl:  5.99	 xent: 1.79	  22.90 TFLOP/s	 27088/25694 tok/s	 3345321 sents	  26362 sec	
zero_ces-slk: 7500	 acc: --	 ppl:  5.54	 xent: 1.71	  22.81 TFLOP/s	 26965/25649 tok/s	 3583053 sents	  28212 sec	
zero_ces-slk: 8000	 acc: --	 ppl:  5.08	 xent: 1.62	  21.17 TFLOP/s	 25036/23779 tok/s	 3819583 sents	  30193 sec	
zero_ces-slk: 8500	 acc: --	 ppl:  4.93	 xent: 1.60	  22.83 TFLOP/s	 26992/25646 tok/s	 4056354 sents	  32037 sec	
zero_ces-slk: 9000	 acc: --	 ppl:  4.73	 xent: 1.55	  23.07 TFLOP/s	 27274/25945 tok/s	 4296715 sents	  33885 sec	
zero_ces-slk: 9500	 acc: --	 ppl:  4.99	 xent: 1.61	  22.80 TFLOP/s	 26969/25590 tok/s	 4535894 sents	  35746 sec	
zero_ces-slk: 10000	 acc: --	 ppl:  4.82	 xent: 1.57	  22.70 TFLOP/s	 26846/25461 tok/s	 4772842 sents	  37604 sec	

zero_bos-hrv: 500	 acc: --	 ppl: 235.72	 xent: 5.46	  22.96 TFLOP/s	 26949/26394 tok/s	 238559 sents	   1862 sec	
zero_bos-hrv: 1000	 acc: --	 ppl: 250.68	 xent: 5.52	  22.73 TFLOP/s	 26677/26152 tok/s	 474736 sents	   3720 sec	
zero_bos-hrv: 1500	 acc: --	 ppl: 60.68	 xent: 4.11	  23.09 TFLOP/s	 27094/26548 tok/s	 715210 sents	   5586 sec	
zero_bos-hrv: 2000	 acc: --	 ppl: 15.34	 xent: 2.73	  23.13 TFLOP/s	 27139/26573 tok/s	 953827 sents	   7436 sec	
zero_bos-hrv: 2500	 acc: --	 ppl: 15.09	 xent: 2.71	  23.26 TFLOP/s	 27311/26694 tok/s	 1193902 sents	   9289 sec	
zero_bos-hrv: 3000	 acc: --	 ppl: 13.02	 xent: 2.57	  21.52 TFLOP/s	 25262/24731 tok/s	 1433359 sents	  11280 sec	
zero_bos-hrv: 3500	 acc: --	 ppl:  9.64	 xent: 2.27	  23.43 TFLOP/s	 27490/26967 tok/s	 1675383 sents	  13124 sec	
zero_bos-hrv: 4000	 acc: --	 ppl:  7.05	 xent: 1.95	  23.03 TFLOP/s	 27032/26449 tok/s	 1915115 sents	  14992 sec	
zero_bos-hrv: 4500	 acc: --	 ppl:  6.31	 xent: 1.84	  22.54 TFLOP/s	 26449/25936 tok/s	 2150302 sents	  16857 sec	
zero_bos-hrv: 5000	 acc: --	 ppl:  6.43	 xent: 1.86	  23.06 TFLOP/s	 27060/26561 tok/s	 2393584 sents	  18735 sec	
zero_bos-hrv: 5500	 acc: --	 ppl:  6.27	 xent: 1.84	  20.81 TFLOP/s	 24425/23942 tok/s	 2635820 sents	  20810 sec	
zero_bos-hrv: 6000	 acc: --	 ppl:  5.05	 xent: 1.62	  23.00 TFLOP/s	 27004/26417 tok/s	 2872839 sents	  22661 sec	
zero_bos-hrv: 6500	 acc: --	 ppl:  5.38	 xent: 1.68	  22.67 TFLOP/s	 26614/26042 tok/s	 3106731 sents	  24515 sec	
zero_bos-hrv: 7000	 acc: --	 ppl:  4.77	 xent: 1.56	  23.08 TFLOP/s	 27084/26522 tok/s	 3344529 sents	  26362 sec	
zero_bos-hrv: 7500	 acc: --	 ppl:  5.25	 xent: 1.66	  22.91 TFLOP/s	 26887/26314 tok/s	 3581277 sents	  28212 sec	
zero_bos-hrv: 8000	 acc: --	 ppl:  5.08	 xent: 1.63	  21.35 TFLOP/s	 25050/24576 tok/s	 3818196 sents	  30193 sec	
zero_bos-hrv: 8500	 acc: --	 ppl:  4.61	 xent: 1.53	  23.01 TFLOP/s	 27016/26429 tok/s	 4055003 sents	  32037 sec	
zero_bos-hrv: 9000	 acc: --	 ppl:  4.43	 xent: 1.49	  23.23 TFLOP/s	 27262/26699 tok/s	 4294836 sents	  33885 sec	
zero_bos-hrv: 9500	 acc: --	 ppl:  4.72	 xent: 1.55	  23.23 TFLOP/s	 27278/26661 tok/s	 4536592 sents	  35746 sec	
zero_bos-hrv: 10000	 acc: --	 ppl:  4.87	 xent: 1.58	  22.95 TFLOP/s	 26931/26396 tok/s	 4774813 sents	  37604 sec	

zero_bos-srp_Cyrl: 500	 acc: --	 ppl: 284.03	 xent: 5.65	  21.95 TFLOP/s	 25499/26320 tok/s	 245218 sents	   1862 sec	
zero_bos-srp_Cyrl: 1000	 acc: --	 ppl: 255.11	 xent: 5.54	  21.77 TFLOP/s	 25305/26069 tok/s	 487767 sents	   3720 sec	
zero_bos-srp_Cyrl: 1500	 acc: --	 ppl: 130.78	 xent: 4.87	  22.29 TFLOP/s	 25897/26746 tok/s	 737480 sents	   5586 sec	
zero_bos-srp_Cyrl: 2000	 acc: --	 ppl: 15.51	 xent: 2.74	  22.08 TFLOP/s	 25660/26464 tok/s	 982500 sents	   7436 sec	
