zero_deu-tur: 500	 acc: --	 ppl: 246.74	 xent: 5.51	  24.64 TFLOP/s	 13616/15181 tok/s	 243882 sents	   3210 sec	
zero_deu-tur: 1000	 acc: --	 ppl: 270.32	 xent: 5.60	  24.62 TFLOP/s	 13623/15158 tok/s	 483911 sents	   6373 sec	
zero_deu-tur: 1500	 acc: --	 ppl: 15.98	 xent: 2.77	  25.40 TFLOP/s	 14061/15630 tok/s	 728033 sents	   9495 sec	
zero_deu-tur: 2000	 acc: --	 ppl: 15.91	 xent: 2.77	  25.44 TFLOP/s	 14044/15695 tok/s	 970778 sents	  12586 sec	
zero_deu-tur: 2500	 acc: --	 ppl: 13.20	 xent: 2.58	  25.68 TFLOP/s	 14183/15832 tok/s	 1213844 sents	  15653 sec	

zero_deu-ukr: 500	 acc: --	 ppl: 217.56	 xent: 5.38	  24.91 TFLOP/s	 13532/15536 tok/s	 241964 sents	   3210 sec	
zero_deu-ukr: 1000	 acc: --	 ppl: 202.18	 xent: 5.31	  24.84 TFLOP/s	 13494/15488 tok/s	 480015 sents	   6373 sec	
zero_deu-ukr: 1500	 acc: --	 ppl: 15.24	 xent: 2.72	  25.46 TFLOP/s	 13808/15902 tok/s	 721231 sents	   9495 sec	
zero_deu-ukr: 2000	 acc: --	 ppl: 15.31	 xent: 2.73	  25.51 TFLOP/s	 13840/15920 tok/s	 959747 sents	  12586 sec	
zero_deu-ukr: 2500	 acc: --	 ppl: 13.75	 xent: 2.62	  26.12 TFLOP/s	 14182/16300 tok/s	 1202502 sents	  15653 sec	

zero_fra-nld: 500	 acc: --	 ppl: 265.27	 xent: 5.58	  25.61 TFLOP/s	 15067/14984 tok/s	 240729 sents	   3210 sec	
zero_fra-nld: 1000	 acc: --	 ppl: 283.26	 xent: 5.65	  25.70 TFLOP/s	 15116/15033 tok/s	 478739 sents	   6373 sec	
zero_fra-nld: 1500	 acc: --	 ppl: 15.74	 xent: 2.76	  26.65 TFLOP/s	 15676/15594 tok/s	 722531 sents	   9495 sec	
zero_fra-nld: 2000	 acc: --	 ppl: 12.76	 xent: 2.55	  26.41 TFLOP/s	 15528/15460 tok/s	 961456 sents	  12586 sec	
zero_fra-nld: 2500	 acc: --	 ppl:  9.03	 xent: 2.20	  26.81 TFLOP/s	 15768/15688 tok/s	 1202431 sents	  15653 sec	

zero_swe-fin: 500	 acc: --	 ppl: 233.09	 xent: 5.45	  25.86 TFLOP/s	 14940/15340 tok/s	 238879 sents	   3210 sec	
