mt_bos-eng: 10000	 acc: --	 ppl:  9.40	 xent: 2.24	  14.78 TFLOP/s	 11235/11423 tok/s	 2130314 sents	  39663 sec	
mt_bos-eng: 10500	 acc: --	 ppl:  9.09	 xent: 2.21	  12.15 TFLOP/s	 9216/9412 tok/s	 2235511 sents	  41897 sec	

mt_bos-fra: 500	 acc: --	 ppl: 443.78	 xent: 6.10	  15.66 TFLOP/s	 11548/12368 tok/s	 111815 sents	   1892 sec	
mt_bos-fra: 1000	 acc: --	 ppl: 200.42	 xent: 5.30	  14.24 TFLOP/s	 10524/11226 tok/s	 214845 sents	   3812 sec	
mt_bos-fra: 1500	 acc: --	 ppl: 69.27	 xent: 4.24	  14.30 TFLOP/s	 10580/11268 tok/s	 318723 sents	   5745 sec	
mt_bos-fra: 2000	 acc: --	 ppl: 29.60	 xent: 3.39	  15.18 TFLOP/s	 11219/11982 tok/s	 427669 sents	   7643 sec	
mt_bos-fra: 2500	 acc: --	 ppl: 24.43	 xent: 3.20	  14.61 TFLOP/s	 10770/11557 tok/s	 532258 sents	   9531 sec	
mt_bos-fra: 3000	 acc: --	 ppl: 23.05	 xent: 3.14	  12.14 TFLOP/s	 8961/9591 tok/s	 634141 sents	  11761 sec	
mt_bos-fra: 3500	 acc: --	 ppl: 18.48	 xent: 2.92	  14.04 TFLOP/s	 10359/11084 tok/s	 739456 sents	  13756 sec	
mt_bos-fra: 4000	 acc: --	 ppl: 14.78	 xent: 2.69	  14.01 TFLOP/s	 10331/11076 tok/s	 841759 sents	  15689 sec	
mt_bos-fra: 4500	 acc: --	 ppl: 11.97	 xent: 2.48	  14.78 TFLOP/s	 10947/11645 tok/s	 948106 sents	  17603 sec	
mt_bos-fra: 5000	 acc: --	 ppl: 12.05	 xent: 2.49	  14.20 TFLOP/s	 10489/11209 tok/s	 1058389 sents	  19660 sec	
mt_bos-fra: 5500	 acc: --	 ppl: 11.45	 xent: 2.44	  12.50 TFLOP/s	 9248/9849 tok/s	 1164513 sents	  21920 sec	
mt_bos-fra: 6000	 acc: --	 ppl: 10.14	 xent: 2.32	  14.67 TFLOP/s	 10830/11576 tok/s	 1270336 sents	  23836 sec	
mt_bos-fra: 6500	 acc: --	 ppl:  9.12	 xent: 2.21	  13.95 TFLOP/s	 10321/10997 tok/s	 1372986 sents	  25788 sec	
mt_bos-fra: 7000	 acc: --	 ppl: 10.43	 xent: 2.34	  14.34 TFLOP/s	 10608/11303 tok/s	 1476825 sents	  27707 sec	
mt_bos-fra: 7500	 acc: --	 ppl:  8.11	 xent: 2.09	  14.45 TFLOP/s	 10686/11386 tok/s	 1579882 sents	  29610 sec	
mt_bos-fra: 8000	 acc: --	 ppl:  9.53	 xent: 2.25	  12.52 TFLOP/s	 9251/9886 tok/s	 1690286 sents	  31939 sec	
mt_bos-fra: 8500	 acc: --	 ppl:  7.79	 xent: 2.05	  14.82 TFLOP/s	 10988/11655 tok/s	 1798286 sents	  33878 sec	
mt_bos-fra: 9000	 acc: --	 ppl:  8.43	 xent: 2.13	  14.15 TFLOP/s	 10492/11136 tok/s	 1901458 sents	  35810 sec	
mt_bos-fra: 9500	 acc: --	 ppl:  8.52	 xent: 2.14	  14.42 TFLOP/s	 10656/11372 tok/s	 2007317 sents	  37758 sec	
mt_bos-fra: 10000	 acc: --	 ppl:  8.29	 xent: 2.12	  14.83 TFLOP/s	 10953/11706 tok/s	 2113660 sents	  39663 sec	
mt_bos-fra: 10500	 acc: --	 ppl:  8.14	 xent: 2.10	  12.55 TFLOP/s	 9267/9908 tok/s	 2219658 sents	  41897 sec	

mt_bos-spa: 500	 acc: --	 ppl: 505.77	 xent: 6.23	  15.53 TFLOP/s	 11435/12287 tok/s	 110682 sents	   1892 sec	
mt_bos-spa: 1000	 acc: --	 ppl: 269.07	 xent: 5.59	  14.21 TFLOP/s	 10481/11221 tok/s	 213255 sents	   3812 sec	
mt_bos-spa: 1500	 acc: --	 ppl: 85.96	 xent: 4.45	  14.21 TFLOP/s	 10419/11270 tok/s	 316783 sents	   5745 sec	
mt_bos-spa: 2000	 acc: --	 ppl: 31.09	 xent: 3.44	  15.35 TFLOP/s	 11312/12132 tok/s	 426872 sents	   7643 sec	
mt_bos-spa: 2500	 acc: --	 ppl: 25.22	 xent: 3.23	  14.70 TFLOP/s	 10847/11615 tok/s	 531582 sents	   9531 sec	
mt_bos-spa: 3000	 acc: --	 ppl: 22.61	 xent: 3.12	  12.23 TFLOP/s	 9034/9650 tok/s	 633836 sents	  11761 sec	
mt_bos-spa: 3500	 acc: --	 ppl: 21.17	 xent: 3.05	  13.93 TFLOP/s	 10257/11020 tok/s	 738145 sents	  13756 sec	
mt_bos-spa: 4000	 acc: --	 ppl: 17.03	 xent: 2.83	  14.41 TFLOP/s	 10627/11385 tok/s	 842569 sents	  15689 sec	
mt_bos-spa: 4500	 acc: --	 ppl: 14.47	 xent: 2.67	  14.71 TFLOP/s	 10821/11640 tok/s	 948299 sents	  17603 sec	
mt_bos-spa: 5000	 acc: --	 ppl: 13.92	 xent: 2.63	  14.20 TFLOP/s	 10466/11224 tok/s	 1058373 sents	  19660 sec	
mt_bos-spa: 5500	 acc: --	 ppl: 13.15	 xent: 2.58	  12.58 TFLOP/s	 9258/9950 tok/s	 1165140 sents	  21920 sec	
mt_bos-spa: 6000	 acc: --	 ppl: 12.36	 xent: 2.51	  14.70 TFLOP/s	 10793/11645 tok/s	 1271006 sents	  23836 sec	
mt_bos-spa: 6500	 acc: --	 ppl: 11.04	 xent: 2.40	  13.95 TFLOP/s	 10292/11017 tok/s	 1373657 sents	  25788 sec	
mt_bos-spa: 7000	 acc: --	 ppl: 11.05	 xent: 2.40	  14.47 TFLOP/s	 10667/11428 tok/s	 1477923 sents	  27707 sec	
mt_bos-spa: 7500	 acc: --	 ppl: 10.20	 xent: 2.32	  14.39 TFLOP/s	 10585/11386 tok/s	 1580991 sents	  29610 sec	
mt_bos-spa: 8000	 acc: --	 ppl: 10.79	 xent: 2.38	  12.46 TFLOP/s	 9184/9844 tok/s	 1690091 sents	  31939 sec	
mt_bos-spa: 8500	 acc: --	 ppl:  8.88	 xent: 2.18	  14.56 TFLOP/s	 10724/11513 tok/s	 1795947 sents	  33878 sec	
mt_bos-spa: 9000	 acc: --	 ppl:  9.22	 xent: 2.22	  13.99 TFLOP/s	 10324/11053 tok/s	 1898112 sents	  35810 sec	
mt_bos-spa: 9500	 acc: --	 ppl:  9.43	 xent: 2.24	  14.42 TFLOP/s	 10636/11395 tok/s	 2003631 sents	  37758 sec	
mt_bos-spa: 10000	 acc: --	 ppl:  8.66	 xent: 2.16	  14.55 TFLOP/s	 10680/11536 tok/s	 2108056 sents	  39663 sec	
mt_bos-spa: 10500	 acc: --	 ppl:  8.73	 xent: 2.17	  12.29 TFLOP/s	 9025/9747 tok/s	 2211787 sents	  41897 sec	

mt_bul-deu: 500	 acc: --	 ppl: 652.38	 xent: 6.48	  14.92 TFLOP/s	 11622/11291 tok/s	 105957 sents	   1892 sec	
mt_bul-deu: 1000	 acc: --	 ppl: 282.05	 xent: 5.64	  14.63 TFLOP/s	 11387/11078 tok/s	 210993 sents	   3812 sec	
mt_bul-deu: 1500	 acc: --	 ppl: 58.83	 xent: 4.07	  14.95 TFLOP/s	 11646/11320 tok/s	 319830 sents	   5745 sec	
mt_bul-deu: 2000	 acc: --	 ppl: 30.30	 xent: 3.41	  14.42 TFLOP/s	 11218/10928 tok/s	 422474 sents	   7643 sec	
mt_bul-deu: 2500	 acc: --	 ppl: 24.24	 xent: 3.19	  14.73 TFLOP/s	 11464/11150 tok/s	 526282 sents	   9531 sec	
mt_bul-deu: 3000	 acc: --	 ppl: 21.48	 xent: 3.07	  12.95 TFLOP/s	 10065/9811 tok/s	 634201 sents	  11761 sec	
mt_bul-deu: 3500	 acc: --	 ppl: 16.33	 xent: 2.79	  14.84 TFLOP/s	 11552/11245 tok/s	 745665 sents	  13756 sec	
mt_bul-deu: 4000	 acc: --	 ppl: 13.65	 xent: 2.61	  14.87 TFLOP/s	 11569/11258 tok/s	 853114 sents	  15689 sec	
mt_bul-deu: 4500	 acc: --	 ppl: 11.36	 xent: 2.43	  14.22 TFLOP/s	 11066/10767 tok/s	 954979 sents	  17603 sec	
mt_bul-deu: 5000	 acc: --	 ppl: 10.01	 xent: 2.30	  13.50 TFLOP/s	 10502/10231 tok/s	 1059180 sents	  19660 sec	
mt_bul-deu: 5500	 acc: --	 ppl: 10.16	 xent: 2.32	  12.75 TFLOP/s	 9915/9658 tok/s	 1167148 sents	  21920 sec	
mt_bul-deu: 6000	 acc: --	 ppl:  8.44	 xent: 2.13	  14.48 TFLOP/s	 11268/10969 tok/s	 1271424 sents	  23836 sec	
mt_bul-deu: 6500	 acc: --	 ppl:  8.86	 xent: 2.18	  14.55 TFLOP/s	 11318/11019 tok/s	 1377553 sents	  25788 sec	
mt_bul-deu: 7000	 acc: --	 ppl:  8.67	 xent: 2.16	  14.96 TFLOP/s	 11663/11319 tok/s	 1485520 sents	  27707 sec	
mt_bul-deu: 7500	 acc: --	 ppl:  7.82	 xent: 2.06	  14.94 TFLOP/s	 11630/11314 tok/s	 1592314 sents	  29610 sec	
mt_bul-deu: 8000	 acc: --	 ppl:  7.46	 xent: 2.01	  12.00 TFLOP/s	 9352/9078 tok/s	 1697187 sents	  31939 sec	
mt_bul-deu: 8500	 acc: --	 ppl:  8.32	 xent: 2.12	  14.98 TFLOP/s	 11649/11353 tok/s	 1806028 sents	  33878 sec	
mt_bul-deu: 9000	 acc: --	 ppl:  7.86	 xent: 2.06	  14.77 TFLOP/s	 11490/11187 tok/s	 1912936 sents	  35810 sec	
mt_bul-deu: 9500	 acc: --	 ppl:  7.63	 xent: 2.03	  14.61 TFLOP/s	 11373/11062 tok/s	 2019650 sents	  37758 sec	
mt_bul-deu: 10000	 acc: --	 ppl:  7.25	 xent: 1.98	  14.68 TFLOP/s	 11436/11115 tok/s	 2124741 sents	  39663 sec	
mt_bul-deu: 10500	 acc: --	 ppl:  7.45	 xent: 2.01	  12.66 TFLOP/s	 9859/9582 tok/s	 2230755 sents	  41897 sec	

mt_bul-eng: 500	 acc: --	 ppl: 701.61	 xent: 6.55	  14.91 TFLOP/s	 11779/11165 tok/s	 107375 sents	   1892 sec	
mt_bul-eng: 1000	 acc: --	 ppl: 241.97	 xent: 5.49	  14.42 TFLOP/s	 11389/10791 tok/s	 212406 sents	   3812 sec	
mt_bul-eng: 1500	 acc: --	 ppl: 64.40	 xent: 4.17	  14.94 TFLOP/s	 11781/11204 tok/s	 322699 sents	   5745 sec	
mt_bul-eng: 2000	 acc: --	 ppl: 34.91	 xent: 3.55	  14.32 TFLOP/s	 11304/10726 tok/s	 425767 sents	   7643 sec	
mt_bul-eng: 2500	 acc: --	 ppl: 25.19	 xent: 3.23	  14.74 TFLOP/s	 11667/11017 tok/s	 531371 sents	   9531 sec	
mt_bul-eng: 3000	 acc: --	 ppl: 12.75	 xent: 2.55	  12.64 TFLOP/s	 9978/9469 tok/s	 638319 sents	  11761 sec	
mt_bul-eng: 3500	 acc: --	 ppl: 11.76	 xent: 2.46	  14.80 TFLOP/s	 11680/11089 tok/s	 750786 sents	  13756 sec	
mt_bul-eng: 4000	 acc: --	 ppl:  9.07	 xent: 2.21	  14.77 TFLOP/s	 11656/11068 tok/s	 859019 sents	  15689 sec	
mt_bul-eng: 4500	 acc: --	 ppl:  8.99	 xent: 2.20	  13.98 TFLOP/s	 11024/10478 tok/s	 960718 sents	  17603 sec	
mt_bul-eng: 5000	 acc: --	 ppl:  7.10	 xent: 1.96	  13.44 TFLOP/s	 10599/10075 tok/s	 1065738 sents	  19660 sec	
mt_bul-eng: 5500	 acc: --	 ppl:  7.31	 xent: 1.99	  12.99 TFLOP/s	 10248/9738 tok/s	 1177437 sents	  21920 sec	
mt_bul-eng: 6000	 acc: --	 ppl:  8.19	 xent: 2.10	  14.32 TFLOP/s	 11303/10734 tok/s	 1281940 sents	  23836 sec	
mt_bul-eng: 6500	 acc: --	 ppl:  8.05	 xent: 2.09	  14.53 TFLOP/s	 11473/10880 tok/s	 1389749 sents	  25788 sec	
