zero_deu-tur: 500	 acc: --	 ppl: 300.71	 xent: 5.71	  10.81 TFLOP/s	 30264/33746 tok/s	 246431 sents	   1459 sec	
zero_deu-tur: 1000	 acc: --	 ppl: 245.79	 xent: 5.50	  10.72 TFLOP/s	 30062/33443 tok/s	 490600 sents	   2918 sec	
zero_deu-tur: 1500	 acc: --	 ppl: 222.30	 xent: 5.40	  10.88 TFLOP/s	 30501/33915 tok/s	 739008 sents	   4382 sec	
zero_deu-tur: 2000	 acc: --	 ppl: 241.27	 xent: 5.49	  10.82 TFLOP/s	 30268/33815 tok/s	 983941 sents	   5829 sec	
zero_deu-tur: 2500	 acc: --	 ppl: 123.11	 xent: 4.81	  10.94 TFLOP/s	 30600/34159 tok/s	 1231469 sents	   7277 sec	
zero_deu-tur: 3000	 acc: --	 ppl: 25.77	 xent: 3.25	   8.92 TFLOP/s	 24971/27815 tok/s	 1477192 sents	   9041 sec	
zero_deu-tur: 3500	 acc: --	 ppl: 17.38	 xent: 2.86	  10.86 TFLOP/s	 30418/33865 tok/s	 1723811 sents	  10494 sec	
zero_deu-tur: 4000	 acc: --	 ppl: 15.05	 xent: 2.71	  10.83 TFLOP/s	 30350/33788 tok/s	 1971697 sents	  11959 sec	
zero_deu-tur: 4500	 acc: --	 ppl: 15.87	 xent: 2.76	  10.65 TFLOP/s	 29824/33230 tok/s	 2214966 sents	  13420 sec	
zero_deu-tur: 5000	 acc: --	 ppl: 15.15	 xent: 2.72	  10.79 TFLOP/s	 30219/33676 tok/s	 2463365 sents	  14886 sec	
zero_deu-tur: 5500	 acc: --	 ppl: 15.64	 xent: 2.75	   8.73 TFLOP/s	 24459/27260 tok/s	 2708173 sents	  16676 sec	

zero_deu-ukr: 500	 acc: --	 ppl: 271.82	 xent: 5.61	  10.97 TFLOP/s	 30143/34610 tok/s	 245068 sents	   1459 sec	
zero_deu-ukr: 1000	 acc: --	 ppl: 226.26	 xent: 5.42	  10.76 TFLOP/s	 29579/33953 tok/s	 485708 sents	   2918 sec	
zero_deu-ukr: 1500	 acc: --	 ppl: 201.29	 xent: 5.30	  10.93 TFLOP/s	 30004/34549 tok/s	 731360 sents	   4382 sec	
zero_deu-ukr: 2000	 acc: --	 ppl: 169.22	 xent: 5.13	  10.96 TFLOP/s	 30082/34600 tok/s	 974330 sents	   5829 sec	
zero_deu-ukr: 2500	 acc: --	 ppl: 105.91	 xent: 4.66	  11.07 TFLOP/s	 30407/34951 tok/s	 1220151 sents	   7277 sec	
