mt_bos-deu: 500	 acc: --	 ppl: 1397.25	 xent: 7.24	   9.73 TFLOP/s	 46030/47479 tok/s	 256040 sents	   1086 sec	
mt_bos-deu: 1000	 acc: --	 ppl: 204.51	 xent: 5.32	   9.84 TFLOP/s	 46605/47961 tok/s	 512032 sents	   2162 sec	
mt_bos-deu: 1500	 acc: --	 ppl: 177.94	 xent: 5.18	   9.92 TFLOP/s	 46984/48176 tok/s	 768020 sents	   3238 sec	
mt_bos-deu: 2000	 acc: --	 ppl: 179.62	 xent: 5.19	   9.82 TFLOP/s	 46509/47803 tok/s	 1024020 sents	   4319 sec	
mt_bos-deu: 2500	 acc: --	 ppl: 180.11	 xent: 5.19	   9.88 TFLOP/s	 46796/48077 tok/s	 1280040 sents	   5394 sec	
mt_bos-deu: 3000	 acc: --	 ppl: 180.06	 xent: 5.19	   8.03 TFLOP/s	 37987/39188 tok/s	 1536040 sents	   6714 sec	
mt_bos-deu: 3500	 acc: --	 ppl: 64.61	 xent: 4.17	   9.87 TFLOP/s	 46648/48260 tok/s	 1792020 sents	   7787 sec	
mt_bos-deu: 4000	 acc: --	 ppl: 51.24	 xent: 3.94	   9.87 TFLOP/s	 46731/48066 tok/s	 2048000 sents	   8862 sec	
mt_bos-deu: 4500	 acc: --	 ppl: 50.48	 xent: 3.92	   9.77 TFLOP/s	 46140/47919 tok/s	 2304020 sents	   9939 sec	
mt_bos-deu: 5000	 acc: --	 ppl: 39.75	 xent: 3.68	   9.84 TFLOP/s	 46625/47785 tok/s	 2560040 sents	  11018 sec	
mt_bos-deu: 5500	 acc: --	 ppl: 32.13	 xent: 3.47	   9.04 TFLOP/s	 42845/43940 tok/s	 2816040 sents	  12194 sec	
mt_bos-deu: 6000	 acc: --	 ppl: 31.88	 xent: 3.46	   9.89 TFLOP/s	 46812/48173 tok/s	 3072020 sents	  13269 sec	
mt_bos-deu: 6500	 acc: --	 ppl: 30.04	 xent: 3.40	   9.87 TFLOP/s	 46680/48173 tok/s	 3328000 sents	  14344 sec	
mt_bos-deu: 7000	 acc: --	 ppl: 24.85	 xent: 3.21	   9.80 TFLOP/s	 46440/47761 tok/s	 3584032 sents	  15417 sec	
mt_bos-deu: 7500	 acc: --	 ppl: 25.35	 xent: 3.23	   9.77 TFLOP/s	 46204/47729 tok/s	 3840020 sents	  16497 sec	
mt_bos-deu: 8000	 acc: --	 ppl: 22.37	 xent: 3.11	   8.99 TFLOP/s	 42535/43855 tok/s	 4096020 sents	  17674 sec	
mt_bos-deu: 8500	 acc: --	 ppl: 19.94	 xent: 2.99	   9.90 TFLOP/s	 46864/48194 tok/s	 4352020 sents	  18750 sec	
