zero_fin-swe: 500	 acc: --	 ppl: 1192.90	 xent: 7.08	   8.82 TFLOP/s	 25418/26906 tok/s	 128024 sents	    941 sec	
zero_fin-swe: 1000	 acc: --	 ppl: 313.19	 xent: 5.75	   8.81 TFLOP/s	 25434/26838 tok/s	 256010 sents	   1886 sec	
zero_fin-swe: 1500	 acc: --	 ppl: 269.69	 xent: 5.60	   8.79 TFLOP/s	 25394/26769 tok/s	 384024 sents	   2830 sec	
zero_fin-swe: 2000	 acc: --	 ppl: 198.24	 xent: 5.29	   8.79 TFLOP/s	 25401/26757 tok/s	 512032 sents	   3779 sec	
zero_fin-swe: 2500	 acc: --	 ppl: 81.22	 xent: 4.40	   8.92 TFLOP/s	 25758/27130 tok/s	 640016 sents	   4715 sec	
zero_fin-swe: 3000	 acc: --	 ppl: 30.32	 xent: 3.41	   6.64 TFLOP/s	 19114/20272 tok/s	 768020 sents	   5966 sec	
zero_fin-swe: 3500	 acc: --	 ppl: 17.03	 xent: 2.83	   8.84 TFLOP/s	 25610/26844 tok/s	 896016 sents	   6910 sec	
zero_fin-swe: 4000	 acc: --	 ppl: 16.32	 xent: 2.79	   8.80 TFLOP/s	 25409/26793 tok/s	 1024032 sents	   7856 sec	
zero_fin-swe: 4500	 acc: --	 ppl: 16.01	 xent: 2.77	   8.93 TFLOP/s	 25924/27088 tok/s	 1152016 sents	   8791 sec	
zero_fin-swe: 5000	 acc: --	 ppl: 15.75	 xent: 2.76	   8.81 TFLOP/s	 25463/26795 tok/s	 1280030 sents	   9735 sec	
zero_fin-swe: 5500	 acc: --	 ppl: 14.94	 xent: 2.70	   6.59 TFLOP/s	 19015/20085 tok/s	 1408016 sents	  11000 sec	
zero_fin-swe: 6000	 acc: --	 ppl: 14.50	 xent: 2.67	   8.86 TFLOP/s	 25605/26956 tok/s	 1536020 sents	  11938 sec	
zero_fin-swe: 6500	 acc: --	 ppl: 14.12	 xent: 2.65	   8.85 TFLOP/s	 25670/26857 tok/s	 1664016 sents	  12882 sec	
zero_fin-swe: 7000	 acc: --	 ppl: 14.21	 xent: 2.65	   8.82 TFLOP/s	 25424/26902 tok/s	 1792030 sents	  13821 sec	
zero_fin-swe: 7500	 acc: --	 ppl: 13.64	 xent: 2.61	   8.87 TFLOP/s	 25613/27024 tok/s	 1920024 sents	  14761 sec	
zero_fin-swe: 8000	 acc: --	 ppl: 13.33	 xent: 2.59	   6.61 TFLOP/s	 19108/20108 tok/s	 2048032 sents	  16019 sec	
zero_fin-swe: 8500	 acc: --	 ppl: 13.31	 xent: 2.59	   8.78 TFLOP/s	 25321/26787 tok/s	 2176016 sents	  16968 sec	
zero_fin-swe: 9000	 acc: --	 ppl: 13.36	 xent: 2.59	   8.75 TFLOP/s	 25180/26721 tok/s	 2304020 sents	  17914 sec	

zero_swe-fin: 500	 acc: --	 ppl: 1130.17	 xent: 7.03	   8.95 TFLOP/s	 27569/25844 tok/s	 128024 sents	    941 sec	
zero_swe-fin: 1000	 acc: --	 ppl: 379.10	 xent: 5.94	   8.94 TFLOP/s	 27565/25788 tok/s	 256000 sents	   1886 sec	
zero_swe-fin: 1500	 acc: --	 ppl: 299.53	 xent: 5.70	   8.90 TFLOP/s	 27374/25692 tok/s	 384016 sents	   2830 sec	
zero_swe-fin: 2000	 acc: --	 ppl: 237.26	 xent: 5.47	   8.95 TFLOP/s	 27475/25878 tok/s	 512032 sents	   3779 sec	
zero_swe-fin: 2500	 acc: --	 ppl: 178.58	 xent: 5.19	   9.06 TFLOP/s	 27857/26141 tok/s	 640016 sents	   4715 sec	
zero_swe-fin: 3000	 acc: --	 ppl: 52.19	 xent: 3.95	   6.72 TFLOP/s	 20718/19396 tok/s	 768020 sents	   5966 sec	
zero_swe-fin: 3500	 acc: --	 ppl: 30.41	 xent: 3.41	   8.96 TFLOP/s	 27603/25863 tok/s	 896016 sents	   6910 sec	
zero_swe-fin: 4000	 acc: --	 ppl: 20.82	 xent: 3.04	   8.92 TFLOP/s	 27438/25744 tok/s	 1024020 sents	   7856 sec	
zero_swe-fin: 4500	 acc: --	 ppl: 18.84	 xent: 2.94	   9.00 TFLOP/s	 27760/25968 tok/s	 1152016 sents	   8791 sec	
zero_swe-fin: 5000	 acc: --	 ppl: 17.70	 xent: 2.87	   8.95 TFLOP/s	 27499/25898 tok/s	 1280030 sents	   9735 sec	
zero_swe-fin: 5500	 acc: --	 ppl: 16.79	 xent: 2.82	   6.68 TFLOP/s	 20584/19252 tok/s	 1408016 sents	  11000 sec	
zero_swe-fin: 6000	 acc: --	 ppl: 15.92	 xent: 2.77	   9.02 TFLOP/s	 27745/26045 tok/s	 1536000 sents	  11938 sec	
zero_swe-fin: 6500	 acc: --	 ppl: 15.81	 xent: 2.76	   8.92 TFLOP/s	 27432/25759 tok/s	 1664024 sents	  12882 sec	
zero_swe-fin: 7000	 acc: --	 ppl: 15.69	 xent: 2.75	   8.98 TFLOP/s	 27636/25936 tok/s	 1792020 sents	  13821 sec	
zero_swe-fin: 7500	 acc: --	 ppl: 15.55	 xent: 2.74	   9.02 TFLOP/s	 27728/26034 tok/s	 1920016 sents	  14761 sec	
zero_swe-fin: 8000	 acc: --	 ppl: 15.78	 xent: 2.76	   6.69 TFLOP/s	 20606/19327 tok/s	 2048020 sents	  16019 sec	
zero_swe-fin: 8500	 acc: --	 ppl: 15.66	 xent: 2.75	   8.91 TFLOP/s	 27398/25709 tok/s	 2176024 sents	  16968 sec	
zero_swe-fin: 9000	 acc: --	 ppl: 15.75	 xent: 2.76	   8.88 TFLOP/s	 27361/25630 tok/s	 2304030 sents	  17914 sec	

zero_pol-ukr: 500	 acc: --	 ppl: 1889.16	 xent: 7.54	   9.38 TFLOP/s	 28199/27483 tok/s	 128024 sents	    941 sec	
zero_pol-ukr: 1000	 acc: --	 ppl: 288.92	 xent: 5.67	   9.38 TFLOP/s	 28270/27416 tok/s	 256010 sents	   1886 sec	
zero_pol-ukr: 1500	 acc: --	 ppl: 248.75	 xent: 5.52	   9.34 TFLOP/s	 28059/27363 tok/s	 384024 sents	   2830 sec	
zero_pol-ukr: 2000	 acc: --	 ppl: 175.87	 xent: 5.17	   9.38 TFLOP/s	 28282/27377 tok/s	 512010 sents	   3779 sec	
zero_pol-ukr: 2500	 acc: --	 ppl: 69.79	 xent: 4.25	   9.46 TFLOP/s	 28467/27704 tok/s	 640024 sents	   4715 sec	
zero_pol-ukr: 3000	 acc: --	 ppl: 27.21	 xent: 3.30	   7.06 TFLOP/s	 21239/20682 tok/s	 768032 sents	   5966 sec	
zero_pol-ukr: 3500	 acc: --	 ppl: 18.81	 xent: 2.93	   9.39 TFLOP/s	 28311/27448 tok/s	 896024 sents	   6910 sec	
zero_pol-ukr: 4000	 acc: --	 ppl: 15.71	 xent: 2.75	   9.35 TFLOP/s	 28149/27367 tok/s	 1024032 sents	   7856 sec	
zero_pol-ukr: 4500	 acc: --	 ppl: 15.00	 xent: 2.71	   9.47 TFLOP/s	 28455/27740 tok/s	 1152016 sents	   8791 sec	
