simpl_deu-deu: 250	 acc: --	 ppl: 9520.57	 xent: 9.16	  11.80 TFLOP/s	 36957/36546 tok/s	 321981 sents	    507 sec	
simpl_deu-deu: 500	 acc: --	 ppl: 1456.05	 xent: 7.28	  12.10 TFLOP/s	 37800/37499 tok/s	 634717 sents	   1010 sec	
simpl_deu-deu: 750	 acc: --	 ppl: 402.45	 xent: 6.00	  12.14 TFLOP/s	 37860/37604 tok/s	 934051 sents	   1517 sec	
simpl_deu-deu: 1000	 acc: --	 ppl: 176.50	 xent: 5.17	  12.12 TFLOP/s	 37827/37543 tok/s	 1237626 sents	   2019 sec	
simpl_deu-deu: 1250	 acc: --	 ppl: 95.67	 xent: 4.56	   7.22 TFLOP/s	 22649/22385 tok/s	 1563599 sents	   2836 sec	
simpl_deu-deu: 1500	 acc: --	 ppl: 72.42	 xent: 4.28	  11.80 TFLOP/s	 36966/36568 tok/s	 1890866 sents	   3351 sec	
simpl_deu-deu: 1750	 acc: --	 ppl: 91.77	 xent: 4.52	  12.11 TFLOP/s	 37786/37523 tok/s	 2197637 sents	   3861 sec	
simpl_deu-deu: 2000	 acc: --	 ppl: 66.19	 xent: 4.19	  11.77 TFLOP/s	 36829/36459 tok/s	 2509909 sents	   4366 sec	
simpl_deu-deu: 2250	 acc: --	 ppl: 40.24	 xent: 3.69	   7.38 TFLOP/s	 23097/22867 tok/s	 2827745 sents	   5172 sec	
simpl_deu-deu: 2500	 acc: --	 ppl: 31.03	 xent: 3.43	  11.78 TFLOP/s	 36889/36508 tok/s	 3150247 sents	   5682 sec	
simpl_deu-deu: 2750	 acc: --	 ppl: 26.25	 xent: 3.27	  12.05 TFLOP/s	 37662/37325 tok/s	 3462523 sents	   6185 sec	
simpl_deu-deu: 3000	 acc: --	 ppl: 21.18	 xent: 3.05	  12.01 TFLOP/s	 37539/37215 tok/s	 3774496 sents	   6688 sec	
simpl_deu-deu: 3250	 acc: --	 ppl: 18.96	 xent: 2.94	   7.54 TFLOP/s	 23556/23358 tok/s	 4084367 sents	   7501 sec	
simpl_deu-deu: 3500	 acc: --	 ppl: 16.28	 xent: 2.79	  11.72 TFLOP/s	 36729/36338 tok/s	 4405892 sents	   8008 sec	
simpl_deu-deu: 3750	 acc: --	 ppl: 13.36	 xent: 2.59	  11.77 TFLOP/s	 36853/36463 tok/s	 4728184 sents	   8518 sec	
simpl_deu-deu: 4000	 acc: --	 ppl: 12.74	 xent: 2.54	  11.96 TFLOP/s	 37386/37057 tok/s	 5041569 sents	   9021 sec	
simpl_deu-deu: 4250	 acc: --	 ppl: 12.94	 xent: 2.56	   7.37 TFLOP/s	 23044/22842 tok/s	 5346781 sents	   9828 sec	
simpl_deu-deu: 4500	 acc: --	 ppl: 12.81	 xent: 2.55	  12.56 TFLOP/s	 39052/38925 tok/s	 5636321 sents	  10332 sec	
simpl_deu-deu: 4750	 acc: --	 ppl: 11.11	 xent: 2.41	  11.87 TFLOP/s	 37099/36771 tok/s	 5948575 sents	  10841 sec	
simpl_deu-deu: 5000	 acc: --	 ppl: 10.62	 xent: 2.36	  12.27 TFLOP/s	 38327/38025 tok/s	 6263471 sents	  11346 sec	
