task_bos-deu: 26500	 acc: --	 ppl: 11.53	 xent: 2.44	  17.64 TFLOP/s	 18132/18299 tok/s	 7054304 sents	  80556 sec	
task_bos-deu: 27000	 acc: --	 ppl: 11.59	 xent: 2.45	  17.86 TFLOP/s	 18344/18538 tok/s	 7185638 sents	  82004 sec	
task_bos-deu: 27500	 acc: --	 ppl: 11.72	 xent: 2.46	  17.66 TFLOP/s	 18076/18386 tok/s	 7315955 sents	  83448 sec	
task_bos-deu: 28000	 acc: --	 ppl: 11.49	 xent: 2.44	  14.48 TFLOP/s	 14839/15068 tok/s	 7446798 sents	  85217 sec	
task_bos-deu: 28500	 acc: --	 ppl: 11.47	 xent: 2.44	  18.09 TFLOP/s	 18568/18792 tok/s	 7578698 sents	  86651 sec	
task_bos-deu: 29000	 acc: --	 ppl: 11.25	 xent: 2.42	  17.89 TFLOP/s	 18338/18607 tok/s	 7709592 sents	  88085 sec	
task_bos-deu: 29500	 acc: --	 ppl: 11.50	 xent: 2.44	  18.19 TFLOP/s	 18706/18876 tok/s	 7842910 sents	  89520 sec	
task_bos-deu: 30000	 acc: --	 ppl: 11.28	 xent: 2.42	  18.00 TFLOP/s	 18460/18707 tok/s	 7974396 sents	  90954 sec	
task_bos-deu: 30500	 acc: --	 ppl: 11.26	 xent: 2.42	  14.14 TFLOP/s	 14519/14682 tok/s	 8106968 sents	  92791 sec	
task_bos-deu: 31000	 acc: --	 ppl: 11.27	 xent: 2.42	  17.60 TFLOP/s	 18056/18300 tok/s	 8237575 sents	  94243 sec	
task_bos-deu: 31500	 acc: --	 ppl: 11.17	 xent: 2.41	  18.01 TFLOP/s	 18419/18768 tok/s	 8371459 sents	  95694 sec	
task_bos-deu: 32000	 acc: --	 ppl: 11.28	 xent: 2.42	  17.55 TFLOP/s	 18005/18249 tok/s	 8502230 sents	  97152 sec	
task_bos-deu: 32500	 acc: --	 ppl: 11.10	 xent: 2.41	  17.73 TFLOP/s	 18237/18399 tok/s	 8633662 sents	  98601 sec	
