denoise_eng-eng: 500	 acc: --	 ppl: 260.13	 xent: 5.56	  15.21 TFLOP/s	 41619/48339 tok/s	 247247 sents	   1022 sec	
denoise_eng-eng: 1000	 acc: --	 ppl: 217.67	 xent: 5.38	  15.31 TFLOP/s	 41897/48664 tok/s	 496789 sents	   2047 sec	
denoise_eng-eng: 1500	 acc: --	 ppl: 15.23	 xent: 2.72	  15.17 TFLOP/s	 41520/48225 tok/s	 743535 sents	   3069 sec	
denoise_eng-eng: 2000	 acc: --	 ppl: 10.11	 xent: 2.31	  15.17 TFLOP/s	 41520/48228 tok/s	 992145 sents	   4098 sec	
denoise_eng-eng: 2500	 acc: --	 ppl:  7.97	 xent: 2.08	  15.16 TFLOP/s	 41471/48172 tok/s	 1240767 sents	   5125 sec	
denoise_eng-eng: 3000	 acc: --	 ppl:  6.71	 xent: 1.90	  11.92 TFLOP/s	 32619/37896 tok/s	 1484593 sents	   6412 sec	
denoise_eng-eng: 3500	 acc: --	 ppl:  6.34	 xent: 1.85	  15.04 TFLOP/s	 41136/47783 tok/s	 1728707 sents	   7433 sec	
denoise_eng-eng: 4000	 acc: --	 ppl:  5.75	 xent: 1.75	  15.08 TFLOP/s	 41261/47933 tok/s	 1973550 sents	   8452 sec	
denoise_eng-eng: 4500	 acc: --	 ppl:  6.10	 xent: 1.81	  15.29 TFLOP/s	 41824/48583 tok/s	 2222120 sents	   9473 sec	
denoise_eng-eng: 5000	 acc: --	 ppl:  5.79	 xent: 1.76	  15.02 TFLOP/s	 41110/47754 tok/s	 2467571 sents	  10499 sec	
denoise_eng-eng: 5500	 acc: --	 ppl:  5.75	 xent: 1.75	  12.05 TFLOP/s	 32960/38283 tok/s	 2710343 sents	  11767 sec	
denoise_eng-eng: 6000	 acc: --	 ppl:  5.88	 xent: 1.77	  15.25 TFLOP/s	 41711/48456 tok/s	 2960486 sents	  12800 sec	
denoise_eng-eng: 6500	 acc: --	 ppl:  5.71	 xent: 1.74	  15.10 TFLOP/s	 41300/47974 tok/s	 3208752 sents	  13835 sec	
denoise_eng-eng: 7000	 acc: --	 ppl:  5.19	 xent: 1.65	  15.30 TFLOP/s	 41868/48631 tok/s	 3459154 sents	  14863 sec	
denoise_eng-eng: 7500	 acc: --	 ppl:  5.42	 xent: 1.69	  15.23 TFLOP/s	 41676/48409 tok/s	 3707538 sents	  15888 sec	
denoise_eng-eng: 8000	 acc: --	 ppl:  5.59	 xent: 1.72	  12.28 TFLOP/s	 33614/39041 tok/s	 3956203 sents	  17160 sec	
denoise_eng-eng: 8500	 acc: --	 ppl:  5.24	 xent: 1.66	  15.05 TFLOP/s	 41187/47843 tok/s	 4200264 sents	  18179 sec	
denoise_eng-eng: 9000	 acc: --	 ppl:  5.13	 xent: 1.64	  15.08 TFLOP/s	 41252/47924 tok/s	 4443944 sents	  19195 sec	
denoise_eng-eng: 9500	 acc: --	 ppl:  5.13	 xent: 1.64	  15.28 TFLOP/s	 41807/48566 tok/s	 4692055 sents	  20219 sec	
denoise_eng-eng: 10000	 acc: --	 ppl:  5.30	 xent: 1.67	  15.18 TFLOP/s	 41533/48249 tok/s	 4940488 sents	  21248 sec	
denoise_eng-eng: 10500	 acc: --	 ppl:  4.76	 xent: 1.56	  12.33 TFLOP/s	 33743/39201 tok/s	 5184375 sents	  22491 sec	
denoise_eng-eng: 11000	 acc: --	 ppl:  4.88	 xent: 1.58	  15.50 TFLOP/s	 42407/49257 tok/s	 5438328 sents	  23519 sec	
denoise_eng-eng: 11500	 acc: --	 ppl:  5.11	 xent: 1.63	  14.97 TFLOP/s	 40951/47572 tok/s	 5684395 sents	  24552 sec	
denoise_eng-eng: 12000	 acc: --	 ppl:  4.85	 xent: 1.58	  15.33 TFLOP/s	 41947/48729 tok/s	 5933626 sents	  25574 sec	
denoise_eng-eng: 12500	 acc: --	 ppl:  5.43	 xent: 1.69	  15.36 TFLOP/s	 42028/48823 tok/s	 6184508 sents	  26602 sec	
denoise_eng-eng: 13000	 acc: --	 ppl:  5.79	 xent: 1.76	  12.16 TFLOP/s	 33286/38664 tok/s	 6434515 sents	  27892 sec	
denoise_eng-eng: 13500	 acc: --	 ppl:  5.18	 xent: 1.64	  14.96 TFLOP/s	 40948/47562 tok/s	 6680611 sents	  28924 sec	
denoise_eng-eng: 14000	 acc: --	 ppl:  5.20	 xent: 1.65	  15.42 TFLOP/s	 42194/49009 tok/s	 6932629 sents	  29949 sec	
denoise_eng-eng: 14500	 acc: --	 ppl:  4.97	 xent: 1.60	  15.17 TFLOP/s	 41503/48207 tok/s	 7180037 sents	  30973 sec	
denoise_eng-eng: 15000	 acc: --	 ppl:  5.24	 xent: 1.66	  15.12 TFLOP/s	 41368/48057 tok/s	 7425543 sents	  31994 sec	
denoise_eng-eng: 15500	 acc: --	 ppl:  4.80	 xent: 1.57	  12.39 TFLOP/s	 33900/39382 tok/s	 7672889 sents	  33250 sec	
denoise_eng-eng: 16000	 acc: --	 ppl:  5.21	 xent: 1.65	  15.27 TFLOP/s	 41783/48540 tok/s	 7920973 sents	  34271 sec	
denoise_eng-eng: 16500	 acc: --	 ppl:  4.58	 xent: 1.52	  15.25 TFLOP/s	 41719/48468 tok/s	 8169220 sents	  35294 sec	

denoise_fra-fra: 500	 acc: --	 ppl: 239.20	 xent: 5.48	  15.88 TFLOP/s	 43367/50203 tok/s	 243017 sents	   1022 sec	
denoise_fra-fra: 1000	 acc: --	 ppl: 185.02	 xent: 5.22	  15.87 TFLOP/s	 43350/50179 tok/s	 486681 sents	   2047 sec	
denoise_fra-fra: 1500	 acc: --	 ppl: 13.66	 xent: 2.61	  15.88 TFLOP/s	 43387/50227 tok/s	 729995 sents	   3069 sec	
denoise_fra-fra: 2000	 acc: --	 ppl:  8.03	 xent: 2.08	  16.01 TFLOP/s	 43734/50623 tok/s	 976990 sents	   4098 sec	
