zero_deu-tur: 500	 acc: --	 ppl: 300.71	 xent: 5.71	  14.02 TFLOP/s	 24622/27454 tok/s	 246431 sents	   1794 sec	
zero_deu-tur: 1000	 acc: --	 ppl: 245.79	 xent: 5.50	  13.83 TFLOP/s	 24328/27064 tok/s	 490600 sents	   3596 sec	
zero_deu-tur: 1500	 acc: --	 ppl: 222.30	 xent: 5.40	  14.07 TFLOP/s	 24757/27528 tok/s	 739008 sents	   5400 sec	
zero_deu-tur: 500	 acc: --	 ppl: 307.61	 xent: 5.73	  13.65 TFLOP/s	 23968/26727 tok/s	 245460 sents	   1835 sec	
zero_deu-tur: 1000	 acc: --	 ppl: 250.53	 xent: 5.52	  13.55 TFLOP/s	 23830/26513 tok/s	 488756 sents	   3668 sec	
zero_deu-tur: 1500	 acc: --	 ppl: 223.36	 xent: 5.41	  13.81 TFLOP/s	 24305/27021 tok/s	 736944 sents	   5505 sec	
zero_deu-tur: 2000	 acc: --	 ppl: 150.23	 xent: 5.01	  13.64 TFLOP/s	 23931/26739 tok/s	 980993 sents	   7328 sec	
zero_deu-tur: 2500	 acc: --	 ppl: 36.01	 xent: 3.58	  13.74 TFLOP/s	 24121/26930 tok/s	 1226995 sents	   9153 sec	
zero_deu-tur: 3000	 acc: --	 ppl: 16.47	 xent: 2.80	  11.60 TFLOP/s	 20395/22719 tok/s	 1470644 sents	  11295 sec	
zero_deu-tur: 3500	 acc: --	 ppl: 15.49	 xent: 2.74	  13.76 TFLOP/s	 24201/26942 tok/s	 1716306 sents	  13113 sec	

zero_deu-ukr: 500	 acc: --	 ppl: 250.16	 xent: 5.52	  14.29 TFLOP/s	 24523/28157 tok/s	 245068 sents	   1794 sec	
zero_deu-ukr: 1000	 acc: --	 ppl: 226.26	 xent: 5.42	  13.94 TFLOP/s	 23937/27477 tok/s	 485708 sents	   3596 sec	
zero_deu-ukr: 1500	 acc: --	 ppl: 201.29	 xent: 5.30	  14.21 TFLOP/s	 24354/28043 tok/s	 731360 sents	   5400 sec	
zero_deu-ukr: 500	 acc: --	 ppl: 262.78	 xent: 5.57	  13.94 TFLOP/s	 23935/27482 tok/s	 244744 sents	   1835 sec	
