simpl_deu-deu: 250	 acc: --	 ppl: 9520.57	 xent: 9.16	  11.76 TFLOP/s	 36829/36419 tok/s	 321981 sents	    509 sec	
simpl_deu-deu: 500	 acc: --	 ppl: 1627.30	 xent: 7.39	  12.05 TFLOP/s	 37654/37354 tok/s	 634717 sents	   1014 sec	
simpl_deu-deu: 750	 acc: --	 ppl: 413.68	 xent: 6.03	  12.09 TFLOP/s	 37705/37450 tok/s	 934051 sents	   1523 sec	
simpl_deu-deu: 1000	 acc: --	 ppl: 176.50	 xent: 5.17	  12.08 TFLOP/s	 37702/37419 tok/s	 1237626 sents	   2027 sec	
simpl_deu-deu: 1250	 acc: --	 ppl: 95.67	 xent: 4.56	   7.22 TFLOP/s	 22635/22371 tok/s	 1563599 sents	   2844 sec	
simpl_deu-deu: 1500	 acc: --	 ppl: 72.42	 xent: 4.28	  11.79 TFLOP/s	 36929/36532 tok/s	 1890866 sents	   3360 sec	
simpl_deu-deu: 1750	 acc: --	 ppl: 91.77	 xent: 4.52	  12.10 TFLOP/s	 37762/37499 tok/s	 2197637 sents	   3870 sec	
simpl_deu-deu: 2000	 acc: --	 ppl: 62.52	 xent: 4.14	  11.75 TFLOP/s	 36788/36418 tok/s	 2509909 sents	   4375 sec	
simpl_deu-deu: 2250	 acc: --	 ppl: 40.24	 xent: 3.69	   7.21 TFLOP/s	 22585/22360 tok/s	 2827745 sents	   5200 sec	
simpl_deu-deu: 2500	 acc: --	 ppl: 30.60	 xent: 3.42	  11.74 TFLOP/s	 36769/36389 tok/s	 3150247 sents	   5712 sec	
simpl_deu-deu: 2750	 acc: --	 ppl: 26.25	 xent: 3.27	  12.01 TFLOP/s	 37547/37211 tok/s	 3462523 sents	   6216 sec	
simpl_deu-deu: 3000	 acc: --	 ppl: 20.59	 xent: 3.02	  11.97 TFLOP/s	 37407/37085 tok/s	 3774496 sents	   6721 sec	
simpl_deu-deu: 3250	 acc: --	 ppl: 18.70	 xent: 2.93	   7.54 TFLOP/s	 23570/23372 tok/s	 4084367 sents	   7533 sec	
simpl_deu-deu: 3500	 acc: --	 ppl: 16.05	 xent: 2.78	  11.69 TFLOP/s	 36608/36218 tok/s	 4405892 sents	   8041 sec	
