sentmt_bos-eng: 7500	 acc: --	 ppl: 19.81	 xent: 2.99	   5.11 TFLOP/s	 11247/11182 tok/s	 3840072 sents	   7951 sec	
sentmt_bos-eng: 8000	 acc: --	 ppl: 19.72	 xent: 2.98	   3.55 TFLOP/s	 7806/7776 tok/s	 4096072 sents	   8663 sec	
sentmt_bos-eng: 8500	 acc: --	 ppl: 19.67	 xent: 2.98	   5.08 TFLOP/s	 11180/11120 tok/s	 4352052 sents	   9159 sec	
sentmt_bos-eng: 9000	 acc: --	 ppl: 19.47	 xent: 2.97	   5.09 TFLOP/s	 11193/11110 tok/s	 4608084 sents	   9654 sec	
sentmt_bos-eng: 9500	 acc: --	 ppl: 19.50	 xent: 2.97	   5.10 TFLOP/s	 11225/11151 tok/s	 4864084 sents	  10149 sec	
sentmt_bos-eng: 10000	 acc: --	 ppl: 19.60	 xent: 2.98	   5.08 TFLOP/s	 11179/11108 tok/s	 5120052 sents	  10642 sec	
sentmt_bos-eng: 10500	 acc: --	 ppl: 19.31	 xent: 2.96	   3.68 TFLOP/s	 8083/8048 tok/s	 5376072 sents	  11329 sec	
sentmt_bos-eng: 11000	 acc: --	 ppl: 19.38	 xent: 2.96	   5.06 TFLOP/s	 11136/11057 tok/s	 5632080 sents	  11824 sec	
sentmt_bos-eng: 11500	 acc: --	 ppl: 19.60	 xent: 2.98	   5.06 TFLOP/s	 11122/11069 tok/s	 5888052 sents	  12321 sec	
sentmt_bos-eng: 12000	 acc: --	 ppl: 19.40	 xent: 2.97	   5.08 TFLOP/s	 11177/11118 tok/s	 6144072 sents	  12815 sec	
sentmt_bos-eng: 12500	 acc: --	 ppl: 19.34	 xent: 2.96	   5.06 TFLOP/s	 11124/11063 tok/s	 6400104 sents	  13309 sec	
sentmt_bos-eng: 13000	 acc: --	 ppl: 19.10	 xent: 2.95	   3.59 TFLOP/s	 7901/7844 tok/s	 6656096 sents	  14017 sec	
sentmt_bos-eng: 13500	 acc: --	 ppl: 19.39	 xent: 2.96	   5.07 TFLOP/s	 11141/11097 tok/s	 6912104 sents	  14511 sec	
sentmt_bos-eng: 14000	 acc: --	 ppl: 19.25	 xent: 2.96	   5.14 TFLOP/s	 11308/11249 tok/s	 7168092 sents	  15004 sec	
sentmt_bos-eng: 14500	 acc: --	 ppl: 19.14	 xent: 2.95	   5.15 TFLOP/s	 11313/11280 tok/s	 7424072 sents	  15497 sec	
sentmt_bos-eng: 15000	 acc: --	 ppl: 19.25	 xent: 2.96	   5.08 TFLOP/s	 11163/11115 tok/s	 7680072 sents	  15993 sec	
sentmt_bos-eng: 15500	 acc: --	 ppl: 19.25	 xent: 2.96	   3.60 TFLOP/s	 7917/7887 tok/s	 7936072 sents	  16689 sec	
sentmt_bos-eng: 16000	 acc: --	 ppl: 19.03	 xent: 2.95	   5.16 TFLOP/s	 11343/11269 tok/s	 8192072 sents	  17181 sec	
sentmt_bos-eng: 16500	 acc: --	 ppl: 19.12	 xent: 2.95	   5.08 TFLOP/s	 11164/11117 tok/s	 8448080 sents	  17673 sec	
sentmt_bos-eng: 17000	 acc: --	 ppl: 19.33	 xent: 2.96	   5.10 TFLOP/s	 11222/11171 tok/s	 8704096 sents	  18165 sec	
sentmt_bos-eng: 17500	 acc: --	 ppl: 19.20	 xent: 2.95	   5.07 TFLOP/s	 11160/11097 tok/s	 8960092 sents	  18658 sec	
sentmt_bos-eng: 18000	 acc: --	 ppl: 19.04	 xent: 2.95	   3.66 TFLOP/s	 8042/8003 tok/s	 9216052 sents	  19354 sec	
sentmt_bos-eng: 18500	 acc: --	 ppl: 19.06	 xent: 2.95	   5.05 TFLOP/s	 11103/11053 tok/s	 9472100 sents	  19848 sec	
sentmt_bos-eng: 19000	 acc: --	 ppl: 19.06	 xent: 2.95	   5.11 TFLOP/s	 11248/11186 tok/s	 9728084 sents	  20341 sec	
sentmt_bos-eng: 19500	 acc: --	 ppl: 18.99	 xent: 2.94	   5.14 TFLOP/s	 11319/11235 tok/s	 9984072 sents	  20833 sec	
sentmt_bos-eng: 20000	 acc: --	 ppl: 19.11	 xent: 2.95	   5.08 TFLOP/s	 11164/11102 tok/s	 10240084 sents	  21326 sec	
sentmt_bos-eng: 20500	 acc: --	 ppl: 18.84	 xent: 2.94	   3.61 TFLOP/s	 7932/7895 tok/s	 10496072 sents	  22026 sec	
