fin-swe: 500	 acc: --	 ppl: 6221.89	 xent: 8.74	   7.40 TFLOP/s	 16871/17004 tok/s	 108625 sents	   1244 sec	
fin-swe: 1000	 acc: --	 ppl: 906.56	 xent: 6.81	   7.72 TFLOP/s	 17619/17751 tok/s	 217847 sents	   2437 sec	
fin-swe: 1500	 acc: --	 ppl: 350.71	 xent: 5.86	   7.79 TFLOP/s	 17755/17892 tok/s	 325490 sents	   3610 sec	
fin-swe: 2000	 acc: --	 ppl: 107.01	 xent: 4.67	   7.80 TFLOP/s	 17798/17943 tok/s	 437877 sents	   4827 sec	
fin-swe: 2500	 acc: --	 ppl: 52.10	 xent: 3.95	   7.70 TFLOP/s	 17553/17683 tok/s	 543644 sents	   5991 sec	
fin-swe: 3000	 acc: --	 ppl: 35.84	 xent: 3.58	   6.21 TFLOP/s	 14164/14283 tok/s	 652970 sents	   7478 sec	
fin-swe: 3500	 acc: --	 ppl: 28.51	 xent: 3.35	   7.99 TFLOP/s	 18230/18364 tok/s	 763421 sents	   8646 sec	
fin-swe: 4000	 acc: --	 ppl: 24.01	 xent: 3.18	   7.98 TFLOP/s	 18196/18332 tok/s	 872712 sents	   9803 sec	
fin-swe: 4500	 acc: --	 ppl: 21.09	 xent: 3.05	   8.02 TFLOP/s	 18295/18433 tok/s	 983543 sents	  10973 sec	
fin-swe: 5000	 acc: --	 ppl: 19.04	 xent: 2.95	   6.93 TFLOP/s	 15810/15936 tok/s	 1089809 sents	  12269 sec	
fin-swe: 5500	 acc: --	 ppl: 17.36	 xent: 2.85	   6.07 TFLOP/s	 13842/13942 tok/s	 1197224 sents	  13759 sec	
fin-swe: 6000	 acc: --	 ppl: 16.16	 xent: 2.78	   7.94 TFLOP/s	 18116/18254 tok/s	 1306903 sents	  14923 sec	
fin-swe: 6500	 acc: --	 ppl: 15.23	 xent: 2.72	   7.74 TFLOP/s	 17660/17782 tok/s	 1413018 sents	  16085 sec	
fin-swe: 7000	 acc: --	 ppl: 14.49	 xent: 2.67	   7.76 TFLOP/s	 17690/17827 tok/s	 1520306 sents	  17258 sec	
fin-swe: 7500	 acc: --	 ppl: 13.87	 xent: 2.63	   7.88 TFLOP/s	 17962/18097 tok/s	 1629110 sents	  18429 sec	
fin-swe: 8000	 acc: --	 ppl: 13.43	 xent: 2.60	   6.00 TFLOP/s	 13684/13786 tok/s	 1734973 sents	  19921 sec	
fin-swe: 8500	 acc: --	 ppl: 12.99	 xent: 2.56	   7.61 TFLOP/s	 17344/17484 tok/s	 1841536 sents	  21104 sec	
fin-swe: 9000	 acc: --	 ppl: 12.65	 xent: 2.54	   8.01 TFLOP/s	 18273/18408 tok/s	 1950507 sents	  22254 sec	
fin-swe: 9500	 acc: --	 ppl: 12.30	 xent: 2.51	   7.89 TFLOP/s	 18005/18136 tok/s	 2059472 sents	  23422 sec	
fin-swe: 10000	 acc: --	 ppl: 12.04	 xent: 2.49	   8.12 TFLOP/s	 18535/18663 tok/s	 2171099 sents	  24581 sec	
fin-swe: 10500	 acc: --	 ppl: 11.83	 xent: 2.47	   6.02 TFLOP/s	 13728/13836 tok/s	 2279431 sents	  26100 sec	
fin-swe: 11000	 acc: --	 ppl: 11.62	 xent: 2.45	   7.80 TFLOP/s	 17797/17929 tok/s	 2387127 sents	  27269 sec	
fin-swe: 11500	 acc: --	 ppl: 11.43	 xent: 2.44	   8.02 TFLOP/s	 18291/18429 tok/s	 2496876 sents	  28426 sec	
fin-swe: 12000	 acc: --	 ppl: 11.28	 xent: 2.42	   7.84 TFLOP/s	 17888/18013 tok/s	 2603486 sents	  29576 sec	
fin-swe: 12500	 acc: --	 ppl: 11.12	 xent: 2.41	   8.00 TFLOP/s	 18256/18386 tok/s	 2713062 sents	  30736 sec	
fin-swe: 13000	 acc: --	 ppl: 11.00	 xent: 2.40	   6.29 TFLOP/s	 14357/14461 tok/s	 2824635 sents	  32238 sec	
fin-swe: 13500	 acc: --	 ppl: 10.88	 xent: 2.39	   7.68 TFLOP/s	 17501/17642 tok/s	 2933059 sents	  33435 sec	
fin-swe: 14000	 acc: --	 ppl: 10.77	 xent: 2.38	   7.66 TFLOP/s	 17478/17610 tok/s	 3041485 sents	  34634 sec	
fin-swe: 14500	 acc: --	 ppl: 10.72	 xent: 2.37	   7.62 TFLOP/s	 17381/17517 tok/s	 3149104 sents	  35830 sec	
fin-swe: 15000	 acc: --	 ppl: 10.61	 xent: 2.36	   7.86 TFLOP/s	 17935/18071 tok/s	 3257594 sents	  36996 sec	
fin-swe: 15500	 acc: --	 ppl: 10.48	 xent: 2.35	   5.79 TFLOP/s	 13215/13317 tok/s	 3367758 sents	  38605 sec	
fin-swe: 16000	 acc: --	 ppl: 10.43	 xent: 2.34	   7.86 TFLOP/s	 17941/18072 tok/s	 3477439 sents	  39783 sec	
fin-swe: 16500	 acc: --	 ppl: 10.34	 xent: 2.34	   8.07 TFLOP/s	 18419/18551 tok/s	 3587469 sents	  40937 sec	
fin-swe: 17000	 acc: --	 ppl: 10.30	 xent: 2.33	   7.77 TFLOP/s	 17727/17860 tok/s	 3694345 sents	  42100 sec	
fin-swe: 17500	 acc: --	 ppl: 10.19	 xent: 2.32	   8.06 TFLOP/s	 18386/18536 tok/s	 3805647 sents	  43268 sec	
fin-swe: 18000	 acc: --	 ppl: 10.13	 xent: 2.32	   6.15 TFLOP/s	 14033/14145 tok/s	 3914428 sents	  44760 sec	
fin-swe: 18500	 acc: --	 ppl: 10.08	 xent: 2.31	   7.76 TFLOP/s	 17712/17846 tok/s	 4021856 sents	  45929 sec	
fin-swe: 19000	 acc: --	 ppl: 10.05	 xent: 2.31	   7.90 TFLOP/s	 18024/18151 tok/s	 4128927 sents	  47075 sec	
fin-swe: 19500	 acc: --	 ppl: 10.03	 xent: 2.31	   7.72 TFLOP/s	 17617/17743 tok/s	 4234364 sents	  48232 sec	
fin-swe: 20000	 acc: --	 ppl:  9.90	 xent: 2.29	   7.94 TFLOP/s	 18120/18258 tok/s	 4343173 sents	  49393 sec	
fin-swe: 20500	 acc: --	 ppl:  9.86	 xent: 2.29	   6.18 TFLOP/s	 14086/14196 tok/s	 4451358 sents	  50874 sec	
fin-swe: 21000	 acc: --	 ppl:  9.84	 xent: 2.29	   8.17 TFLOP/s	 18621/18768 tok/s	 4562227 sents	  52026 sec	
fin-swe: 21500	 acc: --	 ppl:  9.78	 xent: 2.28	   8.01 TFLOP/s	 18269/18407 tok/s	 4672099 sents	  53189 sec	
fin-swe: 22000	 acc: --	 ppl:  9.78	 xent: 2.28	   7.95 TFLOP/s	 18147/18277 tok/s	 4781389 sents	  54354 sec	
fin-swe: 22500	 acc: --	 ppl:  9.75	 xent: 2.28	   8.04 TFLOP/s	 18341/18474 tok/s	 4891695 sents	  55515 sec	
fin-swe: 23000	 acc: --	 ppl:  9.69	 xent: 2.27	   6.27 TFLOP/s	 14312/14418 tok/s	 5000922 sents	  56991 sec	
fin-swe: 23500	 acc: --	 ppl:  9.67	 xent: 2.27	   7.93 TFLOP/s	 18085/18218 tok/s	 5109510 sents	  58147 sec	
fin-swe: 24000	 acc: --	 ppl:  9.62	 xent: 2.26	   8.14 TFLOP/s	 18578/18720 tok/s	 5220106 sents	  59294 sec	
fin-swe: 24500	 acc: --	 ppl:  9.57	 xent: 2.26	   7.48 TFLOP/s	 17081/17201 tok/s	 5330737 sents	  60542 sec	
fin-swe: 25000	 acc: --	 ppl:  9.55	 xent: 2.26	   8.13 TFLOP/s	 18560/18684 tok/s	 5442625 sents	  61705 sec	
fin-swe: 25500	 acc: --	 ppl:  9.54	 xent: 2.26	   6.29 TFLOP/s	 14360/14467 tok/s	 5553228 sents	  63188 sec	
fin-swe: 26000	 acc: --	 ppl:  9.50	 xent: 2.25	   7.51 TFLOP/s	 17115/17250 tok/s	 5658437 sents	  64376 sec	
fin-swe: 26500	 acc: --	 ppl:  9.50	 xent: 2.25	   8.07 TFLOP/s	 18415/18550 tok/s	 5769232 sents	  65534 sec	
fin-swe: 27000	 acc: --	 ppl:  9.48	 xent: 2.25	   7.07 TFLOP/s	 16118/16239 tok/s	 5877156 sents	  66829 sec	
fin-swe: 27500	 acc: --	 ppl:  9.43	 xent: 2.24	   7.84 TFLOP/s	 17887/18019 tok/s	 5984250 sents	  67985 sec	
fin-swe: 28000	 acc: --	 ppl:  9.38	 xent: 2.24	   6.02 TFLOP/s	 13736/13845 tok/s	 6096373 sents	  69562 sec	
fin-swe: 28500	 acc: --	 ppl:  9.38	 xent: 2.24	   7.92 TFLOP/s	 18078/18204 tok/s	 6205126 sents	  70724 sec	
fin-swe: 29000	 acc: --	 ppl:  9.36	 xent: 2.24	   8.20 TFLOP/s	 18691/18840 tok/s	 6317102 sents	  71879 sec	
fin-swe: 29500	 acc: --	 ppl:  9.34	 xent: 2.23	   7.94 TFLOP/s	 18120/18256 tok/s	 6426119 sents	  73038 sec	
fin-swe: 30000	 acc: --	 ppl:  9.29	 xent: 2.23	   7.92 TFLOP/s	 18066/18201 tok/s	 6534693 sents	  74195 sec	
fin-swe: 30500	 acc: --	 ppl:  9.30	 xent: 2.23	   6.25 TFLOP/s	 14243/14361 tok/s	 6643867 sents	  75670 sec	
fin-swe: 31000	 acc: --	 ppl:  9.30	 xent: 2.23	   7.95 TFLOP/s	 18124/18268 tok/s	 6751992 sents	  76819 sec	
fin-swe: 31500	 acc: --	 ppl:  9.25	 xent: 2.22	   8.11 TFLOP/s	 18504/18652 tok/s	 6862275 sents	  77969 sec	
fin-swe: 32000	 acc: --	 ppl:  9.24	 xent: 2.22	   8.05 TFLOP/s	 18378/18510 tok/s	 6971764 sents	  79115 sec	
fin-swe: 32500	 acc: --	 ppl:  9.24	 xent: 2.22	   7.97 TFLOP/s	 18180/18334 tok/s	 7080646 sents	  80269 sec	
fin-swe: 33000	 acc: --	 ppl:  9.19	 xent: 2.22	   6.24 TFLOP/s	 14230/14338 tok/s	 7189455 sents	  81745 sec	
fin-swe: 33500	 acc: --	 ppl:  9.20	 xent: 2.22	   7.78 TFLOP/s	 17750/17875 tok/s	 7295856 sents	  82905 sec	
fin-swe: 34000	 acc: --	 ppl:  9.19	 xent: 2.22	   7.84 TFLOP/s	 17892/18027 tok/s	 7404001 sents	  84069 sec	
fin-swe: 34500	 acc: --	 ppl:  9.15	 xent: 2.21	   8.32 TFLOP/s	 18974/19109 tok/s	 7516526 sents	  85215 sec	
fin-swe: 35000	 acc: --	 ppl:  9.13	 xent: 2.21	   8.03 TFLOP/s	 18314/18454 tok/s	 7625562 sents	  86364 sec	
