zero_deu-tur: 500	 acc: --	 ppl: 265.85	 xent: 5.58	  18.83 TFLOP/s	 33933/37959 tok/s	 246162 sents	   1296 sec	
zero_deu-tur: 1000	 acc: --	 ppl: 255.12	 xent: 5.54	  18.57 TFLOP/s	 33500/37341 tok/s	 488761 sents	   2594 sec	
zero_deu-tur: 1500	 acc: --	 ppl: 26.02	 xent: 3.26	  18.85 TFLOP/s	 33988/37919 tok/s	 736817 sents	   3900 sec	
zero_deu-tur: 2000	 acc: --	 ppl: 15.55	 xent: 2.74	  18.79 TFLOP/s	 33858/37875 tok/s	 981360 sents	   5192 sec	
zero_deu-tur: 2500	 acc: --	 ppl: 15.40	 xent: 2.73	  18.86 TFLOP/s	 34040/37915 tok/s	 1227091 sents	   6486 sec	
zero_deu-tur: 3000	 acc: --	 ppl: 15.81	 xent: 2.76	  15.10 TFLOP/s	 27268/30341 tok/s	 1470693 sents	   8089 sec	
zero_deu-tur: 3500	 acc: --	 ppl: 13.64	 xent: 2.61	  18.83 TFLOP/s	 33942/37903 tok/s	 1716075 sents	   9380 sec	
zero_deu-tur: 4000	 acc: --	 ppl: 11.70	 xent: 2.46	  18.80 TFLOP/s	 33908/37806 tok/s	 1963675 sents	  10689 sec	
zero_deu-tur: 4500	 acc: --	 ppl: 11.80	 xent: 2.47	  18.40 TFLOP/s	 33224/36969 tok/s	 2205109 sents	  11993 sec	
zero_deu-tur: 5000	 acc: --	 ppl:  9.50	 xent: 2.25	  18.67 TFLOP/s	 33696/37526 tok/s	 2452531 sents	  13302 sec	
zero_deu-tur: 5500	 acc: --	 ppl:  9.48	 xent: 2.25	  14.89 TFLOP/s	 26853/29983 tok/s	 2697130 sents	  14927 sec	
zero_deu-tur: 6000	 acc: --	 ppl:  8.64	 xent: 2.16	  18.52 TFLOP/s	 33401/37252 tok/s	 2937520 sents	  16220 sec	
zero_deu-tur: 6500	 acc: --	 ppl:  8.07	 xent: 2.09	  18.47 TFLOP/s	 33320/37128 tok/s	 3177044 sents	  17512 sec	
zero_deu-tur: 7000	 acc: --	 ppl:  8.05	 xent: 2.09	  18.91 TFLOP/s	 34133/37977 tok/s	 3422511 sents	  18803 sec	
zero_deu-tur: 7500	 acc: --	 ppl:  8.23	 xent: 2.11	  18.63 TFLOP/s	 33603/37486 tok/s	 3665593 sents	  20097 sec	
zero_deu-tur: 8000	 acc: --	 ppl:  8.09	 xent: 2.09	  15.14 TFLOP/s	 27312/30455 tok/s	 3908177 sents	  21687 sec	
zero_deu-tur: 8500	 acc: --	 ppl:  7.45	 xent: 2.01	  18.83 TFLOP/s	 33978/37842 tok/s	 4153914 sents	  22983 sec	
zero_deu-tur: 9000	 acc: --	 ppl:  7.23	 xent: 1.98	  18.93 TFLOP/s	 34167/38040 tok/s	 4402713 sents	  24286 sec	
zero_deu-tur: 9500	 acc: --	 ppl:  6.85	 xent: 1.92	  18.51 TFLOP/s	 33366/37271 tok/s	 4645843 sents	  25588 sec	
zero_deu-tur: 10000	 acc: --	 ppl:  6.94	 xent: 1.94	  18.29 TFLOP/s	 32995/36792 tok/s	 4886092 sents	  26890 sec	
zero_deu-tur: 10500	 acc: --	 ppl:  6.82	 xent: 1.92	  14.78 TFLOP/s	 26656/29735 tok/s	 5125087 sents	  28497 sec	
zero_deu-tur: 11000	 acc: --	 ppl:  6.40	 xent: 1.86	  18.48 TFLOP/s	 33328/37179 tok/s	 5367821 sents	  29803 sec	
zero_deu-tur: 11500	 acc: --	 ppl:  7.32	 xent: 1.99	  19.16 TFLOP/s	 34573/38500 tok/s	 5619317 sents	  31109 sec	
zero_deu-tur: 12000	 acc: --	 ppl:  6.69	 xent: 1.90	  18.35 TFLOP/s	 33098/36901 tok/s	 5863235 sents	  32433 sec	
