mt_bos-ces: 500	 acc: --	 ppl: 6631.54	 xent: 8.80	  12.46 TFLOP/s	 28830/28278 tok/s	 512048 sents	   3480 sec	
mt_bos-ces: 1000	 acc: --	 ppl: 624.55	 xent: 6.44	  12.66 TFLOP/s	 29311/28707 tok/s	 1024048 sents	   6934 sec	
mt_bos-ces: 1500	 acc: --	 ppl: 287.40	 xent: 5.66	  12.59 TFLOP/s	 29104/28613 tok/s	 1536048 sents	  10387 sec	
mt_bos-ces: 2000	 acc: --	 ppl: 108.82	 xent: 4.69	  12.67 TFLOP/s	 29394/28676 tok/s	 2048000 sents	  13831 sec	
mt_bos-ces: 2500	 acc: --	 ppl: 51.45	 xent: 3.94	  12.39 TFLOP/s	 28715/28089 tok/s	 2560048 sents	  17336 sec	
mt_bos-ces: 3000	 acc: --	 ppl: 35.76	 xent: 3.58	  11.55 TFLOP/s	 26702/26237 tok/s	 3072000 sents	  21100 sec	
mt_bos-ces: 3500	 acc: --	 ppl: 28.42	 xent: 3.35	  12.62 TFLOP/s	 29327/28538 tok/s	 3584000 sents	  24543 sec	
mt_bos-ces: 4000	 acc: --	 ppl: 24.33	 xent: 3.19	  12.59 TFLOP/s	 29093/28636 tok/s	 4096000 sents	  27989 sec	
mt_bos-ces: 4500	 acc: --	 ppl: 21.98	 xent: 3.09	  12.67 TFLOP/s	 29350/28713 tok/s	 4608000 sents	  31439 sec	
mt_bos-ces: 5000	 acc: --	 ppl: 20.11	 xent: 3.00	  12.63 TFLOP/s	 29245/28635 tok/s	 5120048 sents	  34882 sec	
mt_bos-ces: 5500	 acc: --	 ppl: 18.68	 xent: 2.93	  11.53 TFLOP/s	 26613/26216 tok/s	 5632048 sents	  38647 sec	
mt_bos-ces: 6000	 acc: --	 ppl: 17.27	 xent: 2.85	  12.67 TFLOP/s	 29472/28601 tok/s	 6144048 sents	  42092 sec	
mt_bos-ces: 6500	 acc: --	 ppl: 16.48	 xent: 2.80	  12.62 TFLOP/s	 29113/28725 tok/s	 6656048 sents	  45528 sec	
mt_bos-ces: 7000	 acc: --	 ppl: 15.73	 xent: 2.76	  12.63 TFLOP/s	 29229/28671 tok/s	 7168048 sents	  48970 sec	
mt_bos-ces: 7500	 acc: --	 ppl: 15.04	 xent: 2.71	  12.63 TFLOP/s	 29348/28571 tok/s	 7680048 sents	  52420 sec	
