task_bos-eng: 14000	 acc: --	 ppl: 18.87	 xent: 2.94	  18.03 TFLOP/s	 17278/19848 tok/s	 3784507 sents	  40553 sec	
task_bos-eng: 14500	 acc: --	 ppl: 18.26	 xent: 2.90	  17.82 TFLOP/s	 17066/19627 tok/s	 3920453 sents	  41935 sec	
task_bos-eng: 15000	 acc: --	 ppl: 17.66	 xent: 2.87	  17.78 TFLOP/s	 17048/19581 tok/s	 4056246 sents	  43317 sec	
task_bos-eng: 15500	 acc: --	 ppl: 17.12	 xent: 2.84	  14.28 TFLOP/s	 13700/15709 tok/s	 4188557 sents	  45002 sec	
task_bos-eng: 16000	 acc: --	 ppl: 16.81	 xent: 2.82	  17.94 TFLOP/s	 17203/19748 tok/s	 4323182 sents	  46367 sec	
task_bos-eng: 16500	 acc: --	 ppl: 16.40	 xent: 2.80	  17.79 TFLOP/s	 17057/19579 tok/s	 4457798 sents	  47739 sec	
task_bos-eng: 17000	 acc: --	 ppl: 16.12	 xent: 2.78	  17.85 TFLOP/s	 17109/19642 tok/s	 4593528 sents	  49126 sec	
task_bos-eng: 17500	 acc: --	 ppl: 15.88	 xent: 2.77	  17.57 TFLOP/s	 16834/19343 tok/s	 4728257 sents	  50518 sec	
task_bos-eng: 18000	 acc: --	 ppl: 15.62	 xent: 2.75	  14.53 TFLOP/s	 13928/15986 tok/s	 4863941 sents	  52214 sec	
task_bos-eng: 18500	 acc: --	 ppl: 15.36	 xent: 2.73	  17.75 TFLOP/s	 17019/19527 tok/s	 4998283 sents	  53591 sec	
task_bos-eng: 19000	 acc: --	 ppl: 15.10	 xent: 2.71	  17.87 TFLOP/s	 17155/19659 tok/s	 5133648 sents	  54965 sec	
task_bos-eng: 19500	 acc: --	 ppl: 15.02	 xent: 2.71	  18.08 TFLOP/s	 17328/19902 tok/s	 5270796 sents	  56339 sec	
task_bos-eng: 20000	 acc: --	 ppl: 14.77	 xent: 2.69	  18.03 TFLOP/s	 17303/19835 tok/s	 5408568 sents	  57721 sec	
task_bos-eng: 20500	 acc: --	 ppl: 14.74	 xent: 2.69	  14.54 TFLOP/s	 13937/16008 tok/s	 5544482 sents	  59419 sec	
task_bos-eng: 21000	 acc: --	 ppl: 14.54	 xent: 2.68	  17.44 TFLOP/s	 16725/19192 tok/s	 5677484 sents	  60804 sec	
task_bos-eng: 21500	 acc: --	 ppl: 14.45	 xent: 2.67	  18.07 TFLOP/s	 17326/19892 tok/s	 5815000 sents	  62184 sec	
task_bos-eng: 22000	 acc: --	 ppl: 14.35	 xent: 2.66	  17.72 TFLOP/s	 16996/19503 tok/s	 5949488 sents	  63564 sec	
task_bos-eng: 22500	 acc: --	 ppl: 14.24	 xent: 2.66	  17.76 TFLOP/s	 17029/19560 tok/s	 6085033 sents	  64948 sec	
task_bos-eng: 23000	 acc: --	 ppl: 14.12	 xent: 2.65	  14.50 TFLOP/s	 13903/15952 tok/s	 6220154 sents	  66642 sec	
task_bos-eng: 23500	 acc: --	 ppl: 14.04	 xent: 2.64	  17.99 TFLOP/s	 17256/19804 tok/s	 6357451 sents	  68027 sec	
task_bos-eng: 24000	 acc: --	 ppl: 13.93	 xent: 2.63	  17.68 TFLOP/s	 16950/19457 tok/s	 6492692 sents	  69411 sec	
task_bos-eng: 24500	 acc: --	 ppl: 14.00	 xent: 2.64	  17.79 TFLOP/s	 17037/19609 tok/s	 6628470 sents	  70792 sec	
task_bos-eng: 25000	 acc: --	 ppl: 13.84	 xent: 2.63	  17.93 TFLOP/s	 17195/19743 tok/s	 6765041 sents	  72171 sec	
task_bos-eng: 25500	 acc: --	 ppl: 13.74	 xent: 2.62	  14.62 TFLOP/s	 14023/16100 tok/s	 6901653 sents	  73865 sec	
