mt_bos-deu: 500	 acc: --	 ppl: 1397.25	 xent: 7.24	  10.75 TFLOP/s	 31379/32367 tok/s	 256040 sents	   1592 sec	
mt_bos-deu: 1000	 acc: --	 ppl: 181.05	 xent: 5.20	  10.86 TFLOP/s	 31727/32650 tok/s	 512032 sents	   3174 sec	
mt_bos-deu: 1500	 acc: --	 ppl: 177.94	 xent: 5.18	  10.92 TFLOP/s	 31970/32781 tok/s	 768020 sents	   4754 sec	
mt_bos-deu: 2000	 acc: --	 ppl: 78.22	 xent: 4.36	  10.87 TFLOP/s	 31774/32658 tok/s	 1024020 sents	   6338 sec	
mt_bos-deu: 2500	 acc: --	 ppl: 34.12	 xent: 3.53	  10.80 TFLOP/s	 31599/32464 tok/s	 1280040 sents	   7930 sec	
mt_bos-deu: 3000	 acc: --	 ppl: 27.85	 xent: 3.33	   9.02 TFLOP/s	 26339/27171 tok/s	 1536040 sents	   9832 sec	
mt_bos-deu: 3500	 acc: --	 ppl: 18.43	 xent: 2.91	  10.89 TFLOP/s	 31732/32829 tok/s	 1792020 sents	  11411 sec	
mt_bos-deu: 4000	 acc: --	 ppl: 16.78	 xent: 2.82	  10.91 TFLOP/s	 31874/32784 tok/s	 2048000 sents	  12987 sec	
mt_bos-deu: 4500	 acc: --	 ppl: 15.53	 xent: 2.74	  10.79 TFLOP/s	 31371/32580 tok/s	 2304020 sents	  14571 sec	
mt_bos-deu: 5000	 acc: --	 ppl: 13.52	 xent: 2.60	  10.90 TFLOP/s	 31916/32711 tok/s	 2560040 sents	  16147 sec	
mt_bos-deu: 5500	 acc: --	 ppl: 13.43	 xent: 2.60	   9.14 TFLOP/s	 26773/27458 tok/s	 2816040 sents	  18029 sec	
mt_bos-deu: 6000	 acc: --	 ppl: 13.35	 xent: 2.59	  10.89 TFLOP/s	 31803/32727 tok/s	 3072020 sents	  19611 sec	
mt_bos-deu: 6500	 acc: --	 ppl: 13.36	 xent: 2.59	  10.90 TFLOP/s	 31814/32832 tok/s	 3328000 sents	  21188 sec	
mt_bos-deu: 7000	 acc: --	 ppl: 13.73	 xent: 2.62	  10.79 TFLOP/s	 31548/32445 tok/s	 3584032 sents	  22768 sec	
mt_bos-deu: 7500	 acc: --	 ppl: 13.50	 xent: 2.60	  10.82 TFLOP/s	 31540/32581 tok/s	 3840020 sents	  24350 sec	
mt_bos-deu: 8000	 acc: --	 ppl: 13.46	 xent: 2.60	   9.04 TFLOP/s	 26401/27221 tok/s	 4096020 sents	  26247 sec	
mt_bos-deu: 8500	 acc: --	 ppl: 13.31	 xent: 2.59	   9.81 TFLOP/s	 28662/29476 tok/s	 4352020 sents	  28006 sec	
mt_bos-deu: 9000	 acc: --	 ppl: 13.34	 xent: 2.59	  10.87 TFLOP/s	 31765/32650 tok/s	 4608032 sents	  29593 sec	
mt_bos-deu: 9500	 acc: --	 ppl: 13.35	 xent: 2.59	  10.90 TFLOP/s	 31883/32762 tok/s	 4864032 sents	  31174 sec	
mt_bos-deu: 10000	 acc: --	 ppl: 13.49	 xent: 2.60	  10.83 TFLOP/s	 31697/32532 tok/s	 5120032 sents	  32759 sec	
mt_bos-deu: 10500	 acc: --	 ppl: 13.48	 xent: 2.60	   9.06 TFLOP/s	 26512/27220 tok/s	 5376032 sents	  34655 sec	
mt_bos-deu: 11000	 acc: --	 ppl: 13.51	 xent: 2.60	  10.18 TFLOP/s	 29673/30670 tok/s	 5632032 sents	  36336 sec	
mt_bos-deu: 11500	 acc: --	 ppl: 13.39	 xent: 2.59	  10.86 TFLOP/s	 31755/32654 tok/s	 5888020 sents	  37920 sec	
mt_bos-deu: 12000	 acc: --	 ppl: 13.40	 xent: 2.60	  10.78 TFLOP/s	 31390/32515 tok/s	 6144032 sents	  39510 sec	
mt_bos-deu: 12500	 acc: --	 ppl: 13.42	 xent: 2.60	  10.15 TFLOP/s	 29485/30658 tok/s	 6400020 sents	  41196 sec	

mt_bos-eng: 500	 acc: --	 ppl: 1016.81	 xent: 6.92	  10.74 TFLOP/s	 31594/32141 tok/s	 256032 sents	   1592 sec	
mt_bos-eng: 1000	 acc: --	 ppl: 190.30	 xent: 5.25	  10.75 TFLOP/s	 31458/32340 tok/s	 512020 sents	   3174 sec	
mt_bos-eng: 1500	 acc: --	 ppl: 185.51	 xent: 5.22	  10.88 TFLOP/s	 32042/32519 tok/s	 768020 sents	   4754 sec	
mt_bos-eng: 2000	 acc: --	 ppl: 63.47	 xent: 4.15	  10.79 TFLOP/s	 31619/32387 tok/s	 1024020 sents	   6338 sec	
mt_bos-eng: 2500	 acc: --	 ppl: 32.99	 xent: 3.50	  10.73 TFLOP/s	 31448/32214 tok/s	 1280020 sents	   7930 sec	
mt_bos-eng: 3000	 acc: --	 ppl: 20.70	 xent: 3.03	   8.97 TFLOP/s	 26319/26921 tok/s	 1536020 sents	   9832 sec	
mt_bos-eng: 3500	 acc: --	 ppl: 14.93	 xent: 2.70	  10.85 TFLOP/s	 31946/32440 tok/s	 1792040 sents	  11411 sec	
mt_bos-eng: 4000	 acc: --	 ppl: 13.73	 xent: 2.62	  10.85 TFLOP/s	 31855/32502 tok/s	 2048040 sents	  12987 sec	
mt_bos-eng: 4500	 acc: --	 ppl: 13.72	 xent: 2.62	  10.79 TFLOP/s	 31657/32354 tok/s	 2304020 sents	  14571 sec	
mt_bos-eng: 5000	 acc: --	 ppl: 13.82	 xent: 2.63	  10.81 TFLOP/s	 31692/32439 tok/s	 2560040 sents	  16147 sec	
mt_bos-eng: 5500	 acc: --	 ppl: 13.72	 xent: 2.62	   9.08 TFLOP/s	 26638/27233 tok/s	 2816020 sents	  18029 sec	
mt_bos-eng: 6000	 acc: --	 ppl: 13.66	 xent: 2.61	  10.85 TFLOP/s	 31917/32439 tok/s	 3072000 sents	  19611 sec	
mt_bos-eng: 6500	 acc: --	 ppl: 13.83	 xent: 2.63	  10.79 TFLOP/s	 31639/32404 tok/s	 3328040 sents	  21188 sec	
mt_bos-eng: 7000	 acc: --	 ppl: 13.92	 xent: 2.63	  10.75 TFLOP/s	 31502/32275 tok/s	 3584040 sents	  22768 sec	
mt_bos-eng: 7500	 acc: --	 ppl: 13.91	 xent: 2.63	  10.77 TFLOP/s	 31711/32208 tok/s	 3840040 sents	  24350 sec	
mt_bos-eng: 8000	 acc: --	 ppl: 13.71	 xent: 2.62	   8.99 TFLOP/s	 26315/27035 tok/s	 4096032 sents	  26247 sec	
mt_bos-eng: 8500	 acc: --	 ppl: 13.54	 xent: 2.61	   9.78 TFLOP/s	 28707/29277 tok/s	 4352000 sents	  28006 sec	
mt_bos-eng: 9000	 acc: --	 ppl: 13.70	 xent: 2.62	  10.78 TFLOP/s	 31639/32321 tok/s	 4608040 sents	  29593 sec	
mt_bos-eng: 9500	 acc: --	 ppl: 13.65	 xent: 2.61	  10.85 TFLOP/s	 31855/32490 tok/s	 4864020 sents	  31174 sec	
mt_bos-eng: 10000	 acc: --	 ppl: 13.73	 xent: 2.62	  10.80 TFLOP/s	 31765/32317 tok/s	 5120032 sents	  32759 sec	
mt_bos-eng: 10500	 acc: --	 ppl: 13.73	 xent: 2.62	   9.01 TFLOP/s	 26456/27026 tok/s	 5376020 sents	  34655 sec	
mt_bos-eng: 11000	 acc: --	 ppl: 13.86	 xent: 2.63	  10.13 TFLOP/s	 29712/30373 tok/s	 5632032 sents	  36336 sec	
mt_bos-eng: 11500	 acc: --	 ppl: 13.74	 xent: 2.62	  10.77 TFLOP/s	 31526/32337 tok/s	 5888040 sents	  37920 sec	
mt_bos-eng: 12000	 acc: --	 ppl: 13.64	 xent: 2.61	  10.78 TFLOP/s	 31627/32299 tok/s	 6144020 sents	  39510 sec	
mt_bos-eng: 12500	 acc: --	 ppl: 13.76	 xent: 2.62	  10.10 TFLOP/s	 29591/30362 tok/s	 6400000 sents	  41196 sec	

mt_bos-fra: 500	 acc: --	 ppl: 753.28	 xent: 6.62	  10.99 TFLOP/s	 31340/33596 tok/s	 256032 sents	   1592 sec	
mt_bos-fra: 1000	 acc: --	 ppl: 150.75	 xent: 5.02	  11.10 TFLOP/s	 31764/33842 tok/s	 512032 sents	   3174 sec	
mt_bos-fra: 1500	 acc: --	 ppl: 148.76	 xent: 5.00	  11.14 TFLOP/s	 31878/33955 tok/s	 768032 sents	   4754 sec	
mt_bos-fra: 2000	 acc: --	 ppl: 45.20	 xent: 3.81	  11.10 TFLOP/s	 31689/33881 tok/s	 1024032 sents	   6338 sec	
mt_bos-fra: 2500	 acc: --	 ppl: 21.55	 xent: 3.07	  11.00 TFLOP/s	 31342/33679 tok/s	 1280032 sents	   7930 sec	
mt_bos-fra: 3000	 acc: --	 ppl: 17.02	 xent: 2.83	   9.22 TFLOP/s	 26304/28196 tok/s	 1536020 sents	   9832 sec	
mt_bos-fra: 3500	 acc: --	 ppl: 15.19	 xent: 2.72	  11.11 TFLOP/s	 31712/33942 tok/s	 1792020 sents	  11411 sec	
mt_bos-fra: 4000	 acc: --	 ppl: 12.78	 xent: 2.55	  11.10 TFLOP/s	 31637/33941 tok/s	 2048040 sents	  12987 sec	
mt_bos-fra: 4500	 acc: --	 ppl: 12.27	 xent: 2.51	  11.10 TFLOP/s	 31809/33793 tok/s	 2304032 sents	  14571 sec	
mt_bos-fra: 5000	 acc: --	 ppl: 12.26	 xent: 2.51	  11.13 TFLOP/s	 31798/33992 tok/s	 2560020 sents	  16147 sec	
mt_bos-fra: 5500	 acc: --	 ppl: 12.23	 xent: 2.50	   9.34 TFLOP/s	 26705/28482 tok/s	 2816020 sents	  18029 sec	
mt_bos-fra: 6000	 acc: --	 ppl: 12.29	 xent: 2.51	  11.07 TFLOP/s	 31608/33804 tok/s	 3072032 sents	  19611 sec	
mt_bos-fra: 6500	 acc: --	 ppl: 12.24	 xent: 2.50	  11.15 TFLOP/s	 31932/33981 tok/s	 3328020 sents	  21188 sec	
mt_bos-fra: 7000	 acc: --	 ppl: 12.44	 xent: 2.52	  11.04 TFLOP/s	 31550/33717 tok/s	 3584032 sents	  22768 sec	
mt_bos-fra: 7500	 acc: --	 ppl: 12.29	 xent: 2.51	  11.09 TFLOP/s	 31743/33799 tok/s	 3840000 sents	  24350 sec	
mt_bos-fra: 8000	 acc: --	 ppl: 12.31	 xent: 2.51	   9.23 TFLOP/s	 26394/28190 tok/s	 4096032 sents	  26247 sec	
mt_bos-fra: 8500	 acc: --	 ppl: 12.18	 xent: 2.50	  10.03 TFLOP/s	 28741/30522 tok/s	 4352040 sents	  28006 sec	
mt_bos-fra: 9000	 acc: --	 ppl: 12.14	 xent: 2.50	  11.13 TFLOP/s	 31909/33885 tok/s	 4608032 sents	  29593 sec	
mt_bos-fra: 9500	 acc: --	 ppl: 11.97	 xent: 2.48	  11.13 TFLOP/s	 31802/33940 tok/s	 4864020 sents	  31174 sec	
mt_bos-fra: 10000	 acc: --	 ppl: 11.93	 xent: 2.48	  11.06 TFLOP/s	 31618/33748 tok/s	 5120040 sents	  32759 sec	
mt_bos-fra: 10500	 acc: --	 ppl: 10.73	 xent: 2.37	   9.24 TFLOP/s	 26385/28206 tok/s	 5376040 sents	  34655 sec	
mt_bos-fra: 11000	 acc: --	 ppl: 10.86	 xent: 2.38	  10.41 TFLOP/s	 29765/31783 tok/s	 5632032 sents	  36336 sec	
mt_bos-fra: 11500	 acc: --	 ppl: 11.09	 xent: 2.41	  11.08 TFLOP/s	 31632/33840 tok/s	 5888032 sents	  37920 sec	
mt_bos-fra: 12000	 acc: --	 ppl: 11.26	 xent: 2.42	  11.06 TFLOP/s	 31607/33763 tok/s	 6144040 sents	  39510 sec	
mt_bos-fra: 12500	 acc: --	 ppl: 10.82	 xent: 2.38	  10.40 TFLOP/s	 29749/31728 tok/s	 6400020 sents	  41196 sec	

mt_bos-spa: 500	 acc: --	 ppl: 680.62	 xent: 6.52	  11.02 TFLOP/s	 31384/33715 tok/s	 256032 sents	   1592 sec	
mt_bos-spa: 1000	 acc: --	 ppl: 148.03	 xent: 5.00	  11.12 TFLOP/s	 31727/33965 tok/s	 512032 sents	   3174 sec	
mt_bos-spa: 1500	 acc: --	 ppl: 145.78	 xent: 4.98	  11.12 TFLOP/s	 31565/34093 tok/s	 768032 sents	   4754 sec	
mt_bos-spa: 2000	 acc: --	 ppl: 45.76	 xent: 3.82	  11.10 TFLOP/s	 31627/33945 tok/s	 1024032 sents	   6338 sec	
mt_bos-spa: 2500	 acc: --	 ppl: 27.88	 xent: 3.33	  11.07 TFLOP/s	 31558/33841 tok/s	 1280032 sents	   7930 sec	
mt_bos-spa: 3000	 acc: --	 ppl: 18.98	 xent: 2.94	   9.26 TFLOP/s	 26453/28276 tok/s	 1536040 sents	   9832 sec	
mt_bos-spa: 3500	 acc: --	 ppl: 13.06	 xent: 2.57	  11.16 TFLOP/s	 31788/34123 tok/s	 1792032 sents	  11411 sec	
mt_bos-spa: 4000	 acc: --	 ppl: 12.07	 xent: 2.49	  11.19 TFLOP/s	 31899/34183 tok/s	 2048020 sents	  12987 sec	
mt_bos-spa: 4500	 acc: --	 ppl: 12.09	 xent: 2.49	  11.11 TFLOP/s	 31630/33995 tok/s	 2304000 sents	  14571 sec	
mt_bos-spa: 5000	 acc: --	 ppl: 12.14	 xent: 2.50	  11.16 TFLOP/s	 31831/34120 tok/s	 2560000 sents	  16147 sec	
mt_bos-spa: 5500	 acc: --	 ppl: 12.15	 xent: 2.50	   9.33 TFLOP/s	 26582/28552 tok/s	 2816020 sents	  18029 sec	
mt_bos-spa: 6000	 acc: --	 ppl: 12.07	 xent: 2.49	  11.12 TFLOP/s	 31617/34056 tok/s	 3072020 sents	  19611 sec	
mt_bos-spa: 6500	 acc: --	 ppl: 12.21	 xent: 2.50	  11.14 TFLOP/s	 31819/34010 tok/s	 3328020 sents	  21188 sec	
mt_bos-spa: 7000	 acc: --	 ppl: 12.18	 xent: 2.50	  11.12 TFLOP/s	 31717/33995 tok/s	 3584000 sents	  22768 sec	
mt_bos-spa: 7500	 acc: --	 ppl: 12.30	 xent: 2.51	  11.04 TFLOP/s	 31431/33783 tok/s	 3840020 sents	  24350 sec	
mt_bos-spa: 8000	 acc: --	 ppl: 12.08	 xent: 2.49	   9.30 TFLOP/s	 26554/28403 tok/s	 4096020 sents	  26247 sec	
mt_bos-spa: 8500	 acc: --	 ppl: 11.96	 xent: 2.48	  10.06 TFLOP/s	 28643/30739 tok/s	 4352020 sents	  28006 sec	
mt_bos-spa: 9000	 acc: --	 ppl: 12.01	 xent: 2.49	  11.14 TFLOP/s	 31786/34035 tok/s	 4608032 sents	  29593 sec	
mt_bos-spa: 9500	 acc: --	 ppl: 12.05	 xent: 2.49	  11.16 TFLOP/s	 31808/34108 tok/s	 4864032 sents	  31174 sec	
mt_bos-spa: 10000	 acc: --	 ppl: 12.16	 xent: 2.50	  11.06 TFLOP/s	 31430/33890 tok/s	 5120020 sents	  32759 sec	
mt_bos-spa: 10500	 acc: --	 ppl: 12.14	 xent: 2.50	   9.25 TFLOP/s	 26272/28362 tok/s	 5376020 sents	  34655 sec	
mt_bos-spa: 11000	 acc: --	 ppl: 12.21	 xent: 2.50	  10.42 TFLOP/s	 29669/31913 tok/s	 5632020 sents	  36336 sec	
mt_bos-spa: 11500	 acc: --	 ppl: 12.13	 xent: 2.50	  11.11 TFLOP/s	 31677/33951 tok/s	 5888040 sents	  37920 sec	
mt_bos-spa: 12000	 acc: --	 ppl: 12.02	 xent: 2.49	  11.08 TFLOP/s	 31481/33940 tok/s	 6144020 sents	  39510 sec	
mt_bos-spa: 12500	 acc: --	 ppl: 12.22	 xent: 2.50	  10.40 TFLOP/s	 29661/31801 tok/s	 6400032 sents	  41196 sec	

mt_bul-deu: 500	 acc: --	 ppl: 1384.78	 xent: 7.23	  11.08 TFLOP/s	 33372/32407 tok/s	 256020 sents	   1592 sec	
mt_bul-deu: 1000	 acc: --	 ppl: 179.50	 xent: 5.19	  11.17 TFLOP/s	 33618/32704 tok/s	 512020 sents	   3174 sec	
mt_bul-deu: 1500	 acc: --	 ppl: 180.10	 xent: 5.19	  11.18 TFLOP/s	 33670/32705 tok/s	 768032 sents	   4754 sec	
mt_bul-deu: 2000	 acc: --	 ppl: 44.16	 xent: 3.79	  11.16 TFLOP/s	 33550/32692 tok/s	 1024020 sents	   6338 sec	
mt_bul-deu: 2500	 acc: --	 ppl: 32.15	 xent: 3.47	  11.09 TFLOP/s	 33373/32453 tok/s	 1280020 sents	   7930 sec	
mt_bul-deu: 3000	 acc: --	 ppl: 14.45	 xent: 2.67	   9.30 TFLOP/s	 27974/27241 tok/s	 1536000 sents	   9832 sec	
mt_bul-deu: 3500	 acc: --	 ppl: 13.49	 xent: 2.60	  11.15 TFLOP/s	 33547/32677 tok/s	 1792032 sents	  11411 sec	
mt_bul-deu: 4000	 acc: --	 ppl: 13.39	 xent: 2.59	  11.21 TFLOP/s	 33710/32816 tok/s	 2048032 sents	  12987 sec	
mt_bul-deu: 4500	 acc: --	 ppl: 13.40	 xent: 2.60	  11.16 TFLOP/s	 33572/32649 tok/s	 2304000 sents	  14571 sec	
mt_bul-deu: 5000	 acc: --	 ppl: 13.66	 xent: 2.61	  11.12 TFLOP/s	 33479/32584 tok/s	 2560020 sents	  16147 sec	
mt_bul-deu: 5500	 acc: --	 ppl: 13.39	 xent: 2.59	   9.39 TFLOP/s	 28248/27487 tok/s	 2816020 sents	  18029 sec	
mt_bul-deu: 6000	 acc: --	 ppl: 13.25	 xent: 2.58	  11.21 TFLOP/s	 33712/32819 tok/s	 3072020 sents	  19611 sec	
mt_bul-deu: 6500	 acc: --	 ppl: 13.31	 xent: 2.59	  11.23 TFLOP/s	 33798/32878 tok/s	 3328000 sents	  21188 sec	
mt_bul-deu: 7000	 acc: --	 ppl: 13.54	 xent: 2.61	  11.15 TFLOP/s	 33575/32612 tok/s	 3584020 sents	  22768 sec	
mt_bul-deu: 7500	 acc: --	 ppl: 12.94	 xent: 2.56	  11.13 TFLOP/s	 33497/32602 tok/s	 3840032 sents	  24350 sec	
mt_bul-deu: 8000	 acc: --	 ppl: 11.50	 xent: 2.44	   9.33 TFLOP/s	 28097/27277 tok/s	 4096020 sents	  26247 sec	
mt_bul-deu: 8500	 acc: --	 ppl: 11.27	 xent: 2.42	  10.04 TFLOP/s	 30161/29408 tok/s	 4352000 sents	  28006 sec	
mt_bul-deu: 9000	 acc: --	 ppl: 10.77	 xent: 2.38	  11.11 TFLOP/s	 33417/32529 tok/s	 4608000 sents	  29593 sec	
mt_bul-deu: 9500	 acc: --	 ppl: 10.45	 xent: 2.35	  11.15 TFLOP/s	 33568/32651 tok/s	 4864020 sents	  31174 sec	
mt_bul-deu: 10000	 acc: --	 ppl: 10.22	 xent: 2.32	  11.14 TFLOP/s	 33546/32574 tok/s	 5120032 sents	  32759 sec	
