zero_deu-tur: 500	 acc: --	 ppl: 300.71	 xent: 5.71	  13.43 TFLOP/s	 26742/29818 tok/s	 246431 sents	   1652 sec	
zero_deu-tur: 1000	 acc: --	 ppl: 245.79	 xent: 5.50	  13.28 TFLOP/s	 26451/29426 tok/s	 490600 sents	   3309 sec	
zero_deu-tur: 1500	 acc: --	 ppl: 222.30	 xent: 5.40	  13.48 TFLOP/s	 26856/29861 tok/s	 739008 sents	   4972 sec	
zero_deu-tur: 2000	 acc: --	 ppl: 164.05	 xent: 5.10	  13.36 TFLOP/s	 26576/29691 tok/s	 983941 sents	   6620 sec	
zero_deu-tur: 2500	 acc: --	 ppl: 24.06	 xent: 3.18	  13.47 TFLOP/s	 26813/29931 tok/s	 1231469 sents	   8273 sec	
zero_deu-tur: 3000	 acc: --	 ppl: 15.43	 xent: 2.74	  11.27 TFLOP/s	 22442/24998 tok/s	 1477192 sents	  10235 sec	
zero_deu-tur: 3500	 acc: --	 ppl: 15.30	 xent: 2.73	  13.48 TFLOP/s	 26844/29886 tok/s	 1723811 sents	  11881 sec	
zero_deu-tur: 4000	 acc: --	 ppl: 15.05	 xent: 2.71	  13.40 TFLOP/s	 26682/29705 tok/s	 1971697 sents	  13548 sec	
zero_deu-tur: 4500	 acc: --	 ppl: 15.87	 xent: 2.76	  13.19 TFLOP/s	 26266/29265 tok/s	 2214966 sents	  15207 sec	
zero_deu-tur: 5000	 acc: --	 ppl: 15.15	 xent: 2.72	  13.33 TFLOP/s	 26546/29583 tok/s	 2463365 sents	  16876 sec	
zero_deu-tur: 5500	 acc: --	 ppl: 15.64	 xent: 2.75	  11.04 TFLOP/s	 21979/24497 tok/s	 2708173 sents	  18868 sec	

zero_deu-ukr: 500	 acc: --	 ppl: 271.82	 xent: 5.61	  13.56 TFLOP/s	 26635/30582 tok/s	 245068 sents	   1652 sec	
zero_deu-ukr: 1000	 acc: --	 ppl: 226.26	 xent: 5.42	  13.24 TFLOP/s	 26026/29875 tok/s	 485708 sents	   3309 sec	
zero_deu-ukr: 1500	 acc: --	 ppl: 201.29	 xent: 5.30	  13.46 TFLOP/s	 26418/30420 tok/s	 731360 sents	   4972 sec	
zero_deu-ukr: 2000	 acc: --	 ppl: 109.00	 xent: 4.69	  13.45 TFLOP/s	 26413/30380 tok/s	 974330 sents	   6620 sec	
zero_deu-ukr: 2500	 acc: --	 ppl: 26.98	 xent: 3.29	  13.57 TFLOP/s	 26643/30625 tok/s	 1220151 sents	   8273 sec	
zero_deu-ukr: 3000	 acc: --	 ppl: 14.94	 xent: 2.70	  11.41 TFLOP/s	 22438/25693 tok/s	 1465030 sents	  10235 sec	
zero_deu-ukr: 3500	 acc: --	 ppl: 14.09	 xent: 2.65	  13.64 TFLOP/s	 26781/30812 tok/s	 1711798 sents	  11881 sec	
zero_deu-ukr: 4000	 acc: --	 ppl: 13.93	 xent: 2.63	  13.54 TFLOP/s	 26574/30581 tok/s	 1959127 sents	  13548 sec	
zero_deu-ukr: 4500	 acc: --	 ppl: 15.61	 xent: 2.75	  13.07 TFLOP/s	 25698/29445 tok/s	 2196715 sents	  15207 sec	
zero_deu-ukr: 5000	 acc: --	 ppl: 14.07	 xent: 2.64	  13.47 TFLOP/s	 26460/30415 tok/s	 2444500 sents	  16876 sec	
zero_deu-ukr: 5500	 acc: --	 ppl: 14.44	 xent: 2.67	  11.17 TFLOP/s	 21931/25232 tok/s	 2689262 sents	  18868 sec	

zero_fra-nld: 500	 acc: --	 ppl: 258.16	 xent: 5.55	  14.29 TFLOP/s	 29658/29494 tok/s	 243777 sents	   1652 sec	
zero_fra-nld: 1000	 acc: --	 ppl: 260.49	 xent: 5.56	  14.11 TFLOP/s	 29283/29119 tok/s	 485454 sents	   3309 sec	
zero_fra-nld: 1500	 acc: --	 ppl: 226.30	 xent: 5.42	  14.42 TFLOP/s	 29919/29763 tok/s	 733235 sents	   4972 sec	
