zero_deu-tur: 500	 acc: --	 ppl: 246.74	 xent: 5.51	  23.50 TFLOP/s	 16974/18925 tok/s	 243882 sents	   2575 sec	
zero_deu-tur: 1000	 acc: --	 ppl: 270.32	 xent: 5.60	  23.10 TFLOP/s	 16703/18586 tok/s	 483911 sents	   5154 sec	
zero_deu-tur: 1500	 acc: --	 ppl: 21.59	 xent: 3.07	  23.50 TFLOP/s	 17002/18899 tok/s	 728033 sents	   7737 sec	
zero_deu-tur: 2000	 acc: --	 ppl: 15.91	 xent: 2.77	  23.38 TFLOP/s	 16862/18844 tok/s	 970778 sents	  10311 sec	
zero_deu-tur: 2500	 acc: --	 ppl: 15.35	 xent: 2.73	  23.49 TFLOP/s	 16953/18923 tok/s	 1213844 sents	  12877 sec	

zero_deu-ukr: 500	 acc: --	 ppl: 217.56	 xent: 5.38	  23.78 TFLOP/s	 16868/19367 tok/s	 241964 sents	   2575 sec	
zero_deu-ukr: 1000	 acc: --	 ppl: 234.87	 xent: 5.46	  23.32 TFLOP/s	 16546/18990 tok/s	 480015 sents	   5154 sec	
zero_deu-ukr: 1500	 acc: --	 ppl: 21.37	 xent: 3.06	  23.57 TFLOP/s	 16696/19229 tok/s	 721231 sents	   7737 sec	
zero_deu-ukr: 2000	 acc: --	 ppl: 15.31	 xent: 2.73	  23.45 TFLOP/s	 16616/19114 tok/s	 959747 sents	  10311 sec	
zero_deu-ukr: 2500	 acc: --	 ppl: 14.65	 xent: 2.68	  23.91 TFLOP/s	 16951/19482 tok/s	 1202502 sents	  12877 sec	

zero_fra-nld: 500	 acc: --	 ppl: 265.27	 xent: 5.58	  24.41 TFLOP/s	 18783/18679 tok/s	 240729 sents	   2575 sec	
zero_fra-nld: 1000	 acc: --	 ppl: 283.26	 xent: 5.65	  24.08 TFLOP/s	 18534/18432 tok/s	 478739 sents	   5154 sec	
zero_fra-nld: 1500	 acc: --	 ppl: 17.16	 xent: 2.84	  24.63 TFLOP/s	 18956/18856 tok/s	 722531 sents	   7737 sec	
zero_fra-nld: 2000	 acc: --	 ppl: 15.54	 xent: 2.74	  24.24 TFLOP/s	 18643/18561 tok/s	 961456 sents	  10311 sec	
zero_fra-nld: 2500	 acc: --	 ppl: 10.87	 xent: 2.39	  24.50 TFLOP/s	 18847/18751 tok/s	 1202431 sents	  12877 sec	

zero_swe-fin: 500	 acc: --	 ppl: 233.09	 xent: 5.45	  24.65 TFLOP/s	 18625/19122 tok/s	 238879 sents	   2575 sec	
zero_swe-fin: 1000	 acc: --	 ppl: 178.97	 xent: 5.19	  24.37 TFLOP/s	 18436/18887 tok/s	 475772 sents	   5154 sec	
zero_swe-fin: 1500	 acc: --	 ppl: 16.57	 xent: 2.81	  24.61 TFLOP/s	 18597/19089 tok/s	 715006 sents	   7737 sec	
zero_swe-fin: 2000	 acc: --	 ppl: 15.34	 xent: 2.73	  24.63 TFLOP/s	 18616/19097 tok/s	 953654 sents	  10311 sec	
zero_swe-fin: 2500	 acc: --	 ppl: 10.22	 xent: 2.32	  24.84 TFLOP/s	 18792/19245 tok/s	 1193641 sents	  12877 sec	

zero_ces-slk: 500	 acc: --	 ppl: 298.89	 xent: 5.70	  24.42 TFLOP/s	 19255/18288 tok/s	 235652 sents	   2575 sec	
zero_ces-slk: 1000	 acc: --	 ppl: 283.58	 xent: 5.65	  24.20 TFLOP/s	 19081/18140 tok/s	 470040 sents	   5154 sec	
zero_ces-slk: 1500	 acc: --	 ppl: 19.13	 xent: 2.95	  24.61 TFLOP/s	 19402/18435 tok/s	 708303 sents	   7737 sec	
zero_ces-slk: 2000	 acc: --	 ppl: 12.07	 xent: 2.49	  24.45 TFLOP/s	 19268/18321 tok/s	 944135 sents	  10311 sec	
zero_ces-slk: 2500	 acc: --	 ppl:  7.88	 xent: 2.06	  24.53 TFLOP/s	 19303/18408 tok/s	 1180861 sents	  12877 sec	

zero_bos-hrv: 500	 acc: --	 ppl: 254.84	 xent: 5.54	  24.79 TFLOP/s	 19207/18814 tok/s	 235139 sents	   2575 sec	
zero_bos-hrv: 1000	 acc: --	 ppl: 168.26	 xent: 5.13	  24.65 TFLOP/s	 19095/18718 tok/s	 469866 sents	   5154 sec	
zero_bos-hrv: 1500	 acc: --	 ppl: 16.94	 xent: 2.83	  24.95 TFLOP/s	 19327/18940 tok/s	 707170 sents	   7737 sec	
zero_bos-hrv: 2000	 acc: --	 ppl: 10.07	 xent: 2.31	  24.87 TFLOP/s	 19275/18874 tok/s	 943068 sents	  10311 sec	
zero_bos-hrv: 2500	 acc: --	 ppl:  5.98	 xent: 1.79	  25.16 TFLOP/s	 19523/19082 tok/s	 1180915 sents	  12877 sec	

zero_bos-srp_Cyrl: 500	 acc: --	 ppl: 247.82	 xent: 5.51	  24.29 TFLOP/s	 18321/18910 tok/s	 243696 sents	   2575 sec	
zero_bos-srp_Cyrl: 1000	 acc: --	 ppl: 271.41	 xent: 5.60	  23.88 TFLOP/s	 18026/18572 tok/s	 483540 sents	   5154 sec	
zero_bos-srp_Cyrl: 1500	 acc: --	 ppl: 18.12	 xent: 2.90	  24.48 TFLOP/s	 18459/19062 tok/s	 729902 sents	   7737 sec	
zero_bos-srp_Cyrl: 2000	 acc: --	 ppl: 16.29	 xent: 2.79	  24.01 TFLOP/s	 18114/18685 tok/s	 970427 sents	  10311 sec	
