denoise_fin-fin: 20500	 acc: --	 ppl:  6.66	 xent: 1.90	  15.44 TFLOP/s	 42057/49424 tok/s	 5248016 sents	  19700 sec	
denoise_fin-fin: 21000	 acc: --	 ppl:  6.71	 xent: 1.90	  17.48 TFLOP/s	 47631/55962 tok/s	 5376000 sents	  20141 sec	
denoise_fin-fin: 21500	 acc: --	 ppl:  6.64	 xent: 1.89	  15.22 TFLOP/s	 41478/48729 tok/s	 5504016 sents	  20647 sec	
denoise_fin-fin: 22000	 acc: --	 ppl:  6.66	 xent: 1.90	  17.40 TFLOP/s	 47385/55678 tok/s	 5632000 sents	  21091 sec	
denoise_fin-fin: 22500	 acc: --	 ppl:  6.64	 xent: 1.89	  15.45 TFLOP/s	 42101/49461 tok/s	 5760016 sents	  21590 sec	
denoise_fin-fin: 23000	 acc: --	 ppl:  6.64	 xent: 1.89	  17.48 TFLOP/s	 47606/55943 tok/s	 5888000 sents	  22033 sec	
denoise_fin-fin: 23500	 acc: --	 ppl:  6.66	 xent: 1.90	  15.18 TFLOP/s	 41369/48589 tok/s	 6016016 sents	  22539 sec	
denoise_fin-fin: 24000	 acc: --	 ppl:  6.67	 xent: 1.90	  17.51 TFLOP/s	 47662/55996 tok/s	 6144000 sents	  22983 sec	
denoise_fin-fin: 24500	 acc: --	 ppl:  6.64	 xent: 1.89	  14.96 TFLOP/s	 40765/47900 tok/s	 6272016 sents	  23497 sec	
denoise_fin-fin: 25000	 acc: --	 ppl:  6.60	 xent: 1.89	  17.47 TFLOP/s	 47583/55906 tok/s	 6400000 sents	  23940 sec	

denoise_eng-eng: 500	 acc: --	 ppl: 631.76	 xent: 6.45	  18.01 TFLOP/s	 49280/57240 tok/s	 128016 sents	    446 sec	
denoise_eng-eng: 1000	 acc: --	 ppl: 409.26	 xent: 6.01	  18.14 TFLOP/s	 49633/57646 tok/s	 256000 sents	    891 sec	
denoise_eng-eng: 1500	 acc: --	 ppl: 192.61	 xent: 5.26	  10.59 TFLOP/s	 28980/33659 tok/s	 384016 sents	   1649 sec	
denoise_eng-eng: 2000	 acc: --	 ppl: 14.26	 xent: 2.66	  18.20 TFLOP/s	 49783/57825 tok/s	 512000 sents	   2092 sec	
denoise_eng-eng: 2500	 acc: --	 ppl: 13.62	 xent: 2.61	  15.43 TFLOP/s	 42214/49033 tok/s	 640016 sents	   2612 sec	
denoise_eng-eng: 3000	 acc: --	 ppl: 11.78	 xent: 2.47	  18.24 TFLOP/s	 49885/57947 tok/s	 768000 sents	   3054 sec	
denoise_eng-eng: 3500	 acc: --	 ppl:  9.99	 xent: 2.30	  15.35 TFLOP/s	 42008/48793 tok/s	 896016 sents	   3577 sec	
denoise_eng-eng: 4000	 acc: --	 ppl:  8.85	 xent: 2.18	  18.23 TFLOP/s	 49861/57913 tok/s	 1024000 sents	   4019 sec	
denoise_eng-eng: 4500	 acc: --	 ppl:  8.50	 xent: 2.14	  15.28 TFLOP/s	 41815/48572 tok/s	 1152016 sents	   4544 sec	
denoise_eng-eng: 5000	 acc: --	 ppl:  8.33	 xent: 2.12	  18.17 TFLOP/s	 49727/57765 tok/s	 1280000 sents	   4985 sec	
denoise_eng-eng: 5500	 acc: --	 ppl:  7.79	 xent: 2.05	  15.15 TFLOP/s	 41462/48172 tok/s	 1408016 sents	   5515 sec	
denoise_eng-eng: 6000	 acc: --	 ppl:  7.71	 xent: 2.04	  18.19 TFLOP/s	 49747/57781 tok/s	 1536000 sents	   5959 sec	
denoise_eng-eng: 6500	 acc: --	 ppl:  7.16	 xent: 1.97	  16.05 TFLOP/s	 43925/51028 tok/s	 1664016 sents	   6460 sec	
denoise_eng-eng: 7000	 acc: --	 ppl:  6.58	 xent: 1.88	  18.17 TFLOP/s	 49705/57741 tok/s	 1792000 sents	   6904 sec	
denoise_eng-eng: 7500	 acc: --	 ppl:  6.52	 xent: 1.87	  15.77 TFLOP/s	 43171/50139 tok/s	 1920016 sents	   7411 sec	
denoise_eng-eng: 8000	 acc: --	 ppl:  6.82	 xent: 1.92	  18.25 TFLOP/s	 49900/57984 tok/s	 2048000 sents	   7854 sec	
denoise_eng-eng: 8500	 acc: --	 ppl:  6.53	 xent: 1.88	  16.10 TFLOP/s	 44053/51163 tok/s	 2176016 sents	   8351 sec	
denoise_eng-eng: 9000	 acc: --	 ppl:  6.46	 xent: 1.87	  18.16 TFLOP/s	 49685/57719 tok/s	 2304000 sents	   8794 sec	
denoise_eng-eng: 9500	 acc: --	 ppl:  6.43	 xent: 1.86	  16.00 TFLOP/s	 43781/50854 tok/s	 2432016 sents	   9295 sec	
denoise_eng-eng: 10000	 acc: --	 ppl:  6.43	 xent: 1.86	  18.15 TFLOP/s	 49649/57667 tok/s	 2560000 sents	   9740 sec	
denoise_eng-eng: 10500	 acc: --	 ppl:  6.34	 xent: 1.85	  15.80 TFLOP/s	 43243/50231 tok/s	 2688016 sents	  10249 sec	
denoise_eng-eng: 11000	 acc: --	 ppl:  6.42	 xent: 1.86	  18.26 TFLOP/s	 49956/58028 tok/s	 2816000 sents	  10691 sec	
denoise_eng-eng: 11500	 acc: --	 ppl:  6.34	 xent: 1.85	  16.08 TFLOP/s	 44003/51125 tok/s	 2944016 sents	  11191 sec	
denoise_eng-eng: 12000	 acc: --	 ppl:  6.36	 xent: 1.85	  18.20 TFLOP/s	 49769/57814 tok/s	 3072000 sents	  11635 sec	
denoise_eng-eng: 12500	 acc: --	 ppl:  6.34	 xent: 1.85	  16.09 TFLOP/s	 44024/51135 tok/s	 3200016 sents	  12134 sec	
denoise_eng-eng: 13000	 acc: --	 ppl:  6.31	 xent: 1.84	  18.21 TFLOP/s	 49826/57873 tok/s	 3328000 sents	  12577 sec	
denoise_eng-eng: 13500	 acc: --	 ppl:  6.36	 xent: 1.85	  16.10 TFLOP/s	 44068/51189 tok/s	 3456016 sents	  13075 sec	
denoise_eng-eng: 14000	 acc: --	 ppl:  6.31	 xent: 1.84	  18.23 TFLOP/s	 49878/57940 tok/s	 3584000 sents	  13517 sec	
denoise_eng-eng: 14500	 acc: --	 ppl:  6.23	 xent: 1.83	  15.58 TFLOP/s	 42635/49522 tok/s	 3712016 sents	  14033 sec	
denoise_eng-eng: 15000	 acc: --	 ppl:  6.30	 xent: 1.84	  18.26 TFLOP/s	 49938/58003 tok/s	 3840000 sents	  14475 sec	
denoise_eng-eng: 15500	 acc: --	 ppl:  6.25	 xent: 1.83	  15.86 TFLOP/s	 43405/50410 tok/s	 3968016 sents	  14980 sec	
denoise_eng-eng: 16000	 acc: --	 ppl:  6.31	 xent: 1.84	  18.18 TFLOP/s	 49728/57761 tok/s	 4096000 sents	  15423 sec	
denoise_eng-eng: 16500	 acc: --	 ppl:  6.22	 xent: 1.83	  15.81 TFLOP/s	 43255/50253 tok/s	 4224016 sents	  15931 sec	
denoise_eng-eng: 17000	 acc: --	 ppl:  6.28	 xent: 1.84	  18.23 TFLOP/s	 49869/57932 tok/s	 4352000 sents	  16375 sec	
denoise_eng-eng: 17500	 acc: --	 ppl:  6.34	 xent: 1.85	  16.04 TFLOP/s	 43896/50989 tok/s	 4480016 sents	  16876 sec	
denoise_eng-eng: 18000	 acc: --	 ppl:  6.27	 xent: 1.84	  18.24 TFLOP/s	 49889/57959 tok/s	 4608000 sents	  17319 sec	
