mt_fin-eng: 13000	 acc: --	 ppl: 12.53	 xent: 2.53	  19.18 TFLOP/s	 55897/57867 tok/s	 3328000 sents	  12577 sec	
mt_fin-eng: 13500	 acc: --	 ppl: 12.28	 xent: 2.51	  16.96 TFLOP/s	 49419/51180 tok/s	 3456016 sents	  13075 sec	
mt_fin-eng: 14000	 acc: --	 ppl: 12.27	 xent: 2.51	  19.20 TFLOP/s	 55967/57938 tok/s	 3584000 sents	  13517 sec	
mt_fin-eng: 14500	 acc: --	 ppl: 12.03	 xent: 2.49	  16.40 TFLOP/s	 47791/49508 tok/s	 3712016 sents	  14033 sec	
mt_fin-eng: 15000	 acc: --	 ppl: 11.89	 xent: 2.48	  19.22 TFLOP/s	 56002/57993 tok/s	 3840000 sents	  14475 sec	
mt_fin-eng: 15500	 acc: --	 ppl: 11.72	 xent: 2.46	  16.70 TFLOP/s	 48666/50402 tok/s	 3968016 sents	  14980 sec	
mt_fin-eng: 16000	 acc: --	 ppl: 11.77	 xent: 2.47	  19.15 TFLOP/s	 55796/57762 tok/s	 4096000 sents	  15423 sec	
mt_fin-eng: 16500	 acc: --	 ppl: 11.52	 xent: 2.44	  16.65 TFLOP/s	 48532/50247 tok/s	 4224016 sents	  15931 sec	
mt_fin-eng: 17000	 acc: --	 ppl: 10.57	 xent: 2.36	  19.20 TFLOP/s	 55947/57920 tok/s	 4352000 sents	  16375 sec	
mt_fin-eng: 17500	 acc: --	 ppl: 10.28	 xent: 2.33	  16.90 TFLOP/s	 49248/50991 tok/s	 4480016 sents	  16876 sec	
mt_fin-eng: 18000	 acc: --	 ppl: 11.22	 xent: 2.42	  19.20 TFLOP/s	 55930/57948 tok/s	 4608000 sents	  17319 sec	
mt_fin-eng: 18500	 acc: --	 ppl: 10.17	 xent: 2.32	  16.97 TFLOP/s	 49477/51225 tok/s	 4736016 sents	  17818 sec	
mt_fin-eng: 19000	 acc: --	 ppl:  9.79	 xent: 2.28	  19.20 TFLOP/s	 55943/57912 tok/s	 4864000 sents	  18260 sec	
mt_fin-eng: 19500	 acc: --	 ppl:  9.26	 xent: 2.23	  16.95 TFLOP/s	 49426/51156 tok/s	 4992016 sents	  18760 sec	
mt_fin-eng: 20000	 acc: --	 ppl:  9.31	 xent: 2.23	  19.17 TFLOP/s	 55863/57851 tok/s	 5120000 sents	  19202 sec	
mt_fin-eng: 20500	 acc: --	 ppl:  9.63	 xent: 2.26	  16.95 TFLOP/s	 49410/51140 tok/s	 5248016 sents	  19700 sec	
mt_fin-eng: 21000	 acc: --	 ppl:  9.01	 xent: 2.20	  19.20 TFLOP/s	 55952/57939 tok/s	 5376000 sents	  20141 sec	
mt_fin-eng: 21500	 acc: --	 ppl:  8.84	 xent: 2.18	  16.71 TFLOP/s	 48713/50411 tok/s	 5504016 sents	  20647 sec	
mt_fin-eng: 22000	 acc: --	 ppl:  8.67	 xent: 2.16	  19.10 TFLOP/s	 55655/57619 tok/s	 5632000 sents	  21091 sec	
mt_fin-eng: 22500	 acc: --	 ppl:  8.91	 xent: 2.19	  16.97 TFLOP/s	 49460/51215 tok/s	 5760016 sents	  21590 sec	
mt_fin-eng: 23000	 acc: --	 ppl:  9.09	 xent: 2.21	  19.20 TFLOP/s	 55920/57935 tok/s	 5888000 sents	  22033 sec	
mt_fin-eng: 23500	 acc: --	 ppl:  8.50	 xent: 2.14	  16.67 TFLOP/s	 48585/50309 tok/s	 6016016 sents	  22539 sec	
mt_fin-eng: 24000	 acc: --	 ppl:  8.76	 xent: 2.17	  19.22 TFLOP/s	 56006/57968 tok/s	 6144000 sents	  22983 sec	
mt_fin-eng: 24500	 acc: --	 ppl:  8.39	 xent: 2.13	  16.43 TFLOP/s	 47868/49582 tok/s	 6272016 sents	  23497 sec	
mt_fin-eng: 25000	 acc: --	 ppl:  8.34	 xent: 2.12	  19.18 TFLOP/s	 55890/57860 tok/s	 6400000 sents	  23940 sec	

mt_eng-fin: 500	 acc: --	 ppl: 2030.24	 xent: 7.62	  18.89 TFLOP/s	 57236/55257 tok/s	 128016 sents	    446 sec	
mt_eng-fin: 1000	 acc: --	 ppl: 529.28	 xent: 6.27	  19.03 TFLOP/s	 57639/55659 tok/s	 256000 sents	    891 sec	
mt_eng-fin: 1500	 acc: --	 ppl: 242.56	 xent: 5.49	  11.11 TFLOP/s	 33657/32497 tok/s	 384016 sents	   1649 sec	
mt_eng-fin: 2000	 acc: --	 ppl: 172.13	 xent: 5.15	  19.08 TFLOP/s	 57819/55796 tok/s	 512000 sents	   2092 sec	
mt_eng-fin: 2500	 acc: --	 ppl: 27.14	 xent: 3.30	  16.18 TFLOP/s	 49030/47346 tok/s	 640016 sents	   2612 sec	
mt_eng-fin: 3000	 acc: --	 ppl: 22.56	 xent: 3.12	  19.13 TFLOP/s	 57939/55948 tok/s	 768000 sents	   3054 sec	
mt_eng-fin: 3500	 acc: --	 ppl: 20.97	 xent: 3.04	  16.10 TFLOP/s	 48787/47119 tok/s	 896016 sents	   3577 sec	
mt_eng-fin: 4000	 acc: --	 ppl: 17.13	 xent: 2.84	  19.12 TFLOP/s	 57913/55925 tok/s	 1024000 sents	   4019 sec	
mt_eng-fin: 4500	 acc: --	 ppl: 15.29	 xent: 2.73	  16.03 TFLOP/s	 48573/46901 tok/s	 1152016 sents	   4544 sec	
mt_eng-fin: 5000	 acc: --	 ppl: 15.32	 xent: 2.73	  19.06 TFLOP/s	 57758/55777 tok/s	 1280000 sents	   4985 sec	
mt_eng-fin: 5500	 acc: --	 ppl: 15.18	 xent: 2.72	  15.90 TFLOP/s	 48170/46536 tok/s	 1408016 sents	   5515 sec	
mt_eng-fin: 6000	 acc: --	 ppl: 14.98	 xent: 2.71	  19.07 TFLOP/s	 57772/55800 tok/s	 1536000 sents	   5959 sec	
mt_eng-fin: 6500	 acc: --	 ppl: 15.16	 xent: 2.72	  16.84 TFLOP/s	 51025/49275 tok/s	 1664016 sents	   6460 sec	
mt_eng-fin: 7000	 acc: --	 ppl: 15.11	 xent: 2.72	  19.06 TFLOP/s	 57738/55734 tok/s	 1792000 sents	   6904 sec	
mt_eng-fin: 7500	 acc: --	 ppl: 14.23	 xent: 2.66	  16.54 TFLOP/s	 50131/48411 tok/s	 1920016 sents	   7411 sec	
mt_eng-fin: 8000	 acc: --	 ppl: 13.90	 xent: 2.63	  19.15 TFLOP/s	 57982/56020 tok/s	 2048000 sents	   7854 sec	
mt_eng-fin: 8500	 acc: --	 ppl: 13.52	 xent: 2.60	  16.88 TFLOP/s	 51157/49416 tok/s	 2176016 sents	   8351 sec	
mt_eng-fin: 9000	 acc: --	 ppl: 13.48	 xent: 2.60	  19.05 TFLOP/s	 57715/55724 tok/s	 2304000 sents	   8794 sec	
mt_eng-fin: 9500	 acc: --	 ppl: 11.82	 xent: 2.47	  16.79 TFLOP/s	 50847/49130 tok/s	 2432016 sents	   9295 sec	
mt_eng-fin: 10000	 acc: --	 ppl: 10.70	 xent: 2.37	  19.04 TFLOP/s	 57660/55711 tok/s	 2560000 sents	   9740 sec	
mt_eng-fin: 10500	 acc: --	 ppl:  9.62	 xent: 2.26	  16.57 TFLOP/s	 50224/48482 tok/s	 2688016 sents	  10249 sec	
mt_eng-fin: 11000	 acc: --	 ppl:  9.40	 xent: 2.24	  19.16 TFLOP/s	 58030/56071 tok/s	 2816000 sents	  10691 sec	
mt_eng-fin: 11500	 acc: --	 ppl:  9.04	 xent: 2.20	  16.86 TFLOP/s	 51107/49316 tok/s	 2944016 sents	  11191 sec	
mt_eng-fin: 12000	 acc: --	 ppl:  8.66	 xent: 2.16	  19.08 TFLOP/s	 57806/55827 tok/s	 3072000 sents	  11635 sec	
mt_eng-fin: 12500	 acc: --	 ppl:  8.37	 xent: 2.13	  16.87 TFLOP/s	 51129/49369 tok/s	 3200016 sents	  12134 sec	
mt_eng-fin: 13000	 acc: --	 ppl:  7.81	 xent: 2.06	  19.11 TFLOP/s	 57867/55897 tok/s	 3328000 sents	  12577 sec	
mt_eng-fin: 13500	 acc: --	 ppl:  7.24	 xent: 1.98	  16.89 TFLOP/s	 51180/49419 tok/s	 3456016 sents	  13075 sec	
mt_eng-fin: 14000	 acc: --	 ppl:  7.17	 xent: 1.97	  19.13 TFLOP/s	 57938/55967 tok/s	 3584000 sents	  13517 sec	
mt_eng-fin: 14500	 acc: --	 ppl:  6.94	 xent: 1.94	  16.34 TFLOP/s	 49508/47791 tok/s	 3712016 sents	  14033 sec	
mt_eng-fin: 15000	 acc: --	 ppl:  6.73	 xent: 1.91	  19.15 TFLOP/s	 57993/56002 tok/s	 3840000 sents	  14475 sec	
mt_eng-fin: 15500	 acc: --	 ppl:  6.67	 xent: 1.90	  16.63 TFLOP/s	 50402/48666 tok/s	 3968016 sents	  14980 sec	
mt_eng-fin: 16000	 acc: --	 ppl:  6.73	 xent: 1.91	  19.07 TFLOP/s	 57762/55796 tok/s	 4096000 sents	  15423 sec	
mt_eng-fin: 16500	 acc: --	 ppl:  6.64	 xent: 1.89	  16.58 TFLOP/s	 50247/48532 tok/s	 4224016 sents	  15931 sec	
mt_eng-fin: 17000	 acc: --	 ppl:  6.70	 xent: 1.90	  19.12 TFLOP/s	 57920/55947 tok/s	 4352000 sents	  16375 sec	
mt_eng-fin: 17500	 acc: --	 ppl:  6.63	 xent: 1.89	  16.83 TFLOP/s	 50991/49248 tok/s	 4480016 sents	  16876 sec	
mt_eng-fin: 18000	 acc: --	 ppl:  6.63	 xent: 1.89	  19.13 TFLOP/s	 57948/55930 tok/s	 4608000 sents	  17319 sec	
mt_eng-fin: 18500	 acc: --	 ppl:  6.56	 xent: 1.88	  16.91 TFLOP/s	 51225/49477 tok/s	 4736016 sents	  17818 sec	
mt_eng-fin: 19000	 acc: --	 ppl:  6.73	 xent: 1.91	  19.12 TFLOP/s	 57912/55943 tok/s	 4864000 sents	  18260 sec	
mt_eng-fin: 19500	 acc: --	 ppl:  6.62	 xent: 1.89	  16.89 TFLOP/s	 51156/49426 tok/s	 4992016 sents	  18760 sec	
mt_eng-fin: 20000	 acc: --	 ppl:  6.53	 xent: 1.88	  19.10 TFLOP/s	 57851/55863 tok/s	 5120000 sents	  19202 sec	
mt_eng-fin: 20500	 acc: --	 ppl:  6.52	 xent: 1.88	  16.88 TFLOP/s	 51140/49410 tok/s	 5248016 sents	  19700 sec	
mt_eng-fin: 21000	 acc: --	 ppl:  6.64	 xent: 1.89	  19.12 TFLOP/s	 57939/55952 tok/s	 5376000 sents	  20141 sec	
mt_eng-fin: 21500	 acc: --	 ppl:  6.64	 xent: 1.89	  16.64 TFLOP/s	 50411/48713 tok/s	 5504016 sents	  20647 sec	
mt_eng-fin: 22000	 acc: --	 ppl:  6.53	 xent: 1.88	  19.02 TFLOP/s	 57619/55655 tok/s	 5632000 sents	  21091 sec	
mt_eng-fin: 22500	 acc: --	 ppl:  6.43	 xent: 1.86	  16.90 TFLOP/s	 51215/49460 tok/s	 5760016 sents	  21590 sec	
mt_eng-fin: 23000	 acc: --	 ppl:  6.44	 xent: 1.86	  19.12 TFLOP/s	 57935/55920 tok/s	 5888000 sents	  22033 sec	
mt_eng-fin: 23500	 acc: --	 ppl:  5.93	 xent: 1.78	  16.60 TFLOP/s	 50309/48585 tok/s	 6016016 sents	  22539 sec	
mt_eng-fin: 24000	 acc: --	 ppl:  6.46	 xent: 1.87	  19.15 TFLOP/s	 57968/56006 tok/s	 6144000 sents	  22983 sec	
mt_eng-fin: 24500	 acc: --	 ppl:  6.44	 xent: 1.86	  16.36 TFLOP/s	 49582/47868 tok/s	 6272016 sents	  23497 sec	
mt_eng-fin: 25000	 acc: --	 ppl:  6.27	 xent: 1.84	  19.10 TFLOP/s	 57860/55890 tok/s	 6400000 sents	  23940 sec	

mt_fin-swe: 500	 acc: --	 ppl: 723.88	 xent: 6.58	  18.66 TFLOP/s	 55266/55699 tok/s	 128016 sents	    446 sec	
mt_fin-swe: 1000	 acc: --	 ppl: 444.58	 xent: 6.10	  18.80 TFLOP/s	 55676/56090 tok/s	 256000 sents	    891 sec	
mt_fin-swe: 1500	 acc: --	 ppl: 222.60	 xent: 5.41	  10.97 TFLOP/s	 32503/32758 tok/s	 384016 sents	   1649 sec	
mt_fin-swe: 2000	 acc: --	 ppl: 120.28	 xent: 4.79	  18.85 TFLOP/s	 55813/56269 tok/s	 512000 sents	   2092 sec	
mt_fin-swe: 2500	 acc: --	 ppl: 24.79	 xent: 3.21	  15.99 TFLOP/s	 47362/47742 tok/s	 640016 sents	   2612 sec	
mt_fin-swe: 3000	 acc: --	 ppl: 22.03	 xent: 3.09	  18.89 TFLOP/s	 55956/56372 tok/s	 768000 sents	   3054 sec	
mt_fin-swe: 3500	 acc: --	 ppl: 20.91	 xent: 3.04	  15.91 TFLOP/s	 47130/47486 tok/s	 896016 sents	   3577 sec	
mt_fin-swe: 4000	 acc: --	 ppl: 19.83	 xent: 2.99	  18.89 TFLOP/s	 55931/56356 tok/s	 1024000 sents	   4019 sec	
mt_fin-swe: 4500	 acc: --	 ppl: 16.63	 xent: 2.81	  15.84 TFLOP/s	 46909/47281 tok/s	 1152016 sents	   4544 sec	
mt_fin-swe: 5000	 acc: --	 ppl: 15.01	 xent: 2.71	  18.83 TFLOP/s	 55797/56189 tok/s	 1280000 sents	   4985 sec	
mt_fin-swe: 5500	 acc: --	 ppl: 15.20	 xent: 2.72	  15.71 TFLOP/s	 46545/46878 tok/s	 1408016 sents	   5515 sec	
mt_fin-swe: 6000	 acc: --	 ppl: 14.66	 xent: 2.69	  18.85 TFLOP/s	 55812/56245 tok/s	 1536000 sents	   5959 sec	
mt_fin-swe: 6500	 acc: --	 ppl: 14.85	 xent: 2.70	  16.64 TFLOP/s	 49290/49655 tok/s	 1664016 sents	   6460 sec	
mt_fin-swe: 7000	 acc: --	 ppl: 14.79	 xent: 2.69	  18.82 TFLOP/s	 55742/56178 tok/s	 1792000 sents	   6904 sec	
mt_fin-swe: 7500	 acc: --	 ppl: 15.00	 xent: 2.71	  16.35 TFLOP/s	 48429/48804 tok/s	 1920016 sents	   7411 sec	
mt_fin-swe: 8000	 acc: --	 ppl: 14.67	 xent: 2.69	  18.92 TFLOP/s	 56036/56436 tok/s	 2048000 sents	   7854 sec	
mt_fin-swe: 8500	 acc: --	 ppl: 15.07	 xent: 2.71	  16.68 TFLOP/s	 49428/49779 tok/s	 2176016 sents	   8351 sec	
mt_fin-swe: 9000	 acc: --	 ppl: 14.82	 xent: 2.70	  18.82 TFLOP/s	 55729/56168 tok/s	 2304000 sents	   8794 sec	
mt_fin-swe: 9500	 acc: --	 ppl: 14.95	 xent: 2.70	  16.58 TFLOP/s	 49140/49500 tok/s	 2432016 sents	   9295 sec	
mt_fin-swe: 10000	 acc: --	 ppl: 14.71	 xent: 2.69	  18.82 TFLOP/s	 55729/56134 tok/s	 2560000 sents	   9740 sec	
mt_fin-swe: 10500	 acc: --	 ppl: 14.90	 xent: 2.70	  16.37 TFLOP/s	 48497/48843 tok/s	 2688016 sents	  10249 sec	
mt_fin-swe: 11000	 acc: --	 ppl: 14.69	 xent: 2.69	  18.93 TFLOP/s	 56069/56468 tok/s	 2816000 sents	  10691 sec	
mt_fin-swe: 11500	 acc: --	 ppl: 14.57	 xent: 2.68	  16.66 TFLOP/s	 49336/49737 tok/s	 2944016 sents	  11191 sec	
mt_fin-swe: 12000	 acc: --	 ppl: 14.70	 xent: 2.69	  18.86 TFLOP/s	 55842/56259 tok/s	 3072000 sents	  11635 sec	
mt_fin-swe: 12500	 acc: --	 ppl: 13.80	 xent: 2.62	  16.67 TFLOP/s	 49394/49768 tok/s	 3200016 sents	  12134 sec	
mt_fin-swe: 13000	 acc: --	 ppl: 13.43	 xent: 2.60	  18.88 TFLOP/s	 55902/56330 tok/s	 3328000 sents	  12577 sec	
mt_fin-swe: 13500	 acc: --	 ppl: 13.17	 xent: 2.58	  16.68 TFLOP/s	 49431/49792 tok/s	 3456016 sents	  13075 sec	
mt_fin-swe: 14000	 acc: --	 ppl: 13.56	 xent: 2.61	  18.90 TFLOP/s	 55970/56388 tok/s	 3584000 sents	  13517 sec	
mt_fin-swe: 14500	 acc: --	 ppl: 13.03	 xent: 2.57	  16.14 TFLOP/s	 47800/48175 tok/s	 3712016 sents	  14033 sec	
mt_fin-swe: 15000	 acc: --	 ppl: 13.13	 xent: 2.57	  18.91 TFLOP/s	 56004/56450 tok/s	 3840000 sents	  14475 sec	
mt_fin-swe: 15500	 acc: --	 ppl: 12.94	 xent: 2.56	  16.43 TFLOP/s	 48676/49057 tok/s	 3968016 sents	  14980 sec	
mt_fin-swe: 16000	 acc: --	 ppl: 12.72	 xent: 2.54	  18.84 TFLOP/s	 55814/56223 tok/s	 4096000 sents	  15423 sec	
mt_fin-swe: 16500	 acc: --	 ppl: 12.85	 xent: 2.55	  16.39 TFLOP/s	 48561/48906 tok/s	 4224016 sents	  15931 sec	
mt_fin-swe: 17000	 acc: --	 ppl: 12.26	 xent: 2.51	  18.90 TFLOP/s	 55958/56379 tok/s	 4352000 sents	  16375 sec	
mt_fin-swe: 17500	 acc: --	 ppl: 11.67	 xent: 2.46	  16.63 TFLOP/s	 49256/49631 tok/s	 4480016 sents	  16876 sec	
mt_fin-swe: 18000	 acc: --	 ppl: 12.12	 xent: 2.50	  18.89 TFLOP/s	 55942/56381 tok/s	 4608000 sents	  17319 sec	
mt_fin-swe: 18500	 acc: --	 ppl: 10.96	 xent: 2.39	  16.70 TFLOP/s	 49488/49851 tok/s	 4736016 sents	  17818 sec	
mt_fin-swe: 19000	 acc: --	 ppl: 11.22	 xent: 2.42	  18.89 TFLOP/s	 55954/56346 tok/s	 4864000 sents	  18260 sec	
mt_fin-swe: 19500	 acc: --	 ppl: 10.70	 xent: 2.37	  16.69 TFLOP/s	 49439/49814 tok/s	 4992016 sents	  18760 sec	
mt_fin-swe: 20000	 acc: --	 ppl: 10.89	 xent: 2.39	  18.86 TFLOP/s	 55879/56285 tok/s	 5120000 sents	  19202 sec	
mt_fin-swe: 20500	 acc: --	 ppl: 10.13	 xent: 2.32	  16.68 TFLOP/s	 49419/49793 tok/s	 5248016 sents	  19700 sec	
mt_fin-swe: 21000	 acc: --	 ppl: 10.32	 xent: 2.33	  18.88 TFLOP/s	 55956/56356 tok/s	 5376000 sents	  20141 sec	
mt_fin-swe: 21500	 acc: --	 ppl:  9.68	 xent: 2.27	  16.44 TFLOP/s	 48729/49067 tok/s	 5504016 sents	  20647 sec	
mt_fin-swe: 22000	 acc: --	 ppl:  9.49	 xent: 2.25	  18.80 TFLOP/s	 55667/56093 tok/s	 5632000 sents	  21091 sec	
mt_fin-swe: 22500	 acc: --	 ppl:  9.37	 xent: 2.24	  16.70 TFLOP/s	 49469/49836 tok/s	 5760016 sents	  21590 sec	
mt_fin-swe: 23000	 acc: --	 ppl: 10.08	 xent: 2.31	  18.89 TFLOP/s	 55932/56353 tok/s	 5888000 sents	  22033 sec	
mt_fin-swe: 23500	 acc: --	 ppl:  9.41	 xent: 2.24	  16.40 TFLOP/s	 48589/48964 tok/s	 6016016 sents	  22539 sec	
mt_fin-swe: 24000	 acc: --	 ppl:  9.60	 xent: 2.26	  18.91 TFLOP/s	 55994/56394 tok/s	 6144000 sents	  22983 sec	
mt_fin-swe: 24500	 acc: --	 ppl:  9.18	 xent: 2.22	  16.17 TFLOP/s	 47888/48264 tok/s	 6272016 sents	  23497 sec	
mt_fin-swe: 25000	 acc: --	 ppl:  9.22	 xent: 2.22	  18.88 TFLOP/s	 55907/56320 tok/s	 6400000 sents	  23940 sec	

mt_swe-fin: 500	 acc: --	 ppl: 2207.99	 xent: 7.70	  18.64 TFLOP/s	 55699/55266 tok/s	 128016 sents	    446 sec	
mt_swe-fin: 1000	 acc: --	 ppl: 528.24	 xent: 6.27	  18.78 TFLOP/s	 56090/55676 tok/s	 256000 sents	    891 sec	
mt_swe-fin: 1500	 acc: --	 ppl: 252.85	 xent: 5.53	  10.96 TFLOP/s	 32758/32503 tok/s	 384016 sents	   1649 sec	
mt_swe-fin: 2000	 acc: --	 ppl: 191.05	 xent: 5.25	  18.83 TFLOP/s	 56269/55813 tok/s	 512000 sents	   2092 sec	
mt_swe-fin: 2500	 acc: --	 ppl: 30.16	 xent: 3.41	  15.98 TFLOP/s	 47742/47362 tok/s	 640016 sents	   2612 sec	
mt_swe-fin: 3000	 acc: --	 ppl: 23.52	 xent: 3.16	  18.88 TFLOP/s	 56372/55956 tok/s	 768000 sents	   3054 sec	
mt_swe-fin: 3500	 acc: --	 ppl: 21.86	 xent: 3.08	  15.89 TFLOP/s	 47486/47130 tok/s	 896016 sents	   3577 sec	
mt_swe-fin: 4000	 acc: --	 ppl: 20.29	 xent: 3.01	  18.87 TFLOP/s	 56356/55931 tok/s	 1024000 sents	   4019 sec	
mt_swe-fin: 4500	 acc: --	 ppl: 17.74	 xent: 2.88	  15.82 TFLOP/s	 47281/46909 tok/s	 1152016 sents	   4544 sec	
mt_swe-fin: 5000	 acc: --	 ppl: 15.63	 xent: 2.75	  18.81 TFLOP/s	 56189/55797 tok/s	 1280000 sents	   4985 sec	
mt_swe-fin: 5500	 acc: --	 ppl: 15.83	 xent: 2.76	  15.70 TFLOP/s	 46878/46545 tok/s	 1408016 sents	   5515 sec	
mt_swe-fin: 6000	 acc: --	 ppl: 14.97	 xent: 2.71	  18.83 TFLOP/s	 56245/55812 tok/s	 1536000 sents	   5959 sec	
mt_swe-fin: 6500	 acc: --	 ppl: 15.15	 xent: 2.72	  16.62 TFLOP/s	 49655/49290 tok/s	 1664016 sents	   6460 sec	
mt_swe-fin: 7000	 acc: --	 ppl: 15.11	 xent: 2.72	  18.81 TFLOP/s	 56178/55742 tok/s	 1792000 sents	   6904 sec	
mt_swe-fin: 7500	 acc: --	 ppl: 15.32	 xent: 2.73	  16.33 TFLOP/s	 48804/48429 tok/s	 1920016 sents	   7411 sec	
mt_swe-fin: 8000	 acc: --	 ppl: 14.96	 xent: 2.71	  18.90 TFLOP/s	 56436/56036 tok/s	 2048000 sents	   7854 sec	
mt_swe-fin: 8500	 acc: --	 ppl: 15.36	 xent: 2.73	  16.66 TFLOP/s	 49779/49428 tok/s	 2176016 sents	   8351 sec	
mt_swe-fin: 9000	 acc: --	 ppl: 15.14	 xent: 2.72	  18.80 TFLOP/s	 56168/55729 tok/s	 2304000 sents	   8794 sec	
mt_swe-fin: 9500	 acc: --	 ppl: 15.25	 xent: 2.72	  16.57 TFLOP/s	 49500/49140 tok/s	 2432016 sents	   9295 sec	
mt_swe-fin: 10000	 acc: --	 ppl: 15.00	 xent: 2.71	  18.80 TFLOP/s	 56134/55729 tok/s	 2560000 sents	   9740 sec	
mt_swe-fin: 10500	 acc: --	 ppl: 15.19	 xent: 2.72	  16.36 TFLOP/s	 48843/48497 tok/s	 2688016 sents	  10249 sec	
mt_swe-fin: 11000	 acc: --	 ppl: 14.97	 xent: 2.71	  18.91 TFLOP/s	 56468/56069 tok/s	 2816000 sents	  10691 sec	
mt_swe-fin: 11500	 acc: --	 ppl: 14.27	 xent: 2.66	  16.65 TFLOP/s	 49737/49336 tok/s	 2944016 sents	  11191 sec	
mt_swe-fin: 12000	 acc: --	 ppl: 14.38	 xent: 2.67	  18.84 TFLOP/s	 56259/55842 tok/s	 3072000 sents	  11635 sec	
mt_swe-fin: 12500	 acc: --	 ppl: 13.63	 xent: 2.61	  16.66 TFLOP/s	 49768/49394 tok/s	 3200016 sents	  12134 sec	
mt_swe-fin: 13000	 acc: --	 ppl: 13.69	 xent: 2.62	  18.86 TFLOP/s	 56330/55902 tok/s	 3328000 sents	  12577 sec	
mt_swe-fin: 13500	 acc: --	 ppl: 13.42	 xent: 2.60	  16.67 TFLOP/s	 49792/49431 tok/s	 3456016 sents	  13075 sec	
mt_swe-fin: 14000	 acc: --	 ppl: 13.68	 xent: 2.62	  18.88 TFLOP/s	 56388/55970 tok/s	 3584000 sents	  13517 sec	
mt_swe-fin: 14500	 acc: --	 ppl: 13.29	 xent: 2.59	  16.12 TFLOP/s	 48175/47800 tok/s	 3712016 sents	  14033 sec	
mt_swe-fin: 15000	 acc: --	 ppl: 12.98	 xent: 2.56	  18.90 TFLOP/s	 56450/56004 tok/s	 3840000 sents	  14475 sec	
mt_swe-fin: 15500	 acc: --	 ppl: 12.52	 xent: 2.53	  16.42 TFLOP/s	 49057/48676 tok/s	 3968016 sents	  14980 sec	
mt_swe-fin: 16000	 acc: --	 ppl: 12.56	 xent: 2.53	  18.83 TFLOP/s	 56223/55814 tok/s	 4096000 sents	  15423 sec	
mt_swe-fin: 16500	 acc: --	 ppl: 12.81	 xent: 2.55	  16.38 TFLOP/s	 48906/48561 tok/s	 4224016 sents	  15931 sec	
mt_swe-fin: 17000	 acc: --	 ppl: 11.60	 xent: 2.45	  18.88 TFLOP/s	 56379/55958 tok/s	 4352000 sents	  16375 sec	
mt_swe-fin: 17500	 acc: --	 ppl: 10.58	 xent: 2.36	  16.61 TFLOP/s	 49631/49256 tok/s	 4480016 sents	  16876 sec	
mt_swe-fin: 18000	 acc: --	 ppl: 11.73	 xent: 2.46	  18.88 TFLOP/s	 56381/55942 tok/s	 4608000 sents	  17319 sec	
mt_swe-fin: 18500	 acc: --	 ppl: 10.47	 xent: 2.35	  16.69 TFLOP/s	 49852/49488 tok/s	 4736016 sents	  17818 sec	
mt_swe-fin: 19000	 acc: --	 ppl: 10.71	 xent: 2.37	  18.87 TFLOP/s	 56346/55954 tok/s	 4864000 sents	  18260 sec	
mt_swe-fin: 19500	 acc: --	 ppl: 10.33	 xent: 2.33	  16.68 TFLOP/s	 49814/49439 tok/s	 4992016 sents	  18760 sec	
mt_swe-fin: 20000	 acc: --	 ppl: 10.07	 xent: 2.31	  18.85 TFLOP/s	 56285/55879 tok/s	 5120000 sents	  19202 sec	
mt_swe-fin: 20500	 acc: --	 ppl:  9.77	 xent: 2.28	  16.67 TFLOP/s	 49793/49419 tok/s	 5248016 sents	  19700 sec	
mt_swe-fin: 21000	 acc: --	 ppl:  9.64	 xent: 2.27	  18.87 TFLOP/s	 56356/55956 tok/s	 5376000 sents	  20141 sec	
mt_swe-fin: 21500	 acc: --	 ppl:  9.53	 xent: 2.25	  16.43 TFLOP/s	 49067/48729 tok/s	 5504016 sents	  20647 sec	
mt_swe-fin: 22000	 acc: --	 ppl:  9.35	 xent: 2.24	  18.78 TFLOP/s	 56093/55667 tok/s	 5632000 sents	  21091 sec	
mt_swe-fin: 22500	 acc: --	 ppl:  9.42	 xent: 2.24	  16.69 TFLOP/s	 49836/49469 tok/s	 5760016 sents	  21590 sec	
mt_swe-fin: 23000	 acc: --	 ppl:  9.23	 xent: 2.22	  18.87 TFLOP/s	 56353/55932 tok/s	 5888000 sents	  22033 sec	
mt_swe-fin: 23500	 acc: --	 ppl:  8.70	 xent: 2.16	  16.39 TFLOP/s	 48964/48589 tok/s	 6016016 sents	  22539 sec	
mt_swe-fin: 24000	 acc: --	 ppl:  9.16	 xent: 2.21	  18.89 TFLOP/s	 56394/55994 tok/s	 6144000 sents	  22983 sec	
mt_swe-fin: 24500	 acc: --	 ppl:  8.95	 xent: 2.19	  16.15 TFLOP/s	 48264/47888 tok/s	 6272016 sents	  23497 sec	
mt_swe-fin: 25000	 acc: --	 ppl:  9.17	 xent: 2.22	  18.86 TFLOP/s	 56320/55907 tok/s	 6400000 sents	  23940 sec	

mt_swe-eng: 500	 acc: --	 ppl: 658.46	 xent: 6.49	  19.03 TFLOP/s	 55689/57236 tok/s	 128016 sents	    446 sec	
mt_swe-eng: 1000	 acc: --	 ppl: 409.36	 xent: 6.01	  19.17 TFLOP/s	 56074/57644 tok/s	 256000 sents	    891 sec	
