mt_bos-eng: 250	 acc: --	 ppl: 11220.52	 xent: 9.33	  12.65 TFLOP/s	 9399/9979 tok/s	  35183 sents	    693 sec	
mt_bos-eng: 500	 acc: --	 ppl: 2109.91	 xent: 7.65	  11.62 TFLOP/s	 8655/9138 tok/s	  68286 sents	   1405 sec	
mt_bos-eng: 750	 acc: --	 ppl: 1008.89	 xent: 6.92	  11.15 TFLOP/s	 8310/8769 tok/s	  98369 sents	   2084 sec	
mt_bos-eng: 1000	 acc: --	 ppl: 626.72	 xent: 6.44	  11.98 TFLOP/s	 8935/9419 tok/s	 131587 sents	   2779 sec	
mt_bos-eng: 1250	 acc: --	 ppl: 338.04	 xent: 5.82	   7.85 TFLOP/s	 5835/6183 tok/s	 164409 sents	   3821 sec	
mt_bos-eng: 1500	 acc: --	 ppl: 180.33	 xent: 5.19	  11.34 TFLOP/s	 8471/8907 tok/s	 195764 sents	   4518 sec	
mt_bos-eng: 1750	 acc: --	 ppl: 87.32	 xent: 4.47	  11.97 TFLOP/s	 8947/9386 tok/s	 229411 sents	   5224 sec	
mt_bos-eng: 2000	 acc: --	 ppl: 47.78	 xent: 3.87	  12.15 TFLOP/s	 9037/9567 tok/s	 263970 sents	   5932 sec	
mt_bos-eng: 2250	 acc: --	 ppl: 30.77	 xent: 3.43	   8.06 TFLOP/s	 6028/6326 tok/s	 297055 sents	   6960 sec	
mt_bos-eng: 2500	 acc: --	 ppl: 21.77	 xent: 3.08	  11.40 TFLOP/s	 8505/8963 tok/s	 328632 sents	   7648 sec	
mt_bos-eng: 2750	 acc: --	 ppl: 19.75	 xent: 2.98	  11.46 TFLOP/s	 8536/9009 tok/s	 360309 sents	   8346 sec	

mt_bul-eng: 250	 acc: --	 ppl: 14051.61	 xent: 9.55	  12.43 TFLOP/s	 9902/9268 tok/s	  34154 sents	    693 sec	
mt_bul-eng: 500	 acc: --	 ppl: 2584.12	 xent: 7.86	  12.25 TFLOP/s	 9733/9136 tok/s	  68369 sents	   1405 sec	
mt_bul-eng: 750	 acc: --	 ppl: 1110.37	 xent: 7.01	  11.30 TFLOP/s	 8993/8429 tok/s	  98565 sents	   2084 sec	
mt_bul-eng: 1000	 acc: --	 ppl: 530.35	 xent: 6.27	  12.11 TFLOP/s	 9655/9009 tok/s	 131640 sents	   2779 sec	
mt_bul-eng: 1250	 acc: --	 ppl: 248.92	 xent: 5.52	   7.80 TFLOP/s	 6208/5818 tok/s	 163837 sents	   3821 sec	
mt_bul-eng: 1500	 acc: --	 ppl: 166.27	 xent: 5.11	  11.06 TFLOP/s	 8808/8239 tok/s	 194138 sents	   4518 sec	
mt_bul-eng: 1750	 acc: --	 ppl: 85.86	 xent: 4.45	  12.11 TFLOP/s	 9622/9047 tok/s	 227855 sents	   5224 sec	
mt_bul-eng: 2000	 acc: --	 ppl: 57.41	 xent: 4.05	  12.11 TFLOP/s	 9611/9042 tok/s	 261570 sents	   5932 sec	
mt_bul-eng: 2250	 acc: --	 ppl: 32.50	 xent: 3.48	   8.43 TFLOP/s	 6696/6300 tok/s	 295633 sents	   6960 sec	
mt_bul-eng: 2500	 acc: --	 ppl: 25.45	 xent: 3.24	  11.44 TFLOP/s	 9107/8531 tok/s	 326908 sents	   7648 sec	
mt_bul-eng: 2750	 acc: --	 ppl: 19.48	 xent: 2.97	  11.31 TFLOP/s	 9019/8418 tok/s	 357928 sents	   8346 sec	

mt_cat-eng: 250	 acc: --	 ppl: 16969.26	 xent: 9.74	  13.60 TFLOP/s	 10553/10332 tok/s	  35582 sents	    693 sec	
mt_cat-eng: 500	 acc: --	 ppl: 2663.09	 xent: 7.89	  12.09 TFLOP/s	 9418/9148 tok/s	  67995 sents	   1405 sec	
mt_cat-eng: 750	 acc: --	 ppl: 955.58	 xent: 6.86	  11.98 TFLOP/s	 9347/9064 tok/s	  98637 sents	   2084 sec	
mt_cat-eng: 1000	 acc: --	 ppl: 526.41	 xent: 6.27	  12.47 TFLOP/s	 9710/9440 tok/s	 131109 sents	   2779 sec	
mt_cat-eng: 1250	 acc: --	 ppl: 238.92	 xent: 5.48	   8.00 TFLOP/s	 6218/6069 tok/s	 162516 sents	   3821 sec	
mt_cat-eng: 1500	 acc: --	 ppl: 87.20	 xent: 4.47	  12.00 TFLOP/s	 9331/9092 tok/s	 193832 sents	   4517 sec	
mt_cat-eng: 1750	 acc: --	 ppl: 53.19	 xent: 3.97	  12.28 TFLOP/s	 9571/9296 tok/s	 226440 sents	   5224 sec	
mt_cat-eng: 2000	 acc: --	 ppl: 31.11	 xent: 3.44	  12.74 TFLOP/s	 9937/9631 tok/s	 260500 sents	   5932 sec	
