instruct_gmw-ces: 17500	 acc: --	 ppl: 142.89	 xent: 4.96	   6.27 TFLOP/s	 10884/3144 tok/s	 5386768 sents	  30496 sec	
instruct_gmw-ces: 18000	 acc: --	 ppl: 140.87	 xent: 4.95	   5.91 TFLOP/s	 10252/2956 tok/s	 5540259 sents	  31396 sec	
instruct_gmw-ces: 18500	 acc: --	 ppl: 140.55	 xent: 4.95	   6.43 TFLOP/s	 11158/3212 tok/s	 5694446 sents	  32228 sec	
instruct_gmw-ces: 19000	 acc: --	 ppl: 138.73	 xent: 4.93	   6.34 TFLOP/s	 10991/3190 tok/s	 5847098 sents	  33060 sec	
instruct_gmw-ces: 19500	 acc: --	 ppl: 137.29	 xent: 4.92	   6.41 TFLOP/s	 11129/3199 tok/s	 6001339 sents	  33894 sec	
instruct_gmw-ces: 20000	 acc: --	 ppl: 136.86	 xent: 4.92	   6.31 TFLOP/s	 10940/3161 tok/s	 6153372 sents	  34727 sec	
instruct_gmw-ces: 20500	 acc: --	 ppl: 134.63	 xent: 4.90	   5.70 TFLOP/s	 9887/2848 tok/s	 6309065 sents	  35674 sec	
instruct_gmw-ces: 21000	 acc: --	 ppl: 133.93	 xent: 4.90	   6.44 TFLOP/s	 11178/3223 tok/s	 6463842 sents	  36507 sec	
instruct_gmw-ces: 21500	 acc: --	 ppl: 133.00	 xent: 4.89	   6.30 TFLOP/s	 10936/3153 tok/s	 6614152 sents	  37336 sec	
instruct_gmw-ces: 22000	 acc: --	 ppl: 132.64	 xent: 4.89	   6.48 TFLOP/s	 11253/3238 tok/s	 6769300 sents	  38164 sec	
instruct_gmw-ces: 22500	 acc: --	 ppl: 131.10	 xent: 4.88	   6.47 TFLOP/s	 11233/3233 tok/s	 6925906 sents	  39002 sec	
instruct_gmw-ces: 23000	 acc: --	 ppl: 129.85	 xent: 4.87	   5.17 TFLOP/s	 8985/2571 tok/s	 7076966 sents	  40022 sec	
instruct_gmw-ces: 23500	 acc: --	 ppl: 130.70	 xent: 4.87	   6.31 TFLOP/s	 10949/3152 tok/s	 7230137 sents	  40864 sec	
instruct_gmw-ces: 24000	 acc: --	 ppl: 129.21	 xent: 4.86	   6.38 TFLOP/s	 11064/3207 tok/s	 7384553 sents	  41701 sec	
instruct_gmw-ces: 24500	 acc: --	 ppl: 128.57	 xent: 4.86	   6.36 TFLOP/s	 11039/3186 tok/s	 7538183 sents	  42536 sec	
instruct_gmw-ces: 25000	 acc: --	 ppl: 128.55	 xent: 4.86	   6.39 TFLOP/s	 11103/3190 tok/s	 7692693 sents	  43373 sec	
instruct_gmw-ces: 25500	 acc: --	 ppl: 127.74	 xent: 4.85	   5.08 TFLOP/s	 8808/2540 tok/s	 7847554 sents	  44430 sec	
instruct_gmw-ces: 26000	 acc: --	 ppl: 127.93	 xent: 4.85	   6.45 TFLOP/s	 11184/3243 tok/s	 8003775 sents	  45266 sec	
instruct_gmw-ces: 26500	 acc: --	 ppl: 126.61	 xent: 4.84	   6.45 TFLOP/s	 11186/3236 tok/s	 8160348 sents	  46106 sec	
instruct_gmw-ces: 27000	 acc: --	 ppl: 125.81	 xent: 4.83	   6.36 TFLOP/s	 11022/3199 tok/s	 8315593 sents	  46951 sec	
instruct_gmw-ces: 27500	 acc: --	 ppl: 124.86	 xent: 4.83	   6.31 TFLOP/s	 10922/3188 tok/s	 8468731 sents	  47789 sec	
instruct_gmw-ces: 28000	 acc: --	 ppl: 124.54	 xent: 4.82	   4.68 TFLOP/s	 8127/2347 tok/s	 8623787 sents	  48932 sec	
instruct_gmw-ces: 28500	 acc: --	 ppl: 124.30	 xent: 4.82	   6.43 TFLOP/s	 11174/3213 tok/s	 8779400 sents	  49770 sec	
instruct_gmw-ces: 29000	 acc: --	 ppl: 124.38	 xent: 4.82	   6.35 TFLOP/s	 11006/3184 tok/s	 8932811 sents	  50604 sec	
instruct_gmw-ces: 29500	 acc: --	 ppl: 123.33	 xent: 4.81	   6.38 TFLOP/s	 11059/3213 tok/s	 9087995 sents	  51444 sec	
instruct_gmw-ces: 30000	 acc: --	 ppl: 122.42	 xent: 4.81	   6.40 TFLOP/s	 11090/3213 tok/s	 9243396 sents	  52281 sec	
instruct_gmw-ces: 30500	 acc: --	 ppl: 121.68	 xent: 4.80	   4.64 TFLOP/s	 8041/2324 tok/s	 9399023 sents	  53442 sec	
instruct_gmw-ces: 31000	 acc: --	 ppl: 122.37	 xent: 4.81	   6.20 TFLOP/s	 10755/3118 tok/s	 9551401 sents	  54294 sec	
instruct_gmw-ces: 31500	 acc: --	 ppl: 122.19	 xent: 4.81	   6.29 TFLOP/s	 10923/3144 tok/s	 9706484 sents	  55147 sec	
instruct_gmw-ces: 32000	 acc: --	 ppl: 122.26	 xent: 4.81	   6.23 TFLOP/s	 10822/3118 tok/s	 9859912 sents	  55998 sec	
instruct_gmw-ces: 32500	 acc: --	 ppl: 121.35	 xent: 4.80	   6.34 TFLOP/s	 11009/3160 tok/s	 10016173 sents	  56853 sec	
instruct_gmw-ces: 33000	 acc: --	 ppl: 121.10	 xent: 4.80	   5.67 TFLOP/s	 9833/2841 tok/s	 10172231 sents	  57806 sec	

instruct_gmw-deu: 500	 acc: --	 ppl: 17030.41	 xent: 9.74	   9.83 TFLOP/s	 15351/6292 tok/s	 174202 sents	    916 sec	
instruct_gmw-deu: 1000	 acc: --	 ppl: 5408.99	 xent: 8.60	  10.36 TFLOP/s	 16141/6659 tok/s	 348361 sents	   1779 sec	
instruct_gmw-deu: 1500	 acc: --	 ppl: 2397.85	 xent: 7.78	  10.71 TFLOP/s	 16683/6887 tok/s	 524345 sents	   2625 sec	
instruct_gmw-deu: 2000	 acc: --	 ppl: 1701.28	 xent: 7.44	  10.78 TFLOP/s	 16809/6911 tok/s	 699852 sents	   3462 sec	
instruct_gmw-deu: 2500	 acc: --	 ppl: 1344.41	 xent: 7.20	  10.79 TFLOP/s	 16816/6925 tok/s	 874996 sents	   4298 sec	
instruct_gmw-deu: 3000	 acc: --	 ppl: 1173.88	 xent: 7.07	   7.85 TFLOP/s	 12253/5031 tok/s	 1050024 sents	   5445 sec	
instruct_gmw-deu: 3500	 acc: --	 ppl: 983.40	 xent: 6.89	  10.75 TFLOP/s	 16775/6890 tok/s	 1224672 sents	   6282 sec	
instruct_gmw-deu: 4000	 acc: --	 ppl: 834.83	 xent: 6.73	  10.89 TFLOP/s	 16980/6980 tok/s	 1399763 sents	   7110 sec	
instruct_gmw-deu: 4500	 acc: --	 ppl: 708.63	 xent: 6.56	  10.66 TFLOP/s	 16634/6834 tok/s	 1572300 sents	   7944 sec	
instruct_gmw-deu: 5000	 acc: --	 ppl: 576.98	 xent: 6.36	  10.73 TFLOP/s	 16736/6882 tok/s	 1746006 sents	   8777 sec	
instruct_gmw-deu: 5500	 acc: --	 ppl: 490.76	 xent: 6.20	   7.99 TFLOP/s	 12464/5127 tok/s	 1920934 sents	   9906 sec	
instruct_gmw-deu: 6000	 acc: --	 ppl: 426.38	 xent: 6.06	  10.85 TFLOP/s	 16939/6938 tok/s	 2095825 sents	  10738 sec	
instruct_gmw-deu: 6500	 acc: --	 ppl: 378.32	 xent: 5.94	  10.73 TFLOP/s	 16753/6867 tok/s	 2270341 sents	  11576 sec	
instruct_gmw-deu: 7000	 acc: --	 ppl: 344.47	 xent: 5.84	  10.74 TFLOP/s	 16723/6908 tok/s	 2443391 sents	  12404 sec	
instruct_gmw-deu: 7500	 acc: --	 ppl: 313.16	 xent: 5.75	  10.90 TFLOP/s	 16996/6996 tok/s	 2619185 sents	  13234 sec	
instruct_gmw-deu: 8000	 acc: --	 ppl: 289.05	 xent: 5.67	   8.59 TFLOP/s	 13416/5500 tok/s	 2791897 sents	  14270 sec	
