instruct_cat-cat: 66000	 acc: --	 ppl:  8.93	 xent: 2.19	  14.96 TFLOP/s	 7615/1830 tok/s	 6768379 sents	  97597 sec	
instruct_cat-cat: 66500	 acc: --	 ppl:  9.29	 xent: 2.23	  14.76 TFLOP/s	 7577/1749 tok/s	 6958208 sents	 100211 sec	
instruct_cat-cat: 67000	 acc: --	 ppl:  9.24	 xent: 2.22	  15.40 TFLOP/s	 8190/1572 tok/s	 7135136 sents	 102929 sec	
instruct_cat-cat: 67500	 acc: --	 ppl:  8.45	 xent: 2.13	  19.29 TFLOP/s	 11206/1046 tok/s	 7250075 sents	 105610 sec	

instruct_cat-eng: 48000	 acc: --	 ppl: 84.05	 xent: 4.43	   6.90 TFLOP/s	 2677/1564 tok/s	 213994 sents	   2421 sec	
instruct_cat-eng: 48500	 acc: --	 ppl: 87.26	 xent: 4.47	   6.43 TFLOP/s	 2484/1464 tok/s	 415482 sents	   4880 sec	
instruct_cat-eng: 49000	 acc: --	 ppl: 74.21	 xent: 4.31	   6.66 TFLOP/s	 2644/1459 tok/s	 627956 sents	   7533 sec	
instruct_cat-eng: 49500	 acc: --	 ppl: 80.17	 xent: 4.38	   7.15 TFLOP/s	 2774/1621 tok/s	 841395 sents	   9889 sec	
instruct_cat-eng: 50000	 acc: --	 ppl: 77.17	 xent: 4.35	   6.36 TFLOP/s	 2530/1392 tok/s	 1045699 sents	  12506 sec	
instruct_cat-eng: 50500	 acc: --	 ppl: 72.25	 xent: 4.28	   5.88 TFLOP/s	 2305/1312 tok/s	 1254908 sents	  15373 sec	
instruct_cat-eng: 51000	 acc: --	 ppl: 74.47	 xent: 4.31	   6.28 TFLOP/s	 2452/1412 tok/s	 1457170 sents	  17906 sec	
instruct_cat-eng: 51500	 acc: --	 ppl: 75.07	 xent: 4.32	   6.40 TFLOP/s	 2495/1443 tok/s	 1660710 sents	  20405 sec	
instruct_cat-eng: 52000	 acc: --	 ppl: 69.55	 xent: 4.24	   6.60 TFLOP/s	 2624/1444 tok/s	 1870636 sents	  23009 sec	
instruct_cat-eng: 52500	 acc: --	 ppl: 67.40	 xent: 4.21	   6.39 TFLOP/s	 2490/1438 tok/s	 2076161 sents	  25553 sec	
instruct_cat-eng: 53000	 acc: --	 ppl: 61.00	 xent: 4.11	   6.24 TFLOP/s	 2480/1367 tok/s	 2290654 sents	  28386 sec	
instruct_cat-eng: 53500	 acc: --	 ppl: 70.64	 xent: 4.26	   5.97 TFLOP/s	 2321/1350 tok/s	 2492473 sents	  31030 sec	
instruct_cat-eng: 54000	 acc: --	 ppl: 62.53	 xent: 4.14	   6.51 TFLOP/s	 2564/1444 tok/s	 2700752 sents	  33655 sec	
instruct_cat-eng: 54500	 acc: --	 ppl: 65.21	 xent: 4.18	   6.11 TFLOP/s	 2394/1365 tok/s	 2900047 sents	  36270 sec	
instruct_cat-eng: 55000	 acc: --	 ppl: 61.67	 xent: 4.12	   6.22 TFLOP/s	 2455/1377 tok/s	 3102441 sents	  38928 sec	
instruct_cat-eng: 55500	 acc: --	 ppl: 69.27	 xent: 4.24	   5.52 TFLOP/s	 2112/1275 tok/s	 3312973 sents	  41855 sec	
instruct_cat-eng: 56000	 acc: --	 ppl: 61.02	 xent: 4.11	   6.67 TFLOP/s	 2632/1474 tok/s	 3520811 sents	  44399 sec	
instruct_cat-eng: 56500	 acc: --	 ppl: 69.75	 xent: 4.24	   5.94 TFLOP/s	 2284/1362 tok/s	 3721247 sents	  46995 sec	
