denoise_bul-bul: 19500	 acc: --	 ppl:  9.90	 xent: 2.29	  14.82 TFLOP/s	 14366/16147 tok/s	 5318694 sents	  71667 sec	
denoise_bul-bul: 20000	 acc: --	 ppl:  9.85	 xent: 2.29	  14.63 TFLOP/s	 14180/15939 tok/s	 5456564 sents	  73433 sec	
denoise_bul-bul: 20500	 acc: --	 ppl:  9.80	 xent: 2.28	  12.26 TFLOP/s	 11891/13363 tok/s	 5593311 sents	  75521 sec	
denoise_bul-bul: 21000	 acc: --	 ppl:  9.76	 xent: 2.28	  13.90 TFLOP/s	 13473/15147 tok/s	 5729225 sents	  77354 sec	
denoise_bul-bul: 21500	 acc: --	 ppl:  9.73	 xent: 2.27	  14.63 TFLOP/s	 14184/15949 tok/s	 5867190 sents	  79124 sec	
denoise_bul-bul: 22000	 acc: --	 ppl:  9.67	 xent: 2.27	  14.57 TFLOP/s	 14126/15879 tok/s	 6004777 sents	  80892 sec	
denoise_bul-bul: 22500	 acc: --	 ppl:  9.64	 xent: 2.27	  14.85 TFLOP/s	 14387/16178 tok/s	 6143532 sents	  82652 sec	
denoise_bul-bul: 23000	 acc: --	 ppl:  9.60	 xent: 2.26	  12.38 TFLOP/s	 12004/13494 tok/s	 6280516 sents	  84726 sec	
denoise_bul-bul: 23500	 acc: --	 ppl:  9.57	 xent: 2.26	  14.41 TFLOP/s	 13972/15705 tok/s	 6417538 sents	  86508 sec	
denoise_bul-bul: 24000	 acc: --	 ppl:  9.54	 xent: 2.26	  14.54 TFLOP/s	 14096/15845 tok/s	 6554727 sents	  88275 sec	
denoise_bul-bul: 24500	 acc: --	 ppl:  9.52	 xent: 2.25	  14.75 TFLOP/s	 14304/16078 tok/s	 6693270 sents	  90032 sec	
denoise_bul-bul: 25000	 acc: --	 ppl:  9.49	 xent: 2.25	  14.74 TFLOP/s	 14292/16064 tok/s	 6830855 sents	  91780 sec	
denoise_bul-bul: 25500	 acc: --	 ppl:  9.48	 xent: 2.25	  12.11 TFLOP/s	 11746/13203 tok/s	 6967864 sents	  93897 sec	
