mt_bos-deu: 500	 acc: --	 ppl: 23061.06	 xent: 10.05	  15.98 TFLOP/s	 15181/17690 tok/s	 134791 sents	   1556 sec	
mt_bos-deu: 1000	 acc: --	 ppl: 6701.12	 xent: 8.81	  16.23 TFLOP/s	 15427/17952 tok/s	 266204 sents	   3051 sec	
mt_bos-deu: 1500	 acc: --	 ppl: 1852.15	 xent: 7.52	  16.74 TFLOP/s	 15904/18522 tok/s	 403174 sents	   4562 sec	
mt_bos-deu: 2000	 acc: --	 ppl: 862.25	 xent: 6.76	  16.36 TFLOP/s	 15534/18116 tok/s	 535717 sents	   6055 sec	
mt_bos-deu: 2500	 acc: --	 ppl: 595.54	 xent: 6.39	  16.58 TFLOP/s	 15750/18365 tok/s	 670190 sents	   7548 sec	
mt_bos-deu: 3000	 acc: --	 ppl: 496.83	 xent: 6.21	  13.82 TFLOP/s	 13143/15290 tok/s	 805201 sents	   9349 sec	
mt_bos-deu: 3500	 acc: --	 ppl: 442.15	 xent: 6.09	  16.85 TFLOP/s	 16001/18667 tok/s	 941206 sents	  10835 sec	
mt_bos-deu: 4000	 acc: --	 ppl: 405.59	 xent: 6.01	  16.18 TFLOP/s	 15379/17911 tok/s	 1074004 sents	  12348 sec	
mt_bos-deu: 4500	 acc: --	 ppl: 380.61	 xent: 5.94	  16.82 TFLOP/s	 15994/18621 tok/s	 1210333 sents	  13836 sec	
mt_bos-deu: 5000	 acc: --	 ppl: 360.44	 xent: 5.89	  16.88 TFLOP/s	 16057/18681 tok/s	 1346312 sents	  15318 sec	
mt_bos-deu: 5500	 acc: --	 ppl: 344.49	 xent: 5.84	  13.55 TFLOP/s	 12886/14981 tok/s	 1478285 sents	  17122 sec	
mt_bos-deu: 6000	 acc: --	 ppl: 328.80	 xent: 5.80	  16.73 TFLOP/s	 15891/18519 tok/s	 1611260 sents	  18590 sec	
mt_bos-deu: 6500	 acc: --	 ppl: 314.66	 xent: 5.75	  16.16 TFLOP/s	 15364/17877 tok/s	 1744547 sents	  20110 sec	
mt_bos-deu: 7000	 acc: --	 ppl: 298.92	 xent: 5.70	  16.54 TFLOP/s	 15732/18295 tok/s	 1877470 sents	  21589 sec	

mt_bos-eng: 500	 acc: --	 ppl: 20392.80	 xent: 9.92	  15.79 TFLOP/s	 15195/17327 tok/s	 134971 sents	   1556 sec	
mt_bos-eng: 1000	 acc: --	 ppl: 4730.86	 xent: 8.46	  16.15 TFLOP/s	 15550/17713 tok/s	 267369 sents	   3051 sec	
mt_bos-eng: 1500	 acc: --	 ppl: 1555.31	 xent: 7.35	  16.64 TFLOP/s	 16015/18253 tok/s	 405335 sents	   4561 sec	
mt_bos-eng: 2000	 acc: --	 ppl: 892.71	 xent: 6.79	  16.13 TFLOP/s	 15509/17706 tok/s	 537585 sents	   6054 sec	
mt_bos-eng: 2500	 acc: --	 ppl: 670.56	 xent: 6.51	  16.53 TFLOP/s	 15905/18153 tok/s	 673494 sents	   7548 sec	
mt_bos-eng: 3000	 acc: --	 ppl: 579.38	 xent: 6.36	  13.71 TFLOP/s	 13204/15031 tok/s	 809099 sents	   9349 sec	
mt_bos-eng: 3500	 acc: --	 ppl: 525.42	 xent: 6.26	  16.71 TFLOP/s	 16073/18350 tok/s	 945804 sents	  10836 sec	
mt_bos-eng: 4000	 acc: --	 ppl: 487.59	 xent: 6.19	  15.93 TFLOP/s	 15340/17480 tok/s	 1078264 sents	  12348 sec	
mt_bos-eng: 4500	 acc: --	 ppl: 459.53	 xent: 6.13	  16.75 TFLOP/s	 16140/18381 tok/s	 1215862 sents	  13836 sec	
mt_bos-eng: 5000	 acc: --	 ppl: 435.35	 xent: 6.08	  16.62 TFLOP/s	 16012/18227 tok/s	 1351264 sents	  15317 sec	
mt_bos-eng: 5500	 acc: --	 ppl: 415.51	 xent: 6.03	  13.46 TFLOP/s	 12964/14750 tok/s	 1484083 sents	  17121 sec	
mt_bos-eng: 6000	 acc: --	 ppl: 395.11	 xent: 5.98	  16.64 TFLOP/s	 16009/18264 tok/s	 1618009 sents	  18589 sec	
mt_bos-eng: 6500	 acc: --	 ppl: 376.32	 xent: 5.93	  16.12 TFLOP/s	 15523/17688 tok/s	 1752804 sents	  20110 sec	
mt_bos-eng: 7000	 acc: --	 ppl: 356.45	 xent: 5.88	  16.59 TFLOP/s	 15988/18198 tok/s	 1887964 sents	  21589 sec	

mt_bos-fra: 500	 acc: --	 ppl: 19882.70	 xent: 9.90	  16.05 TFLOP/s	 14937/18002 tok/s	 132628 sents	   1556 sec	
mt_bos-fra: 1000	 acc: --	 ppl: 4329.40	 xent: 8.37	  16.33 TFLOP/s	 15219/18304 tok/s	 262189 sents	   3050 sec	
mt_bos-fra: 1500	 acc: --	 ppl: 1067.87	 xent: 6.97	  16.62 TFLOP/s	 15481/18638 tok/s	 395669 sents	   4562 sec	
mt_bos-fra: 2000	 acc: --	 ppl: 633.97	 xent: 6.45	  16.49 TFLOP/s	 15353/18505 tok/s	 526539 sents	   6054 sec	
mt_bos-fra: 2500	 acc: --	 ppl: 447.55	 xent: 6.10	  16.55 TFLOP/s	 15406/18571 tok/s	 658020 sents	   7547 sec	
mt_bos-fra: 3000	 acc: --	 ppl: 354.49	 xent: 5.87	  13.65 TFLOP/s	 12722/15306 tok/s	 788744 sents	   9349 sec	
mt_bos-fra: 3500	 acc: --	 ppl: 309.83	 xent: 5.74	  16.93 TFLOP/s	 15754/19010 tok/s	 922896 sents	  10835 sec	
mt_bos-fra: 4000	 acc: --	 ppl: 283.24	 xent: 5.65	  16.25 TFLOP/s	 15137/18220 tok/s	 1053494 sents	  12348 sec	
mt_bos-fra: 4500	 acc: --	 ppl: 262.91	 xent: 5.57	  16.81 TFLOP/s	 15676/18851 tok/s	 1186720 sents	  13835 sec	
mt_bos-fra: 5000	 acc: --	 ppl: 247.47	 xent: 5.51	  16.92 TFLOP/s	 15756/18975 tok/s	 1320564 sents	  15318 sec	
mt_bos-fra: 5500	 acc: --	 ppl: 236.15	 xent: 5.46	  13.73 TFLOP/s	 12800/15383 tok/s	 1451792 sents	  17122 sec	
mt_bos-fra: 6000	 acc: --	 ppl: 224.78	 xent: 5.42	  16.79 TFLOP/s	 15638/18838 tok/s	 1582461 sents	  18589 sec	
mt_bos-fra: 6500	 acc: --	 ppl: 213.78	 xent: 5.36	  16.20 TFLOP/s	 15090/18164 tok/s	 1713417 sents	  20110 sec	
mt_bos-fra: 7000	 acc: --	 ppl: 203.49	 xent: 5.32	  16.47 TFLOP/s	 15350/18457 tok/s	 1843065 sents	  21589 sec	

mt_bos-spa: 500	 acc: --	 ppl: 18350.46	 xent: 9.82	  16.06 TFLOP/s	 15177/17844 tok/s	 134739 sents	   1556 sec	
mt_bos-spa: 1000	 acc: --	 ppl: 3956.01	 xent: 8.28	  16.26 TFLOP/s	 15383/18053 tok/s	 265706 sents	   3050 sec	
mt_bos-spa: 1500	 acc: --	 ppl: 1084.17	 xent: 6.99	  16.62 TFLOP/s	 15713/18465 tok/s	 401075 sents	   4562 sec	
mt_bos-spa: 2000	 acc: --	 ppl: 626.06	 xent: 6.44	  16.36 TFLOP/s	 15463/18185 tok/s	 533067 sents	   6055 sec	
mt_bos-spa: 2500	 acc: --	 ppl: 467.54	 xent: 6.15	  16.53 TFLOP/s	 15621/18372 tok/s	 666313 sents	   7547 sec	
mt_bos-spa: 3000	 acc: --	 ppl: 394.91	 xent: 5.98	  13.76 TFLOP/s	 13015/15280 tok/s	 800166 sents	   9350 sec	
mt_bos-spa: 3500	 acc: --	 ppl: 354.30	 xent: 5.87	  16.93 TFLOP/s	 15992/18827 tok/s	 936182 sents	  10836 sec	
mt_bos-spa: 4000	 acc: --	 ppl: 326.83	 xent: 5.79	  16.18 TFLOP/s	 15300/17959 tok/s	 1068093 sents	  12348 sec	
mt_bos-spa: 4500	 acc: --	 ppl: 306.42	 xent: 5.72	  16.84 TFLOP/s	 15926/18698 tok/s	 1203724 sents	  13835 sec	
mt_bos-spa: 5000	 acc: --	 ppl: 289.48	 xent: 5.67	  16.99 TFLOP/s	 16074/18868 tok/s	 1339961 sents	  15318 sec	
mt_bos-spa: 5500	 acc: --	 ppl: 276.34	 xent: 5.62	  13.63 TFLOP/s	 12889/15123 tok/s	 1472037 sents	  17121 sec	
mt_bos-spa: 6000	 acc: --	 ppl: 262.29	 xent: 5.57	  16.74 TFLOP/s	 15822/18595 tok/s	 1604382 sents	  18590 sec	
mt_bos-spa: 6500	 acc: --	 ppl: 251.03	 xent: 5.53	  16.28 TFLOP/s	 15397/18080 tok/s	 1737877 sents	  20110 sec	
mt_bos-spa: 7000	 acc: --	 ppl: 238.69	 xent: 5.48	  16.48 TFLOP/s	 15596/18298 tok/s	 1869773 sents	  21589 sec	

mt_bul-deu: 500	 acc: --	 ppl: 23037.80	 xent: 10.04	  17.09 TFLOP/s	 17999/17335 tok/s	 132109 sents	   1556 sec	
mt_bul-deu: 1000	 acc: --	 ppl: 6691.97	 xent: 8.81	  17.59 TFLOP/s	 18526/17847 tok/s	 262746 sents	   3050 sec	
mt_bul-deu: 1500	 acc: --	 ppl: 1844.18	 xent: 7.52	  17.90 TFLOP/s	 18851/18169 tok/s	 397124 sents	   4562 sec	
mt_bul-deu: 2000	 acc: --	 ppl: 856.71	 xent: 6.75	  17.55 TFLOP/s	 18478/17808 tok/s	 527356 sents	   6055 sec	
mt_bul-deu: 2500	 acc: --	 ppl: 592.62	 xent: 6.38	  18.00 TFLOP/s	 18952/18271 tok/s	 661152 sents	   7548 sec	
mt_bul-deu: 3000	 acc: --	 ppl: 494.14	 xent: 6.20	  14.79 TFLOP/s	 15585/15012 tok/s	 793716 sents	   9349 sec	
mt_bul-deu: 3500	 acc: --	 ppl: 439.45	 xent: 6.09	  18.06 TFLOP/s	 19019/18323 tok/s	 927427 sents	  10836 sec	
mt_bul-deu: 4000	 acc: --	 ppl: 403.73	 xent: 6.00	  17.59 TFLOP/s	 18527/17850 tok/s	 1059674 sents	  12348 sec	
mt_bul-deu: 4500	 acc: --	 ppl: 378.04	 xent: 5.94	  18.18 TFLOP/s	 19140/18449 tok/s	 1194540 sents	  13836 sec	
mt_bul-deu: 5000	 acc: --	 ppl: 357.98	 xent: 5.88	  18.07 TFLOP/s	 19033/18335 tok/s	 1328172 sents	  15318 sec	
mt_bul-deu: 5500	 acc: --	 ppl: 341.88	 xent: 5.83	  14.66 TFLOP/s	 15443/14866 tok/s	 1459397 sents	  17122 sec	
mt_bul-deu: 6000	 acc: --	 ppl: 326.35	 xent: 5.79	  18.08 TFLOP/s	 19042/18343 tok/s	 1590937 sents	  18590 sec	
mt_bul-deu: 6500	 acc: --	 ppl: 311.89	 xent: 5.74	  17.53 TFLOP/s	 18467/17792 tok/s	 1723546 sents	  20110 sec	
mt_bul-deu: 7000	 acc: --	 ppl: 295.98	 xent: 5.69	  17.84 TFLOP/s	 18785/18106 tok/s	 1854965 sents	  21589 sec	

mt_bul-eng: 500	 acc: --	 ppl: 20269.53	 xent: 9.92	  16.81 TFLOP/s	 17923/16892 tok/s	 131503 sents	   1556 sec	
mt_bul-eng: 1000	 acc: --	 ppl: 4744.12	 xent: 8.46	  17.18 TFLOP/s	 18310/17266 tok/s	 260669 sents	   3050 sec	
