zero_deu-tur: 10250	 acc: --	 ppl: 17.69	 xent: 2.87	   8.41 TFLOP/s	 23535/26263 tok/s	 5027951 sents	  27741 sec	
zero_deu-tur: 10500	 acc: --	 ppl: 17.16	 xent: 2.84	  12.84 TFLOP/s	 35931/40095 tok/s	 5148946 sents	  28344 sec	
zero_deu-tur: 10750	 acc: --	 ppl: 17.43	 xent: 2.86	  12.95 TFLOP/s	 36290/40394 tok/s	 5271854 sents	  28952 sec	
zero_deu-tur: 11000	 acc: --	 ppl: 16.01	 xent: 2.77	  13.00 TFLOP/s	 36495/40484 tok/s	 5394482 sents	  29559 sec	
zero_deu-tur: 11250	 acc: --	 ppl: 16.63	 xent: 2.81	   9.11 TFLOP/s	 25524/28433 tok/s	 5518554 sents	  30432 sec	
zero_deu-tur: 11500	 acc: --	 ppl: 17.01	 xent: 2.83	  12.84 TFLOP/s	 35998/40001 tok/s	 5640407 sents	  31042 sec	
zero_deu-tur: 11750	 acc: --	 ppl: 16.39	 xent: 2.80	  13.21 TFLOP/s	 37015/41197 tok/s	 5767049 sents	  31656 sec	
zero_deu-tur: 12000	 acc: --	 ppl: 16.64	 xent: 2.81	  12.60 TFLOP/s	 35288/39295 tok/s	 5887400 sents	  32269 sec	
zero_deu-tur: 12250	 acc: --	 ppl: 15.89	 xent: 2.77	   9.31 TFLOP/s	 26055/29053 tok/s	 6014455 sents	  33143 sec	
zero_deu-tur: 12500	 acc: --	 ppl: 16.53	 xent: 2.81	  12.77 TFLOP/s	 35804/39826 tok/s	 6135945 sents	  33753 sec	
zero_deu-tur: 12750	 acc: --	 ppl: 16.09	 xent: 2.78	  12.83 TFLOP/s	 35847/40098 tok/s	 6258555 sents	  34365 sec	
zero_deu-tur: 13000	 acc: --	 ppl: 15.59	 xent: 2.75	  13.09 TFLOP/s	 36671/40841 tok/s	 6383534 sents	  34977 sec	
zero_deu-tur: 13250	 acc: --	 ppl: 16.74	 xent: 2.82	   8.70 TFLOP/s	 24347/27194 tok/s	 6505488 sents	  35873 sec	
zero_deu-tur: 13500	 acc: --	 ppl: 15.28	 xent: 2.73	  13.22 TFLOP/s	 37014/41281 tok/s	 6630801 sents	  36479 sec	
zero_deu-tur: 13750	 acc: --	 ppl: 15.95	 xent: 2.77	  13.18 TFLOP/s	 36850/41182 tok/s	 6755928 sents	  37086 sec	
zero_deu-tur: 14000	 acc: --	 ppl: 14.80	 xent: 2.69	  13.07 TFLOP/s	 36589/40781 tok/s	 6879687 sents	  37692 sec	
zero_deu-tur: 14250	 acc: --	 ppl: 15.50	 xent: 2.74	   8.99 TFLOP/s	 25159/28043 tok/s	 7001333 sents	  38558 sec	
zero_deu-tur: 14500	 acc: --	 ppl: 15.05	 xent: 2.71	  13.41 TFLOP/s	 37521/41888 tok/s	 7127170 sents	  39158 sec	
zero_deu-tur: 14750	 acc: --	 ppl: 15.79	 xent: 2.76	  12.84 TFLOP/s	 35943/40057 tok/s	 7248429 sents	  39763 sec	
zero_deu-tur: 15000	 acc: --	 ppl: 15.72	 xent: 2.75	  13.27 TFLOP/s	 37179/41419 tok/s	 7373230 sents	  40365 sec	
zero_deu-tur: 15250	 acc: --	 ppl: 15.69	 xent: 2.75	   9.23 TFLOP/s	 25851/28791 tok/s	 7496971 sents	  41225 sec	
zero_deu-tur: 15500	 acc: --	 ppl: 16.31	 xent: 2.79	  13.10 TFLOP/s	 36668/40930 tok/s	 7622174 sents	  41835 sec	
zero_deu-tur: 15750	 acc: --	 ppl: 14.82	 xent: 2.70	  13.07 TFLOP/s	 36578/40814 tok/s	 7746855 sents	  42445 sec	
zero_deu-tur: 16000	 acc: --	 ppl: 15.67	 xent: 2.75	  12.75 TFLOP/s	 35667/39814 tok/s	 7868253 sents	  43052 sec	
zero_deu-tur: 16250	 acc: --	 ppl: 16.50	 xent: 2.80	   9.08 TFLOP/s	 25363/28378 tok/s	 7989237 sents	  43903 sec	

zero_deu-ukr: 250	 acc: --	 ppl: 34576.00	 xent: 10.45	  13.36 TFLOP/s	 36686/42195 tok/s	 123139 sents	    602 sec	
zero_deu-ukr: 500	 acc: --	 ppl: 2254.52	 xent: 7.72	  13.10 TFLOP/s	 36038/41308 tok/s	 245068 sents	   1210 sec	
zero_deu-ukr: 750	 acc: --	 ppl: 627.87	 xent: 6.44	  12.92 TFLOP/s	 35546/40772 tok/s	 365567 sents	   1817 sec	
zero_deu-ukr: 1000	 acc: --	 ppl: 316.38	 xent: 5.76	  12.98 TFLOP/s	 35658/40962 tok/s	 485708 sents	   2421 sec	
zero_deu-ukr: 1250	 acc: --	 ppl: 251.66	 xent: 5.53	   8.61 TFLOP/s	 23632/27218 tok/s	 607145 sents	   3341 sec	
zero_deu-ukr: 1500	 acc: --	 ppl: 224.57	 xent: 5.41	  13.13 TFLOP/s	 36053/41504 tok/s	 731360 sents	   3957 sec	
