sentmt_bos-eng: 25000	 acc: --	 ppl: 12.34	 xent: 2.51	  10.19 TFLOP/s	 3068/3050 tok/s	 12576393 sents	  89471 sec	
sentmt_bos-eng: 25500	 acc: --	 ppl: 12.36	 xent: 2.51	   8.80 TFLOP/s	 2648/2638 tok/s	 12829719 sents	  91543 sec	
sentmt_bos-eng: 26000	 acc: --	 ppl: 12.33	 xent: 2.51	  10.41 TFLOP/s	 3134/3117 tok/s	 13079067 sents	  93267 sec	
sentmt_bos-eng: 26500	 acc: --	 ppl: 12.30	 xent: 2.51	  10.54 TFLOP/s	 3172/3157 tok/s	 13329547 sents	  94989 sec	
sentmt_bos-eng: 27000	 acc: --	 ppl: 12.24	 xent: 2.50	  10.10 TFLOP/s	 3039/3024 tok/s	 13581981 sents	  96806 sec	
sentmt_bos-eng: 27500	 acc: --	 ppl: 12.27	 xent: 2.51	  10.56 TFLOP/s	 3181/3161 tok/s	 13834657 sents	  98531 sec	
sentmt_bos-eng: 28000	 acc: --	 ppl: 12.21	 xent: 2.50	   8.82 TFLOP/s	 2656/2639 tok/s	 14085915 sents	 100584 sec	

sentmt_eng-bos: 500	 acc: --	 ppl: 19.81	 xent: 2.99	  10.28 TFLOP/s	 3077/3096 tok/s	 253796 sents	   1766 sec	
sentmt_eng-bos: 1000	 acc: --	 ppl: 18.24	 xent: 2.90	  10.43 TFLOP/s	 3123/3140 tok/s	 505810 sents	   3499 sec	
sentmt_eng-bos: 1500	 acc: --	 ppl: 17.40	 xent: 2.86	  10.41 TFLOP/s	 3112/3133 tok/s	 755516 sents	   5236 sec	
sentmt_eng-bos: 2000	 acc: --	 ppl: 17.50	 xent: 2.86	  10.31 TFLOP/s	 3086/3104 tok/s	 1006379 sents	   6961 sec	
sentmt_eng-bos: 2500	 acc: --	 ppl: 17.01	 xent: 2.83	  10.50 TFLOP/s	 3143/3157 tok/s	 1256887 sents	   8691 sec	
sentmt_eng-bos: 3000	 acc: --	 ppl: 17.03	 xent: 2.83	   8.83 TFLOP/s	 2645/2655 tok/s	 1509753 sents	  10747 sec	
sentmt_eng-bos: 3500	 acc: --	 ppl: 16.46	 xent: 2.80	  10.30 TFLOP/s	 3081/3100 tok/s	 1757972 sents	  12474 sec	
sentmt_eng-bos: 4000	 acc: --	 ppl: 16.35	 xent: 2.79	  10.47 TFLOP/s	 3132/3153 tok/s	 2008343 sents	  14199 sec	
sentmt_eng-bos: 4500	 acc: --	 ppl: 16.29	 xent: 2.79	  10.55 TFLOP/s	 3162/3174 tok/s	 2258576 sents	  15924 sec	
sentmt_eng-bos: 5000	 acc: --	 ppl: 16.25	 xent: 2.79	  10.53 TFLOP/s	 3152/3166 tok/s	 2511950 sents	  17648 sec	
sentmt_eng-bos: 5500	 acc: --	 ppl: 16.25	 xent: 2.79	   8.71 TFLOP/s	 2607/2623 tok/s	 2764026 sents	  19705 sec	
sentmt_eng-bos: 6000	 acc: --	 ppl: 15.97	 xent: 2.77	  10.55 TFLOP/s	 3155/3177 tok/s	 3013966 sents	  21432 sec	
sentmt_eng-bos: 6500	 acc: --	 ppl: 15.90	 xent: 2.77	  10.47 TFLOP/s	 3134/3153 tok/s	 3265547 sents	  23152 sec	
sentmt_eng-bos: 7000	 acc: --	 ppl: 16.13	 xent: 2.78	  10.46 TFLOP/s	 3133/3148 tok/s	 3517502 sents	  24878 sec	
sentmt_eng-bos: 7500	 acc: --	 ppl: 15.69	 xent: 2.75	  10.52 TFLOP/s	 3151/3166 tok/s	 3768749 sents	  26602 sec	
sentmt_eng-bos: 8000	 acc: --	 ppl: 15.89	 xent: 2.77	   8.60 TFLOP/s	 2576/2588 tok/s	 4019837 sents	  28684 sec	
sentmt_eng-bos: 8500	 acc: --	 ppl: 15.93	 xent: 2.77	  10.51 TFLOP/s	 3145/3162 tok/s	 4271092 sents	  30408 sec	
sentmt_eng-bos: 9000	 acc: --	 ppl: 15.74	 xent: 2.76	  10.44 TFLOP/s	 3126/3140 tok/s	 4523069 sents	  32135 sec	
sentmt_eng-bos: 9500	 acc: --	 ppl: 15.56	 xent: 2.74	  10.46 TFLOP/s	 3127/3148 tok/s	 4771005 sents	  33859 sec	
sentmt_eng-bos: 10000	 acc: --	 ppl: 15.85	 xent: 2.76	  10.41 TFLOP/s	 3119/3133 tok/s	 5025005 sents	  35585 sec	
sentmt_eng-bos: 10500	 acc: --	 ppl: 15.74	 xent: 2.76	   8.85 TFLOP/s	 2649/2661 tok/s	 5277523 sents	  37643 sec	
sentmt_eng-bos: 11000	 acc: --	 ppl: 15.49	 xent: 2.74	  10.32 TFLOP/s	 3089/3107 tok/s	 5526895 sents	  39369 sec	
sentmt_eng-bos: 11500	 acc: --	 ppl: 15.68	 xent: 2.75	  10.16 TFLOP/s	 3040/3056 tok/s	 5774664 sents	  41100 sec	
sentmt_eng-bos: 12000	 acc: --	 ppl: 15.55	 xent: 2.74	  10.51 TFLOP/s	 3145/3161 tok/s	 6027625 sents	  42827 sec	
sentmt_eng-bos: 12500	 acc: --	 ppl: 15.49	 xent: 2.74	  10.52 TFLOP/s	 3147/3168 tok/s	 6280134 sents	  44548 sec	
sentmt_eng-bos: 13000	 acc: --	 ppl: 15.43	 xent: 2.74	   8.75 TFLOP/s	 2620/2630 tok/s	 6533632 sents	  46634 sec	
sentmt_eng-bos: 13500	 acc: --	 ppl: 15.49	 xent: 2.74	  10.41 TFLOP/s	 3115/3133 tok/s	 6783509 sents	  48361 sec	
sentmt_eng-bos: 14000	 acc: --	 ppl: 15.44	 xent: 2.74	  10.45 TFLOP/s	 3128/3145 tok/s	 7034851 sents	  50080 sec	
sentmt_eng-bos: 14500	 acc: --	 ppl: 15.26	 xent: 2.73	  10.45 TFLOP/s	 3125/3145 tok/s	 7286290 sents	  51803 sec	
sentmt_eng-bos: 15000	 acc: --	 ppl: 14.95	 xent: 2.71	  10.67 TFLOP/s	 3194/3210 tok/s	 7538791 sents	  53523 sec	
sentmt_eng-bos: 15500	 acc: --	 ppl: 15.12	 xent: 2.72	   8.83 TFLOP/s	 2644/2658 tok/s	 7789222 sents	  55580 sec	
sentmt_eng-bos: 16000	 acc: --	 ppl: 15.14	 xent: 2.72	  10.63 TFLOP/s	 3179/3199 tok/s	 8042524 sents	  57303 sec	
sentmt_eng-bos: 16500	 acc: --	 ppl: 15.17	 xent: 2.72	  10.53 TFLOP/s	 3154/3166 tok/s	 8294412 sents	  59022 sec	
