instruct_eng-eng: 61000	 acc: --	 ppl: 78.86	 xent: 4.37	  19.27 TFLOP/s	 9739/2406 tok/s	 9997337 sents	 115018 sec	
instruct_eng-eng: 61500	 acc: --	 ppl: 63.66	 xent: 4.15	  21.19 TFLOP/s	 11541/1944 tok/s	 10382607 sents	 118925 sec	
instruct_eng-eng: 62000	 acc: --	 ppl: 118.53	 xent: 4.78	  27.48 TFLOP/s	 16502/1193 tok/s	 10855293 sents	 123284 sec	
instruct_eng-eng: 62500	 acc: --	 ppl: 795.35	 xent: 6.68	  27.24 TFLOP/s	 15985/1503 tok/s	 11319835 sents	 127540 sec	
instruct_eng-eng: 63000	 acc: --	 ppl: 712.73	 xent: 6.57	  25.63 TFLOP/s	 15413/1100 tok/s	 11794680 sents	 132085 sec	
instruct_eng-eng: 63500	 acc: --	 ppl: 919.28	 xent: 6.82	  27.25 TFLOP/s	 15982/1507 tok/s	 12257231 sents	 136460 sec	
instruct_eng-eng: 64000	 acc: --	 ppl: 498.98	 xent: 6.21	  27.50 TFLOP/s	 16603/1130 tok/s	 12736106 sents	 140697 sec	
instruct_eng-eng: 64500	 acc: --	 ppl: 1229.02	 xent: 7.11	  27.43 TFLOP/s	 16007/1584 tok/s	 13195264 sents	 145054 sec	
instruct_eng-eng: 65000	 acc: --	 ppl: 554.51	 xent: 6.32	  27.39 TFLOP/s	 16505/1156 tok/s	 13673858 sents	 149168 sec	
instruct_eng-eng: 65500	 acc: --	 ppl: 1367.75	 xent: 7.22	  26.92 TFLOP/s	 15738/1519 tok/s	 14123761 sents	 153675 sec	
instruct_eng-eng: 66000	 acc: --	 ppl: 440.65	 xent: 6.09	  27.68 TFLOP/s	 16712/1146 tok/s	 14608922 sents	 157793 sec	
instruct_eng-eng: 66500	 acc: --	 ppl: 1229.74	 xent: 7.11	  27.35 TFLOP/s	 15997/1536 tok/s	 15067231 sents	 162286 sec	
instruct_eng-eng: 67000	 acc: --	 ppl: 454.88	 xent: 6.12	  27.44 TFLOP/s	 16548/1150 tok/s	 15548448 sents	 166422 sec	
instruct_eng-eng: 67500	 acc: --	 ppl: 1190.34	 xent: 7.08	  27.24 TFLOP/s	 15915/1546 tok/s	 16000223 sents	 170874 sec	

