mt_bos-fin: 8000	 acc: --	 ppl: 19.69	 xent: 2.98	   6.13 TFLOP/s	 13222/14818 tok/s	 2048010 sents	  22215 sec	
mt_bos-fin: 8500	 acc: --	 ppl: 18.85	 xent: 2.94	   7.60 TFLOP/s	 16392/18375 tok/s	 2176016 sents	  23524 sec	
mt_bos-fin: 9000	 acc: --	 ppl: 18.38	 xent: 2.91	   7.60 TFLOP/s	 16395/18369 tok/s	 2304010 sents	  24839 sec	
mt_bos-fin: 9500	 acc: --	 ppl: 18.09	 xent: 2.90	   7.61 TFLOP/s	 16445/18376 tok/s	 2432024 sents	  26149 sec	
mt_bos-fin: 10000	 acc: --	 ppl: 17.61	 xent: 2.87	   7.58 TFLOP/s	 16374/18315 tok/s	 2560032 sents	  27467 sec	
mt_bos-fin: 10500	 acc: --	 ppl: 17.08	 xent: 2.84	   6.14 TFLOP/s	 13256/14849 tok/s	 2688024 sents	  29091 sec	
mt_bos-fin: 11000	 acc: --	 ppl: 17.14	 xent: 2.84	   7.67 TFLOP/s	 16562/18537 tok/s	 2816030 sents	  30392 sec	
mt_bos-fin: 11500	 acc: --	 ppl: 16.59	 xent: 2.81	   7.67 TFLOP/s	 16555/18560 tok/s	 2944024 sents	  31689 sec	
mt_bos-fin: 12000	 acc: --	 ppl: 16.72	 xent: 2.82	   7.58 TFLOP/s	 16350/18317 tok/s	 3072020 sents	  33011 sec	
mt_bos-fin: 12500	 acc: --	 ppl: 16.35	 xent: 2.79	   7.60 TFLOP/s	 16404/18378 tok/s	 3200016 sents	  34323 sec	
mt_bos-fin: 13000	 acc: --	 ppl: 16.05	 xent: 2.78	   6.13 TFLOP/s	 13229/14816 tok/s	 3328030 sents	  35952 sec	
mt_bos-fin: 13500	 acc: --	 ppl: 15.56	 xent: 2.74	   7.59 TFLOP/s	 16363/18345 tok/s	 3456016 sents	  37267 sec	
mt_bos-fin: 14000	 acc: --	 ppl: 15.45	 xent: 2.74	   7.58 TFLOP/s	 16361/18350 tok/s	 3584030 sents	  38577 sec	
mt_bos-fin: 14500	 acc: --	 ppl: 15.52	 xent: 2.74	   7.67 TFLOP/s	 16569/18542 tok/s	 3712016 sents	  39880 sec	
mt_bos-fin: 15000	 acc: --	 ppl: 15.17	 xent: 2.72	   7.60 TFLOP/s	 16399/18380 tok/s	 3840030 sents	  41190 sec	
mt_bos-fin: 15500	 acc: --	 ppl: 15.15	 xent: 2.72	   6.12 TFLOP/s	 13202/14806 tok/s	 3968016 sents	  42820 sec	
mt_bos-fin: 16000	 acc: --	 ppl: 15.21	 xent: 2.72	   7.58 TFLOP/s	 16354/18328 tok/s	 4096010 sents	  44137 sec	
mt_bos-fin: 16500	 acc: --	 ppl: 15.13	 xent: 2.72	   7.59 TFLOP/s	 16383/18353 tok/s	 4224016 sents	  45452 sec	
mt_bos-fin: 17000	 acc: --	 ppl: 14.87	 xent: 2.70	   7.65 TFLOP/s	 16510/18490 tok/s	 4352010 sents	  46757 sec	
mt_bos-fin: 17500	 acc: --	 ppl: 15.32	 xent: 2.73	   7.69 TFLOP/s	 16603/18559 tok/s	 4480016 sents	  48063 sec	
mt_bos-fin: 18000	 acc: --	 ppl: 14.63	 xent: 2.68	   6.16 TFLOP/s	 13284/14887 tok/s	 4608032 sents	  49678 sec	
mt_bos-fin: 18500	 acc: --	 ppl: 14.64	 xent: 2.68	   7.55 TFLOP/s	 16302/18259 tok/s	 4736016 sents	  51001 sec	
mt_bos-fin: 19000	 acc: --	 ppl: 14.80	 xent: 2.69	   7.67 TFLOP/s	 16579/18539 tok/s	 4864030 sents	  52305 sec	
mt_bos-fin: 19500	 acc: --	 ppl: 14.63	 xent: 2.68	   7.70 TFLOP/s	 16627/18629 tok/s	 4992016 sents	  53603 sec	
mt_bos-fin: 20000	 acc: --	 ppl: 14.32	 xent: 2.66	   7.58 TFLOP/s	 16328/18344 tok/s	 5120020 sents	  54909 sec	

mt_fin-bos: 500	 acc: --	 ppl: 10190.49	 xent: 9.23	   7.71 TFLOP/s	 18066/17375 tok/s	 128024 sents	   1333 sec	
mt_fin-bos: 1000	 acc: --	 ppl: 2027.35	 xent: 7.61	   7.80 TFLOP/s	 18293/17574 tok/s	 256032 sents	   2653 sec	
mt_fin-bos: 1500	 acc: --	 ppl: 714.47	 xent: 6.57	   7.23 TFLOP/s	 16835/16407 tok/s	 384016 sents	   4082 sec	
mt_fin-bos: 2000	 acc: --	 ppl: 281.21	 xent: 5.64	   7.86 TFLOP/s	 18272/17845 tok/s	 512030 sents	   5396 sec	
mt_fin-bos: 2500	 acc: --	 ppl: 97.70	 xent: 4.58	   7.83 TFLOP/s	 18291/17702 tok/s	 640016 sents	   6713 sec	
mt_fin-bos: 3000	 acc: --	 ppl: 58.03	 xent: 4.06	   6.27 TFLOP/s	 14789/14069 tok/s	 768030 sents	   8352 sec	
