mt_bos-eng: 500	 acc: --	 ppl: 20064.20	 xent: 9.91	  16.87 TFLOP/s	 16233/18511 tok/s	 134971 sents	   1457 sec	
mt_bos-eng: 1000	 acc: --	 ppl: 4689.64	 xent: 8.45	  17.40 TFLOP/s	 16761/19092 tok/s	 267369 sents	   2843 sec	
mt_bos-eng: 1500	 acc: --	 ppl: 1490.92	 xent: 7.31	  18.05 TFLOP/s	 17376/19805 tok/s	 405335 sents	   4235 sec	
mt_bos-eng: 2000	 acc: --	 ppl: 938.45	 xent: 6.84	  17.41 TFLOP/s	 16740/19112 tok/s	 537585 sents	   5619 sec	
mt_bos-eng: 2500	 acc: --	 ppl: 686.34	 xent: 6.53	  17.98 TFLOP/s	 17295/19740 tok/s	 673494 sents	   6992 sec	
mt_bos-eng: 3000	 acc: --	 ppl: 578.84	 xent: 6.36	  14.66 TFLOP/s	 14120/16073 tok/s	 809099 sents	   8676 sec	
mt_bos-eng: 3500	 acc: --	 ppl: 519.64	 xent: 6.25	  18.20 TFLOP/s	 17509/19990 tok/s	 945804 sents	  10041 sec	
mt_bos-eng: 4000	 acc: --	 ppl: 478.46	 xent: 6.17	  17.35 TFLOP/s	 16702/19032 tok/s	 1078264 sents	  11430 sec	
mt_bos-eng: 4500	 acc: --	 ppl: 447.08	 xent: 6.10	  18.10 TFLOP/s	 17440/19861 tok/s	 1215862 sents	  12807 sec	
mt_bos-eng: 5000	 acc: --	 ppl: 421.03	 xent: 6.04	  18.01 TFLOP/s	 17348/19748 tok/s	 1351264 sents	  14175 sec	
mt_bos-eng: 5500	 acc: --	 ppl: 398.55	 xent: 5.99	  14.36 TFLOP/s	 13840/15747 tok/s	 1484083 sents	  15864 sec	
mt_bos-eng: 6000	 acc: --	 ppl: 368.62	 xent: 5.91	  18.03 TFLOP/s	 17345/19787 tok/s	 1618009 sents	  17219 sec	
mt_bos-eng: 6500	 acc: --	 ppl: 311.09	 xent: 5.74	  17.77 TFLOP/s	 17114/19500 tok/s	 1752804 sents	  18599 sec	
mt_bos-eng: 7000	 acc: --	 ppl: 221.32	 xent: 5.40	  18.00 TFLOP/s	 17348/19746 tok/s	 1887964 sents	  19962 sec	
mt_bos-eng: 7500	 acc: --	 ppl: 144.32	 xent: 4.97	  18.08 TFLOP/s	 17414/19827 tok/s	 2021236 sents	  21308 sec	
mt_bos-eng: 8000	 acc: --	 ppl: 103.16	 xent: 4.64	  14.82 TFLOP/s	 14275/16261 tok/s	 2158436 sents	  22987 sec	
mt_bos-eng: 8500	 acc: --	 ppl: 81.09	 xent: 4.40	  17.93 TFLOP/s	 17257/19681 tok/s	 2293436 sents	  24355 sec	
mt_bos-eng: 9000	 acc: --	 ppl: 66.94	 xent: 4.20	  18.22 TFLOP/s	 17540/19986 tok/s	 2428118 sents	  25701 sec	
mt_bos-eng: 9500	 acc: --	 ppl: 56.96	 xent: 4.04	  17.83 TFLOP/s	 17163/19556 tok/s	 2560202 sents	  27050 sec	
mt_bos-eng: 10000	 acc: --	 ppl: 49.10	 xent: 3.89	  18.02 TFLOP/s	 17350/19770 tok/s	 2693651 sents	  28401 sec	
mt_bos-eng: 10500	 acc: --	 ppl: 41.65	 xent: 3.73	  15.92 TFLOP/s	 15335/17452 tok/s	 2829687 sents	  29959 sec	
mt_bos-eng: 11000	 acc: --	 ppl: 35.85	 xent: 3.58	  18.07 TFLOP/s	 17391/19825 tok/s	 2964796 sents	  31321 sec	
mt_bos-eng: 11500	 acc: --	 ppl: 31.79	 xent: 3.46	  18.14 TFLOP/s	 17459/19902 tok/s	 3099848 sents	  32682 sec	
mt_bos-eng: 12000	 acc: --	 ppl: 28.58	 xent: 3.35	  18.19 TFLOP/s	 17506/19955 tok/s	 3236539 sents	  34048 sec	
mt_bos-eng: 12500	 acc: --	 ppl: 26.38	 xent: 3.27	  18.20 TFLOP/s	 17527/19964 tok/s	 3371975 sents	  35404 sec	
mt_bos-eng: 13000	 acc: --	 ppl: 24.49	 xent: 3.20	  15.96 TFLOP/s	 15365/17510 tok/s	 3508712 sents	  36963 sec	
mt_bos-eng: 13500	 acc: --	 ppl: 23.12	 xent: 3.14	  18.01 TFLOP/s	 17351/19760 tok/s	 3643774 sents	  38329 sec	
mt_bos-eng: 14000	 acc: --	 ppl: 22.07	 xent: 3.09	  18.39 TFLOP/s	 17705/20185 tok/s	 3781222 sents	  39689 sec	
mt_bos-eng: 14500	 acc: --	 ppl: 21.14	 xent: 3.05	  18.15 TFLOP/s	 17464/19921 tok/s	 3916482 sents	  41044 sec	
mt_bos-eng: 15000	 acc: --	 ppl: 20.34	 xent: 3.01	  17.99 TFLOP/s	 17322/19747 tok/s	 4050755 sents	  42399 sec	
mt_bos-eng: 15500	 acc: --	 ppl: 19.54	 xent: 2.97	  15.71 TFLOP/s	 15137/17225 tok/s	 4183033 sents	  43935 sec	
mt_bos-eng: 16000	 acc: --	 ppl: 19.13	 xent: 2.95	  18.22 TFLOP/s	 17546/19986 tok/s	 4317369 sents	  45282 sec	
mt_bos-eng: 16500	 acc: --	 ppl: 18.61	 xent: 2.92	  18.16 TFLOP/s	 17486/19920 tok/s	 4452273 sents	  46633 sec	
mt_bos-eng: 17000	 acc: --	 ppl: 18.18	 xent: 2.90	  18.16 TFLOP/s	 17483/19921 tok/s	 4587709 sents	  47998 sec	
mt_bos-eng: 17500	 acc: --	 ppl: 17.81	 xent: 2.88	  18.04 TFLOP/s	 17363/19800 tok/s	 4722852 sents	  49362 sec	
mt_bos-eng: 18000	 acc: --	 ppl: 17.51	 xent: 2.86	  15.23 TFLOP/s	 14665/16704 tok/s	 4858372 sents	  50981 sec	
mt_bos-eng: 18500	 acc: --	 ppl: 17.15	 xent: 2.84	  18.22 TFLOP/s	 17552/19989 tok/s	 4993271 sents	  52333 sec	
mt_bos-eng: 19000	 acc: --	 ppl: 16.84	 xent: 2.82	  18.28 TFLOP/s	 17624/20042 tok/s	 5128055 sents	  53675 sec	
mt_bos-eng: 19500	 acc: --	 ppl: 16.70	 xent: 2.82	  18.53 TFLOP/s	 17840/20329 tok/s	 5265684 sents	  55026 sec	
mt_bos-eng: 20000	 acc: --	 ppl: 16.39	 xent: 2.80	  18.42 TFLOP/s	 17750/20202 tok/s	 5403047 sents	  56378 sec	
mt_bos-eng: 20500	 acc: --	 ppl: 16.28	 xent: 2.79	  15.73 TFLOP/s	 15147/17259 tok/s	 5538924 sents	  57951 sec	
mt_bos-eng: 21000	 acc: --	 ppl: 16.01	 xent: 2.77	  17.87 TFLOP/s	 17216/19603 tok/s	 5671709 sents	  59305 sec	
mt_bos-eng: 21500	 acc: --	 ppl: 15.88	 xent: 2.76	  18.49 TFLOP/s	 17795/20290 tok/s	 5809418 sents	  60660 sec	
mt_bos-eng: 22000	 acc: --	 ppl: 15.69	 xent: 2.75	  17.98 TFLOP/s	 17314/19717 tok/s	 5943147 sents	  62018 sec	
