mt_bos-deu: 500	 acc: --	 ppl: 24786.72	 xent: 10.12	  25.24 TFLOP/s	 23888/28026 tok/s	 256000 sents	   1865 sec	
mt_bos-deu: 1000	 acc: --	 ppl: 8916.33	 xent: 9.10	  25.48 TFLOP/s	 24098/28299 tok/s	 512000 sents	   3712 sec	
mt_bos-deu: 1500	 acc: --	 ppl: 3709.11	 xent: 8.22	  25.41 TFLOP/s	 24039/28221 tok/s	 768000 sents	   5563 sec	
mt_bos-deu: 2000	 acc: --	 ppl: 2127.04	 xent: 7.66	  25.47 TFLOP/s	 24089/28294 tok/s	 1024000 sents	   7409 sec	
mt_bos-deu: 2500	 acc: --	 ppl: 1480.36	 xent: 7.30	  25.44 TFLOP/s	 24078/28242 tok/s	 1280000 sents	   9253 sec	
mt_bos-deu: 3000	 acc: --	 ppl: 1076.80	 xent: 6.98	  21.68 TFLOP/s	 20526/24064 tok/s	 1536000 sents	  11427 sec	
mt_bos-deu: 3500	 acc: --	 ppl: 788.93	 xent: 6.67	  25.41 TFLOP/s	 24053/28213 tok/s	 1792000 sents	  13279 sec	
mt_bos-deu: 4000	 acc: --	 ppl: 603.03	 xent: 6.40	  25.44 TFLOP/s	 24088/28228 tok/s	 2048000 sents	  15130 sec	
mt_bos-deu: 4500	 acc: --	 ppl: 480.34	 xent: 6.17	  25.44 TFLOP/s	 24069/28252 tok/s	 2304000 sents	  16975 sec	
mt_bos-deu: 5000	 acc: --	 ppl: 387.78	 xent: 5.96	  25.40 TFLOP/s	 24038/28205 tok/s	 2560000 sents	  18827 sec	
mt_bos-deu: 5500	 acc: --	 ppl: 275.89	 xent: 5.62	  21.67 TFLOP/s	 20519/24054 tok/s	 2816000 sents	  21002 sec	
mt_bos-deu: 6000	 acc: --	 ppl: 167.41	 xent: 5.12	  25.39 TFLOP/s	 24033/28187 tok/s	 3072000 sents	  22857 sec	
mt_bos-deu: 6500	 acc: --	 ppl: 111.15	 xent: 4.71	  25.34 TFLOP/s	 23982/28138 tok/s	 3328000 sents	  24715 sec	
mt_bos-deu: 7000	 acc: --	 ppl: 76.84	 xent: 4.34	  25.42 TFLOP/s	 24065/28229 tok/s	 3584000 sents	  26566 sec	
mt_bos-deu: 7500	 acc: --	 ppl: 56.16	 xent: 4.03	  25.30 TFLOP/s	 23940/28096 tok/s	 3840000 sents	  28425 sec	
mt_bos-deu: 8000	 acc: --	 ppl: 43.37	 xent: 3.77	  21.66 TFLOP/s	 20490/24063 tok/s	 4096000 sents	  30595 sec	
mt_bos-deu: 8500	 acc: --	 ppl: 34.54	 xent: 3.54	  25.37 TFLOP/s	 24023/28157 tok/s	 4352000 sents	  32454 sec	
mt_bos-deu: 9000	 acc: --	 ppl: 28.53	 xent: 3.35	  25.37 TFLOP/s	 24002/28169 tok/s	 4608000 sents	  34313 sec	
mt_bos-deu: 9500	 acc: --	 ppl: 24.54	 xent: 3.20	  25.36 TFLOP/s	 23994/28158 tok/s	 4864000 sents	  36170 sec	
mt_bos-deu: 10000	 acc: --	 ppl: 21.62	 xent: 3.07	  24.98 TFLOP/s	 23656/27724 tok/s	 5120000 sents	  38057 sec	
mt_bos-deu: 10500	 acc: --	 ppl: 19.52	 xent: 2.97	  21.60 TFLOP/s	 20446/23992 tok/s	 5376000 sents	  40229 sec	
mt_bos-deu: 11000	 acc: --	 ppl: 17.89	 xent: 2.88	  25.38 TFLOP/s	 24027/28179 tok/s	 5632000 sents	  42084 sec	
mt_bos-deu: 11500	 acc: --	 ppl: 16.78	 xent: 2.82	  25.40 TFLOP/s	 24049/28195 tok/s	 5888000 sents	  43938 sec	
mt_bos-deu: 12000	 acc: --	 ppl: 15.87	 xent: 2.76	  25.39 TFLOP/s	 24030/28196 tok/s	 6144000 sents	  45794 sec	
mt_bos-deu: 12500	 acc: --	 ppl: 15.17	 xent: 2.72	  25.28 TFLOP/s	 23931/28073 tok/s	 6400000 sents	  47654 sec	
mt_bos-deu: 13000	 acc: --	 ppl: 14.68	 xent: 2.69	  21.67 TFLOP/s	 20492/24075 tok/s	 6656000 sents	  49820 sec	
mt_bos-deu: 13500	 acc: --	 ppl: 14.21	 xent: 2.65	  25.29 TFLOP/s	 23933/28083 tok/s	 6912000 sents	  51679 sec	
mt_bos-deu: 14000	 acc: --	 ppl: 13.85	 xent: 2.63	  25.29 TFLOP/s	 23934/28088 tok/s	 7168000 sents	  53536 sec	
mt_bos-deu: 14500	 acc: --	 ppl: 13.55	 xent: 2.61	  25.34 TFLOP/s	 23976/28139 tok/s	 7424000 sents	  55394 sec	
mt_bos-deu: 15000	 acc: --	 ppl: 13.24	 xent: 2.58	  25.27 TFLOP/s	 23916/28055 tok/s	 7680000 sents	  57257 sec	
mt_bos-deu: 15500	 acc: --	 ppl: 13.00	 xent: 2.57	  21.16 TFLOP/s	 20041/23490 tok/s	 7936000 sents	  59480 sec	
mt_bos-deu: 16000	 acc: --	 ppl: 12.86	 xent: 2.55	  25.28 TFLOP/s	 23924/28077 tok/s	 8192000 sents	  61341 sec	
mt_bos-deu: 16500	 acc: --	 ppl: 12.71	 xent: 2.54	  25.28 TFLOP/s	 23910/28086 tok/s	 8448000 sents	  63205 sec	
