denoise_eng-eng: 250	 acc: --	 ppl: 29542.96	 xent: 10.29	  15.20 TFLOP/s	 41593/48312 tok/s	 123883 sents	    512 sec	
denoise_eng-eng: 500	 acc: --	 ppl: 2851.43	 xent: 7.96	  15.13 TFLOP/s	 41403/48086 tok/s	 247247 sents	   1025 sec	
denoise_eng-eng: 750	 acc: --	 ppl: 829.04	 xent: 6.72	  15.26 TFLOP/s	 41740/48479 tok/s	 372951 sents	   1543 sec	
denoise_eng-eng: 1000	 acc: --	 ppl: 428.12	 xent: 6.06	  15.31 TFLOP/s	 41896/48667 tok/s	 496789 sents	   2052 sec	
denoise_eng-eng: 1250	 acc: --	 ppl: 175.56	 xent: 5.17	   9.48 TFLOP/s	 25952/30142 tok/s	 619731 sents	   2866 sec	
denoise_eng-eng: 1500	 acc: --	 ppl: 19.03	 xent: 2.95	  15.18 TFLOP/s	 41542/48252 tok/s	 743535 sents	   3379 sec	
denoise_eng-eng: 1750	 acc: --	 ppl: 13.71	 xent: 2.62	  15.20 TFLOP/s	 41577/48299 tok/s	 867550 sents	   3891 sec	
denoise_eng-eng: 2000	 acc: --	 ppl: 12.92	 xent: 2.56	  15.14 TFLOP/s	 41410/48095 tok/s	 992145 sents	   4409 sec	
denoise_eng-eng: 2250	 acc: --	 ppl: 11.92	 xent: 2.48	   9.43 TFLOP/s	 25811/29982 tok/s	 1115111 sents	   5227 sec	
denoise_eng-eng: 2500	 acc: --	 ppl: 11.68	 xent: 2.46	  15.19 TFLOP/s	 41562/48278 tok/s	 1240767 sents	   5744 sec	
denoise_eng-eng: 2750	 acc: --	 ppl: 11.84	 xent: 2.47	  15.00 TFLOP/s	 41047/47683 tok/s	 1364206 sents	   6260 sec	
denoise_eng-eng: 3000	 acc: --	 ppl: 11.77	 xent: 2.47	  15.02 TFLOP/s	 41077/47725 tok/s	 1484593 sents	   6766 sec	
denoise_eng-eng: 3250	 acc: --	 ppl: 11.28	 xent: 2.42	   9.34 TFLOP/s	 25561/29688 tok/s	 1606110 sents	   7586 sec	
denoise_eng-eng: 3500	 acc: --	 ppl: 11.38	 xent: 2.43	  15.06 TFLOP/s	 41198/47860 tok/s	 1728707 sents	   8097 sec	
denoise_eng-eng: 3750	 acc: --	 ppl: 10.94	 xent: 2.39	  15.05 TFLOP/s	 41187/47843 tok/s	 1851725 sents	   8610 sec	
denoise_eng-eng: 4000	 acc: --	 ppl: 10.85	 xent: 2.38	  15.07 TFLOP/s	 41242/47915 tok/s	 1973550 sents	   9117 sec	
denoise_eng-eng: 4250	 acc: --	 ppl: 11.17	 xent: 2.41	   9.53 TFLOP/s	 26075/30287 tok/s	 2097495 sents	   9935 sec	
denoise_eng-eng: 4500	 acc: --	 ppl: 11.35	 xent: 2.43	  15.30 TFLOP/s	 41870/48640 tok/s	 2222120 sents	  10446 sec	
denoise_eng-eng: 4750	 acc: --	 ppl: 10.80	 xent: 2.38	  14.93 TFLOP/s	 40858/47465 tok/s	 2344085 sents	  10958 sec	
denoise_eng-eng: 5000	 acc: --	 ppl: 10.73	 xent: 2.37	  15.10 TFLOP/s	 41324/48000 tok/s	 2467571 sents	  11472 sec	
denoise_eng-eng: 5250	 acc: --	 ppl: 10.67	 xent: 2.37	   9.26 TFLOP/s	 25325/29412 tok/s	 2587763 sents	  12289 sec	
denoise_eng-eng: 5500	 acc: --	 ppl: 10.84	 xent: 2.38	  15.00 TFLOP/s	 41038/47671 tok/s	 2710343 sents	  12803 sec	
denoise_eng-eng: 5750	 acc: --	 ppl: 10.94	 xent: 2.39	  15.37 TFLOP/s	 42038/48838 tok/s	 2835720 sents	  13317 sec	
denoise_eng-eng: 6000	 acc: --	 ppl: 10.88	 xent: 2.39	  15.12 TFLOP/s	 41369/48059 tok/s	 2960486 sents	  13836 sec	
denoise_eng-eng: 6250	 acc: --	 ppl: 10.60	 xent: 2.36	   9.48 TFLOP/s	 25918/30107 tok/s	 3084018 sents	  14658 sec	
denoise_eng-eng: 6500	 acc: --	 ppl: 10.34	 xent: 2.34	  15.08 TFLOP/s	 41264/47931 tok/s	 3208752 sents	  15178 sec	
denoise_eng-eng: 6750	 acc: --	 ppl: 10.81	 xent: 2.38	  15.19 TFLOP/s	 41575/48288 tok/s	 3333347 sents	  15693 sec	
denoise_eng-eng: 7000	 acc: --	 ppl: 10.68	 xent: 2.37	  15.40 TFLOP/s	 42150/48961 tok/s	 3459154 sents	  16207 sec	
denoise_eng-eng: 7250	 acc: --	 ppl: 10.33	 xent: 2.34	   9.60 TFLOP/s	 26281/30528 tok/s	 3584475 sents	  17027 sec	
denoise_eng-eng: 7500	 acc: --	 ppl: 10.22	 xent: 2.32	  15.03 TFLOP/s	 41119/47761 tok/s	 3707538 sents	  17541 sec	
denoise_eng-eng: 7750	 acc: --	 ppl: 10.38	 xent: 2.34	  15.45 TFLOP/s	 42277/49105 tok/s	 3834276 sents	  18057 sec	
denoise_eng-eng: 8000	 acc: --	 ppl: 10.48	 xent: 2.35	  14.91 TFLOP/s	 40800/47386 tok/s	 3956203 sents	  18570 sec	
denoise_eng-eng: 8250	 acc: --	 ppl: 10.50	 xent: 2.35	   9.29 TFLOP/s	 25423/29530 tok/s	 4078016 sents	  19393 sec	
denoise_eng-eng: 8500	 acc: --	 ppl:  9.93	 xent: 2.30	  15.10 TFLOP/s	 41321/48000 tok/s	 4200264 sents	  19902 sec	
denoise_eng-eng: 8750	 acc: --	 ppl: 10.66	 xent: 2.37	  15.04 TFLOP/s	 41150/47805 tok/s	 4321364 sents	  20410 sec	
denoise_eng-eng: 9000	 acc: --	 ppl: 10.02	 xent: 2.30	  15.08 TFLOP/s	 41250/47922 tok/s	 4443944 sents	  20920 sec	
denoise_eng-eng: 9250	 acc: --	 ppl: 10.33	 xent: 2.33	   9.57 TFLOP/s	 26179/30410 tok/s	 4567687 sents	  21736 sec	
denoise_eng-eng: 9500	 acc: --	 ppl:  9.83	 xent: 2.29	  15.24 TFLOP/s	 41690/48432 tok/s	 4692055 sents	  22250 sec	
denoise_eng-eng: 9750	 acc: --	 ppl: 10.03	 xent: 2.31	  15.06 TFLOP/s	 41196/47860 tok/s	 4814768 sents	  22763 sec	
denoise_eng-eng: 10000	 acc: --	 ppl: 10.02	 xent: 2.30	  15.29 TFLOP/s	 41818/48579 tok/s	 4940488 sents	  23281 sec	
denoise_eng-eng: 10250	 acc: --	 ppl: 10.06	 xent: 2.31	   9.31 TFLOP/s	 25464/29583 tok/s	 5062573 sents	  24106 sec	
denoise_eng-eng: 10500	 acc: --	 ppl: 10.19	 xent: 2.32	  15.03 TFLOP/s	 41130/47782 tok/s	 5184375 sents	  24614 sec	
