predict_cat-cat: 31000	 acc: --	 ppl: 115.70	 xent: 4.75	  20.11 TFLOP/s	 6309/5527 tok/s	 758283 sents	  28450 sec	
predict_cat-cat: 31500	 acc: --	 ppl: 116.35	 xent: 4.76	  19.58 TFLOP/s	 6139/5384 tok/s	 863868 sents	  32425 sec	
predict_cat-cat: 32000	 acc: --	 ppl: 112.87	 xent: 4.73	  20.42 TFLOP/s	 6400/5614 tok/s	 973907 sents	  36416 sec	
predict_cat-cat: 32500	 acc: --	 ppl: 110.54	 xent: 4.71	  19.98 TFLOP/s	 6266/5493 tok/s	 1081482 sents	  40402 sec	
predict_cat-cat: 33000	 acc: --	 ppl: 111.96	 xent: 4.72	  18.70 TFLOP/s	 5862/5143 tok/s	 1192093 sents	  44750 sec	
predict_cat-cat: 33500	 acc: --	 ppl: 110.09	 xent: 4.70	  20.14 TFLOP/s	 6317/5535 tok/s	 1298768 sents	  48659 sec	
predict_cat-cat: 34000	 acc: --	 ppl: 107.31	 xent: 4.68	  20.38 TFLOP/s	 6392/5603 tok/s	 1407327 sents	  52609 sec	
predict_cat-cat: 34500	 acc: --	 ppl: 109.42	 xent: 4.70	  19.74 TFLOP/s	 6198/5422 tok/s	 1515758 sents	  56637 sec	
predict_cat-cat: 35000	 acc: --	 ppl: 103.95	 xent: 4.64	  19.87 TFLOP/s	 6235/5456 tok/s	 1623303 sents	  60671 sec	
predict_cat-cat: 35500	 acc: --	 ppl: 104.96	 xent: 4.65	  18.58 TFLOP/s	 5821/5113 tok/s	 1731504 sents	  65000 sec	
predict_cat-cat: 36000	 acc: --	 ppl: 105.18	 xent: 4.66	  20.34 TFLOP/s	 6373/5597 tok/s	 1840910 sents	  68983 sec	
predict_cat-cat: 36500	 acc: --	 ppl: 104.94	 xent: 4.65	  20.25 TFLOP/s	 6344/5572 tok/s	 1950918 sents	  73001 sec	
predict_cat-cat: 37000	 acc: --	 ppl: 100.84	 xent: 4.61	  20.01 TFLOP/s	 6267/5505 tok/s	 2058011 sents	  77016 sec	
predict_cat-cat: 37500	 acc: --	 ppl: 102.59	 xent: 4.63	  19.67 TFLOP/s	 6164/5412 tok/s	 2164556 sents	  81037 sec	
predict_cat-cat: 38000	 acc: --	 ppl: 103.48	 xent: 4.64	  18.01 TFLOP/s	 5650/4952 tok/s	 2270900 sents	  85393 sec	
predict_cat-cat: 38500	 acc: --	 ppl: 102.50	 xent: 4.63	  19.83 TFLOP/s	 6217/5454 tok/s	 2377021 sents	  89353 sec	
predict_cat-cat: 39000	 acc: --	 ppl: 100.55	 xent: 4.61	  20.08 TFLOP/s	 6292/5522 tok/s	 2484938 sents	  93342 sec	
predict_cat-cat: 39500	 acc: --	 ppl: 99.44	 xent: 4.60	  20.23 TFLOP/s	 6343/5562 tok/s	 2593457 sents	  97333 sec	
predict_cat-cat: 40000	 acc: --	 ppl: 102.87	 xent: 4.63	  20.93 TFLOP/s	 6566/5755 tok/s	 2707190 sents	 101316 sec	
predict_cat-cat: 40500	 acc: --	 ppl: 99.80	 xent: 4.60	  18.48 TFLOP/s	 5801/5076 tok/s	 2815992 sents	 105666 sec	
predict_cat-cat: 41000	 acc: --	 ppl: 98.93	 xent: 4.59	  20.74 TFLOP/s	 6509/5699 tok/s	 2928071 sents	 109677 sec	
predict_cat-cat: 41500	 acc: --	 ppl: 99.71	 xent: 4.60	  20.23 TFLOP/s	 6353/5557 tok/s	 3037864 sents	 113685 sec	
predict_cat-cat: 42000	 acc: --	 ppl: 99.03	 xent: 4.60	  19.18 TFLOP/s	 6016/5273 tok/s	 3141114 sents	 117683 sec	
predict_cat-cat: 42500	 acc: --	 ppl: 98.86	 xent: 4.59	  20.31 TFLOP/s	 6376/5577 tok/s	 3250510 sents	 121664 sec	
predict_cat-cat: 43000	 acc: --	 ppl: 97.20	 xent: 4.58	  18.63 TFLOP/s	 5838/5125 tok/s	 3358182 sents	 125964 sec	
predict_cat-cat: 43500	 acc: --	 ppl: 97.40	 xent: 4.58	  19.94 TFLOP/s	 6251/5482 tok/s	 3465269 sents	 129961 sec	
predict_cat-cat: 44000	 acc: --	 ppl: 97.98	 xent: 4.58	  19.76 TFLOP/s	 6192/5437 tok/s	 3571974 sents	 133954 sec	
predict_cat-cat: 44500	 acc: --	 ppl: 98.68	 xent: 4.59	  19.54 TFLOP/s	 6128/5371 tok/s	 3679283 sents	 138003 sec	
predict_cat-cat: 45000	 acc: --	 ppl: 99.61	 xent: 4.60	  20.13 TFLOP/s	 6307/5543 tok/s	 3788971 sents	 142019 sec	
predict_cat-cat: 45500	 acc: --	 ppl: 96.73	 xent: 4.57	  18.07 TFLOP/s	 5660/4974 tok/s	 3895818 sents	 146407 sec	
predict_cat-cat: 46000	 acc: --	 ppl: 100.58	 xent: 4.61	  19.22 TFLOP/s	 6029/5284 tok/s	 4007639 sents	 150653 sec	
predict_cat-cat: 46500	 acc: --	 ppl: 95.77	 xent: 4.56	  20.19 TFLOP/s	 6326/5557 tok/s	 4116424 sents	 154656 sec	
predict_cat-cat: 47000	 acc: --	 ppl: 95.79	 xent: 4.56	  20.60 TFLOP/s	 6450/5669 tok/s	 4228324 sents	 158685 sec	
predict_cat-cat: 47500	 acc: --	 ppl: 97.75	 xent: 4.58	  20.71 TFLOP/s	 6497/5696 tok/s	 4342171 sents	 162716 sec	
predict_cat-cat: 48000	 acc: --	 ppl: 93.36	 xent: 4.54	  19.15 TFLOP/s	 5997/5268 tok/s	 4454664 sents	 167097 sec	
predict_cat-cat: 48500	 acc: --	 ppl: 94.15	 xent: 4.54	  20.07 TFLOP/s	 6299/5515 tok/s	 4563178 sents	 171118 sec	

predict_ces-ces: 28000	 acc: --	 ppl: 140.75	 xent: 4.95	  20.53 TFLOP/s	 6427/5650 tok/s	 110072 sents	   4057 sec	
predict_ces-ces: 28500	 acc: --	 ppl: 126.72	 xent: 4.84	  20.26 TFLOP/s	 6356/5558 tok/s	 218636 sents	   8105 sec	
predict_ces-ces: 29000	 acc: --	 ppl: 120.32	 xent: 4.79	  19.91 TFLOP/s	 6228/5480 tok/s	 324655 sents	  12149 sec	
predict_ces-ces: 29500	 acc: --	 ppl: 116.61	 xent: 4.76	  20.39 TFLOP/s	 6383/5606 tok/s	 432410 sents	  16152 sec	
predict_ces-ces: 30000	 acc: --	 ppl: 112.41	 xent: 4.72	  20.08 TFLOP/s	 6286/5524 tok/s	 538586 sents	  20153 sec	
predict_ces-ces: 30500	 acc: --	 ppl: 110.41	 xent: 4.70	  18.50 TFLOP/s	 5796/5085 tok/s	 644023 sents	  24463 sec	
