mt_bos-ces: 34500	 acc: --	 ppl:  6.91	 xent: 1.93	  46.85 TFLOP/s	 13662/13804 tok/s	 10423082 sents	 154653 sec	
mt_bos-ces: 35000	 acc: --	 ppl:  6.74	 xent: 1.91	  45.92 TFLOP/s	 13404/13515 tok/s	 10570170 sents	 156847 sec	
mt_bos-ces: 35500	 acc: --	 ppl:  6.82	 xent: 1.92	  40.10 TFLOP/s	 11735/11779 tok/s	 10718741 sents	 159377 sec	
mt_bos-ces: 36000	 acc: --	 ppl:  6.83	 xent: 1.92	  46.76 TFLOP/s	 13660/13755 tok/s	 10868430 sents	 161568 sec	
mt_bos-ces: 36500	 acc: --	 ppl:  6.85	 xent: 1.92	  47.67 TFLOP/s	 13926/14026 tok/s	 11021924 sents	 163762 sec	
mt_bos-ces: 37000	 acc: --	 ppl:  6.95	 xent: 1.94	  47.39 TFLOP/s	 13818/13964 tok/s	 11174902 sents	 165956 sec	
mt_bos-ces: 37500	 acc: --	 ppl:  6.84	 xent: 1.92	  46.92 TFLOP/s	 13737/13780 tok/s	 11326190 sents	 168156 sec	
mt_bos-ces: 38000	 acc: --	 ppl:  6.78	 xent: 1.91	  40.30 TFLOP/s	 11792/11835 tok/s	 11475224 sents	 170684 sec	

mt_bos-deu: 500	 acc: --	 ppl: 2810.44	 xent: 7.94	  48.98 TFLOP/s	 14181/14512 tok/s	 159712 sents	   2243 sec	
mt_bos-deu: 1000	 acc: --	 ppl: 304.84	 xent: 5.72	  48.10 TFLOP/s	 13896/14268 tok/s	 309704 sents	   4404 sec	
mt_bos-deu: 1500	 acc: --	 ppl: 101.93	 xent: 4.62	  48.69 TFLOP/s	 14055/14461 tok/s	 462359 sents	   6558 sec	
mt_bos-deu: 2000	 acc: --	 ppl: 57.39	 xent: 4.05	  47.40 TFLOP/s	 13712/14048 tok/s	 610526 sents	   8727 sec	
mt_bos-deu: 2500	 acc: --	 ppl: 48.04	 xent: 3.87	  50.15 TFLOP/s	 14486/14884 tok/s	 768151 sents	  10894 sec	
mt_bos-deu: 3000	 acc: --	 ppl: 29.50	 xent: 3.38	  43.56 TFLOP/s	 12608/12909 tok/s	 925149 sents	  13372 sec	
mt_bos-deu: 3500	 acc: --	 ppl: 16.01	 xent: 2.77	  47.57 TFLOP/s	 13740/14115 tok/s	 1072604 sents	  15515 sec	
mt_bos-deu: 4000	 acc: --	 ppl: 12.20	 xent: 2.50	  46.50 TFLOP/s	 13486/13752 tok/s	 1218412 sents	  17690 sec	
mt_bos-deu: 4500	 acc: --	 ppl: 10.51	 xent: 2.35	  48.79 TFLOP/s	 14141/14437 tok/s	 1369726 sents	  19836 sec	
mt_bos-deu: 5000	 acc: --	 ppl:  9.61	 xent: 2.26	  47.46 TFLOP/s	 13754/14047 tok/s	 1517204 sents	  21990 sec	
mt_bos-deu: 5500	 acc: --	 ppl:  8.85	 xent: 2.18	  41.55 TFLOP/s	 12085/12261 tok/s	 1669919 sents	  24534 sec	
mt_bos-deu: 6000	 acc: --	 ppl:  8.81	 xent: 2.18	  47.11 TFLOP/s	 13646/13950 tok/s	 1824812 sents	  26802 sec	
mt_bos-deu: 6500	 acc: --	 ppl:  8.50	 xent: 2.14	  48.68 TFLOP/s	 14072/14436 tok/s	 1979518 sents	  28997 sec	
mt_bos-deu: 7000	 acc: --	 ppl:  8.59	 xent: 2.15	  48.79 TFLOP/s	 14095/14479 tok/s	 2135191 sents	  31196 sec	
mt_bos-deu: 7500	 acc: --	 ppl:  8.34	 xent: 2.12	  49.08 TFLOP/s	 14216/14533 tok/s	 2289874 sents	  33375 sec	
mt_bos-deu: 8000	 acc: --	 ppl:  8.11	 xent: 2.09	  42.63 TFLOP/s	 12322/12640 tok/s	 2443596 sents	  35891 sec	
