denoise_eng-eng: 3250	 acc: --	 ppl: 16.14	 xent: 2.78	   9.70 TFLOP/s	 27255/30087 tok/s	 1587616 sents	   7650 sec	
denoise_eng-eng: 3500	 acc: --	 ppl: 14.54	 xent: 2.68	  15.62 TFLOP/s	 43754/48610 tok/s	 1710374 sents	   8166 sec	
denoise_eng-eng: 3750	 acc: --	 ppl: 14.21	 xent: 2.65	  15.74 TFLOP/s	 44200/48853 tok/s	 1834344 sents	   8687 sec	
denoise_eng-eng: 4000	 acc: --	 ppl: 13.74	 xent: 2.62	  15.71 TFLOP/s	 44098/48757 tok/s	 1956178 sents	   9200 sec	
denoise_eng-eng: 4250	 acc: --	 ppl: 14.15	 xent: 2.65	   9.65 TFLOP/s	 27103/29928 tok/s	 2076177 sents	  10024 sec	
denoise_eng-eng: 4500	 acc: --	 ppl: 13.10	 xent: 2.57	  15.68 TFLOP/s	 44052/48641 tok/s	 2198398 sents	  10539 sec	
denoise_eng-eng: 4750	 acc: --	 ppl: 12.73	 xent: 2.54	  15.66 TFLOP/s	 43957/48661 tok/s	 2321802 sents	  11058 sec	
denoise_eng-eng: 5000	 acc: --	 ppl: 12.57	 xent: 2.53	  15.61 TFLOP/s	 43812/48545 tok/s	 2445222 sents	  11576 sec	
denoise_eng-eng: 5250	 acc: --	 ppl: 12.46	 xent: 2.52	   9.93 TFLOP/s	 27969/30732 tok/s	 2569252 sents	  12404 sec	
denoise_eng-eng: 5500	 acc: --	 ppl: 12.90	 xent: 2.56	  15.38 TFLOP/s	 43187/47742 tok/s	 2689637 sents	  12922 sec	
denoise_eng-eng: 5750	 acc: --	 ppl: 12.67	 xent: 2.54	  15.30 TFLOP/s	 42897/47537 tok/s	 2809282 sents	  13439 sec	
denoise_eng-eng: 6000	 acc: --	 ppl: 12.59	 xent: 2.53	  15.26 TFLOP/s	 42692/47513 tok/s	 2928096 sents	  13953 sec	
denoise_eng-eng: 6250	 acc: --	 ppl: 12.06	 xent: 2.49	   9.67 TFLOP/s	 27183/29996 tok/s	 3048176 sents	  14778 sec	
denoise_eng-eng: 6500	 acc: --	 ppl: 11.90	 xent: 2.48	  15.39 TFLOP/s	 43301/47665 tok/s	 3168707 sents	  15299 sec	
denoise_eng-eng: 6750	 acc: --	 ppl: 12.19	 xent: 2.50	  15.60 TFLOP/s	 43779/48419 tok/s	 3290186 sents	  15815 sec	
denoise_eng-eng: 7000	 acc: --	 ppl: 11.70	 xent: 2.46	  15.46 TFLOP/s	 43363/48036 tok/s	 3411307 sents	  16332 sec	
denoise_eng-eng: 7250	 acc: --	 ppl: 11.70	 xent: 2.46	   9.58 TFLOP/s	 26834/29782 tok/s	 3531713 sents	  17158 sec	
denoise_eng-eng: 7500	 acc: --	 ppl: 11.60	 xent: 2.45	  15.46 TFLOP/s	 43428/47970 tok/s	 3652891 sents	  17675 sec	
denoise_eng-eng: 7750	 acc: --	 ppl: 11.64	 xent: 2.45	  15.27 TFLOP/s	 42832/47444 tok/s	 3772208 sents	  18191 sec	
denoise_eng-eng: 8000	 acc: --	 ppl: 11.29	 xent: 2.42	  15.72 TFLOP/s	 44056/48931 tok/s	 3895064 sents	  18704 sec	
denoise_eng-eng: 8250	 acc: --	 ppl: 11.58	 xent: 2.45	   9.62 TFLOP/s	 26977/29886 tok/s	 4015291 sents	  19531 sec	
denoise_eng-eng: 8500	 acc: --	 ppl: 11.21	 xent: 2.42	  15.94 TFLOP/s	 44565/49648 tok/s	 4139506 sents	  20042 sec	
denoise_eng-eng: 8750	 acc: --	 ppl: 11.58	 xent: 2.45	  15.57 TFLOP/s	 43683/48406 tok/s	 4260300 sents	  20553 sec	
denoise_eng-eng: 9000	 acc: --	 ppl: 11.26	 xent: 2.42	  15.61 TFLOP/s	 43767/48527 tok/s	 4382701 sents	  21068 sec	
denoise_eng-eng: 9250	 acc: --	 ppl: 11.41	 xent: 2.43	   9.78 TFLOP/s	 27493/30327 tok/s	 4504293 sents	  21892 sec	
denoise_eng-eng: 9500	 acc: --	 ppl: 10.91	 xent: 2.39	  15.41 TFLOP/s	 43311/47825 tok/s	 4625092 sents	  22410 sec	
denoise_eng-eng: 9750	 acc: --	 ppl: 11.45	 xent: 2.44	  15.41 TFLOP/s	 43213/47908 tok/s	 4746045 sents	  22926 sec	
denoise_eng-eng: 10000	 acc: --	 ppl: 11.31	 xent: 2.43	  15.15 TFLOP/s	 42594/46982 tok/s	 4864515 sents	  23446 sec	
denoise_eng-eng: 10250	 acc: --	 ppl: 11.06	 xent: 2.40	   9.68 TFLOP/s	 27194/30042 tok/s	 4985766 sents	  24274 sec	
denoise_eng-eng: 10500	 acc: --	 ppl: 11.15	 xent: 2.41	  15.86 TFLOP/s	 44706/49080 tok/s	 5106984 sents	  24783 sec	
