make[3]: Entering directory '/pfs/lustrep2/scratch/project_462001509/members/tiedeman/MARMoT/models/pytorch/docmt-2pivot-GAenc-big'
make[4]: Entering directory '/pfs/lustrep2/scratch/project_462001509/members/tiedeman/MARMoT/models/pytorch/docmt-2pivot-GAenc-big'
zero_deu-tur: 11250	 acc: --	 ppl: 10.51	 xent: 2.35	  16.87 TFLOP/s	 12180/13592 tok/s	 103253 sents	   1517 sec	
zero_deu-tur: 11500	 acc: --	 ppl: 10.13	 xent: 2.32	  16.94 TFLOP/s	 12248/13636 tok/s	 204838 sents	   3003 sec	
zero_deu-tur: 11750	 acc: --	 ppl:  9.76	 xent: 2.28	  16.87 TFLOP/s	 12192/13588 tok/s	 306113 sents	   4484 sec	
zero_deu-tur: 12000	 acc: --	 ppl:  9.53	 xent: 2.25	  17.46 TFLOP/s	 12631/14043 tok/s	 409395 sents	   5958 sec	
zero_deu-tur: 12250	 acc: --	 ppl:  9.71	 xent: 2.27	  15.21 TFLOP/s	 11001/12238 tok/s	 511082 sents	   7617 sec	
zero_deu-tur: 12500	 acc: --	 ppl:  9.49	 xent: 2.25	  17.83 TFLOP/s	 12907/14339 tok/s	 616178 sents	   9079 sec	
zero_deu-tur: 12750	 acc: --	 ppl: 10.18	 xent: 2.32	  17.56 TFLOP/s	 12676/14140 tok/s	 720426 sents	  10557 sec	
zero_deu-tur: 13000	 acc: --	 ppl:  9.39	 xent: 2.24	  17.42 TFLOP/s	 12556/14039 tok/s	 823655 sents	  12033 sec	
zero_deu-tur: 13250	 acc: --	 ppl:  9.46	 xent: 2.25	  14.62 TFLOP/s	 10567/11771 tok/s	 928027 sents	  13807 sec	
zero_deu-tur: 13500	 acc: --	 ppl:  9.60	 xent: 2.26	  18.30 TFLOP/s	 13222/14736 tok/s	 1038412 sents	  15301 sec	
zero_deu-tur: 13750	 acc: --	 ppl:  9.37	 xent: 2.24	  16.26 TFLOP/s	 11739/13093 tok/s	 1134860 sents	  16778 sec	
zero_deu-tur: 14000	 acc: --	 ppl:  8.87	 xent: 2.18	  17.58 TFLOP/s	 12718/14140 tok/s	 1238975 sents	  18247 sec	
zero_deu-tur: 14250	 acc: --	 ppl:  9.64	 xent: 2.27	  15.33 TFLOP/s	 11070/12349 tok/s	 1344320 sents	  19952 sec	
zero_deu-tur: 14500	 acc: --	 ppl:  9.74	 xent: 2.28	  17.58 TFLOP/s	 12715/14131 tok/s	 1447901 sents	  21419 sec	
zero_deu-tur: 14750	 acc: --	 ppl:  9.37	 xent: 2.24	  18.05 TFLOP/s	 13058/14512 tok/s	 1554747 sents	  22896 sec	
zero_deu-tur: 15000	 acc: --	 ppl:  9.84	 xent: 2.29	  17.76 TFLOP/s	 12828/14294 tok/s	 1660888 sents	  24380 sec	
zero_deu-tur: 15250	 acc: --	 ppl:  9.28	 xent: 2.23	  15.69 TFLOP/s	 11343/12622 tok/s	 1766316 sents	  26049 sec	
zero_deu-tur: 15500	 acc: --	 ppl: 10.08	 xent: 2.31	  17.78 TFLOP/s	 12833/14326 tok/s	 1872970 sents	  27538 sec	
zero_deu-tur: 15750	 acc: --	 ppl:  9.74	 xent: 2.28	  17.48 TFLOP/s	 12626/14069 tok/s	 1977389 sents	  29020 sec	
zero_deu-tur: 16000	 acc: --	 ppl:  9.74	 xent: 2.28	  17.53 TFLOP/s	 12669/14105 tok/s	 2082290 sents	  30506 sec	
zero_deu-tur: 16250	 acc: --	 ppl:  9.47	 xent: 2.25	  15.95 TFLOP/s	 11526/12846 tok/s	 2189512 sents	  32168 sec	
zero_deu-tur: 16500	 acc: --	 ppl:  9.32	 xent: 2.23	  17.78 TFLOP/s	 12851/14315 tok/s	 2295380 sents	  33644 sec	
zero_deu-tur: 16750	 acc: --	 ppl:  9.17	 xent: 2.22	  17.62 TFLOP/s	 12719/14189 tok/s	 2400154 sents	  35120 sec	
zero_deu-tur: 17000	 acc: --	 ppl:  9.32	 xent: 2.23	  17.44 TFLOP/s	 12582/14050 tok/s	 2504302 sents	  36600 sec	
zero_deu-tur: 17250	 acc: --	 ppl:  9.69	 xent: 2.27	  15.61 TFLOP/s	 11275/12563 tok/s	 2608259 sents	  38254 sec	
zero_deu-tur: 17500	 acc: --	 ppl: 10.22	 xent: 2.32	  17.59 TFLOP/s	 12680/14177 tok/s	 2712485 sents	  39725 sec	
zero_deu-tur: 17750	 acc: --	 ppl:  9.71	 xent: 2.27	  17.20 TFLOP/s	 12410/13857 tok/s	 2813520 sents	  41182 sec	
zero_deu-tur: 18000	 acc: --	 ppl:  8.96	 xent: 2.19	  17.84 TFLOP/s	 12899/14348 tok/s	 2919590 sents	  42657 sec	
zero_deu-tur: 18250	 acc: --	 ppl:  9.50	 xent: 2.25	  16.11 TFLOP/s	 11616/12988 tok/s	 3027861 sents	  44324 sec	
zero_deu-tur: 18500	 acc: --	 ppl:  9.27	 xent: 2.23	  17.57 TFLOP/s	 12693/14139 tok/s	 3132898 sents	  45806 sec	
zero_deu-tur: 18750	 acc: --	 ppl:  9.87	 xent: 2.29	  17.00 TFLOP/s	 12279/13686 tok/s	 3234926 sents	  47295 sec	
zero_deu-tur: 19000	 acc: --	 ppl:  9.80	 xent: 2.28	  17.22 TFLOP/s	 12436/13875 tok/s	 3337662 sents	  48769 sec	
zero_deu-tur: 19250	 acc: --	 ppl:  9.77	 xent: 2.28	  15.50 TFLOP/s	 11171/12503 tok/s	 3440359 sents	  50406 sec	
zero_deu-tur: 19500	 acc: --	 ppl:  9.32	 xent: 2.23	  17.52 TFLOP/s	 12663/14097 tok/s	 3542882 sents	  51856 sec	
zero_deu-tur: 19750	 acc: --	 ppl:  9.77	 xent: 2.28	  17.63 TFLOP/s	 12740/14185 tok/s	 3645840 sents	  53308 sec	
zero_deu-tur: 20000	 acc: --	 ppl:  9.81	 xent: 2.28	  17.51 TFLOP/s	 12623/14118 tok/s	 3747993 sents	  54755 sec	
zero_deu-tur: 20250	 acc: --	 ppl:  9.24	 xent: 2.22	  16.04 TFLOP/s	 11604/12903 tok/s	 3853442 sents	  56391 sec	
zero_deu-tur: 20500	 acc: --	 ppl:  9.01	 xent: 2.20	  17.72 TFLOP/s	 12833/14238 tok/s	 3957041 sents	  57848 sec	
zero_deu-tur: 20750	 acc: --	 ppl:  9.75	 xent: 2.28	  17.60 TFLOP/s	 12684/14195 tok/s	 4060342 sents	  59308 sec	
zero_deu-tur: 21000	 acc: --	 ppl:  9.37	 xent: 2.24	  17.91 TFLOP/s	 12955/14415 tok/s	 4165109 sents	  60755 sec	
zero_deu-tur: 21250	 acc: --	 ppl:  8.96	 xent: 2.19	  15.59 TFLOP/s	 11268/12551 tok/s	 4268230 sents	  62393 sec	
zero_deu-tur: 21500	 acc: --	 ppl:  9.22	 xent: 2.22	  17.83 TFLOP/s	 12859/14368 tok/s	 4373311 sents	  63863 sec	
zero_deu-tur: 21750	 acc: --	 ppl:  8.87	 xent: 2.18	  18.12 TFLOP/s	 13101/14585 tok/s	 4480931 sents	  65337 sec	
zero_deu-tur: 22000	 acc: --	 ppl:  9.38	 xent: 2.24	  17.57 TFLOP/s	 12713/14124 tok/s	 4585586 sents	  66822 sec	
zero_deu-tur: 22250	 acc: --	 ppl:  9.15	 xent: 2.21	  15.49 TFLOP/s	 11189/12471 tok/s	 4690129 sents	  68502 sec	
