instruct_eng-ces: 48000	 acc: --	 ppl: 41.72	 xent: 3.73	   9.03 TFLOP/s	 2993/2472 tok/s	 224818 sents	   2045 sec	
instruct_eng-ces: 48500	 acc: --	 ppl: 41.63	 xent: 3.73	   8.13 TFLOP/s	 2701/2224 tok/s	 436195 sents	   4165 sec	
instruct_eng-ces: 49000	 acc: --	 ppl: 44.55	 xent: 3.80	   8.74 TFLOP/s	 2924/2374 tok/s	 654958 sents	   6164 sec	
instruct_eng-ces: 49500	 acc: --	 ppl: 35.74	 xent: 3.58	   8.56 TFLOP/s	 2825/2354 tok/s	 874653 sents	   8311 sec	
instruct_eng-ces: 50000	 acc: --	 ppl: 36.83	 xent: 3.61	   8.87 TFLOP/s	 2942/2427 tok/s	 1099557 sents	  10393 sec	
instruct_eng-ces: 50500	 acc: --	 ppl: 39.37	 xent: 3.67	   7.47 TFLOP/s	 2513/2014 tok/s	 1314835 sents	  12714 sec	
instruct_eng-ces: 51000	 acc: --	 ppl: 37.63	 xent: 3.63	   7.04 TFLOP/s	 2319/1940 tok/s	 1533611 sents	  15205 sec	
instruct_eng-ces: 51500	 acc: --	 ppl: 35.09	 xent: 3.56	   7.60 TFLOP/s	 2490/2105 tok/s	 1753459 sents	  17564 sec	
instruct_eng-ces: 52000	 acc: --	 ppl: 34.38	 xent: 3.54	   6.88 TFLOP/s	 2250/1907 tok/s	 1958899 sents	  20006 sec	
instruct_eng-ces: 52500	 acc: --	 ppl: 36.74	 xent: 3.60	   7.42 TFLOP/s	 2444/2046 tok/s	 2184205 sents	  22441 sec	
instruct_eng-ces: 53000	 acc: --	 ppl: 40.94	 xent: 3.71	   6.88 TFLOP/s	 2595/1618 tok/s	 2400246 sents	  25296 sec	
instruct_eng-ces: 53500	 acc: --	 ppl: 54.24	 xent: 3.99	   9.30 TFLOP/s	 4445/1398 tok/s	 2573547 sents	  27770 sec	
instruct_eng-ces: 54000	 acc: --	 ppl: 55.45	 xent: 4.02	   9.71 TFLOP/s	 4623/1475 tok/s	 2759169 sents	  30253 sec	
instruct_eng-ces: 54500	 acc: --	 ppl: 53.05	 xent: 3.97	   9.58 TFLOP/s	 4605/1417 tok/s	 2932218 sents	  32715 sec	
instruct_eng-ces: 55000	 acc: --	 ppl: 52.83	 xent: 3.97	   9.38 TFLOP/s	 4516/1382 tok/s	 3107021 sents	  35251 sec	

instruct_eng-deu: 48000	 acc: --	 ppl: 119.65	 xent: 4.78	  11.24 TFLOP/s	 3535/3232 tok/s	 201103 sents	   2046 sec	
instruct_eng-deu: 48500	 acc: --	 ppl: 106.72	 xent: 4.67	  10.62 TFLOP/s	 3337/3054 tok/s	 397796 sents	   4166 sec	
instruct_eng-deu: 49000	 acc: --	 ppl: 102.23	 xent: 4.63	  11.40 TFLOP/s	 3581/3278 tok/s	 596957 sents	   6165 sec	
instruct_eng-deu: 49500	 acc: --	 ppl: 99.37	 xent: 4.60	  10.86 TFLOP/s	 3413/3125 tok/s	 800559 sents	   8312 sec	
instruct_eng-deu: 50000	 acc: --	 ppl: 96.92	 xent: 4.57	  11.22 TFLOP/s	 3528/3223 tok/s	 1004994 sents	  10393 sec	
instruct_eng-deu: 50500	 acc: --	 ppl: 95.11	 xent: 4.56	  10.34 TFLOP/s	 3248/2974 tok/s	 1214814 sents	  12715 sec	
instruct_eng-deu: 51000	 acc: --	 ppl: 94.20	 xent: 4.55	   9.27 TFLOP/s	 2914/2664 tok/s	 1416759 sents	  15206 sec	
instruct_eng-deu: 51500	 acc: --	 ppl: 93.02	 xent: 4.53	  10.35 TFLOP/s	 3249/2977 tok/s	 1630007 sents	  17565 sec	
instruct_eng-deu: 52000	 acc: --	 ppl: 92.52	 xent: 4.53	   9.19 TFLOP/s	 2888/2641 tok/s	 1825875 sents	  20007 sec	
instruct_eng-deu: 52500	 acc: --	 ppl: 91.26	 xent: 4.51	   9.43 TFLOP/s	 2966/2712 tok/s	 2026342 sents	  22442 sec	
instruct_eng-deu: 53000	 acc: --	 ppl: 90.48	 xent: 4.51	   8.06 TFLOP/s	 2533/2316 tok/s	 2227641 sents	  25296 sec	
instruct_eng-deu: 53500	 acc: --	 ppl: 90.39	 xent: 4.50	   8.92 TFLOP/s	 2805/2565 tok/s	 2420360 sents	  27771 sec	
instruct_eng-deu: 54000	 acc: --	 ppl: 89.53	 xent: 4.49	   9.23 TFLOP/s	 2935/2626 tok/s	 2619215 sents	  30254 sec	
instruct_eng-deu: 54500	 acc: --	 ppl: 85.57	 xent: 4.45	   9.14 TFLOP/s	 2805/2685 tok/s	 2819830 sents	  32716 sec	
instruct_eng-deu: 55000	 acc: --	 ppl: 86.75	 xent: 4.46	   8.89 TFLOP/s	 2729/2608 tok/s	 3021107 sents	  35252 sec	

instruct_eng-fra: 48000	 acc: --	 ppl: 76.77	 xent: 4.34	   9.78 TFLOP/s	 2886/2964 tok/s	 152904 sents	   2046 sec	
instruct_eng-fra: 48500	 acc: --	 ppl: 75.83	 xent: 4.33	   9.18 TFLOP/s	 2709/2782 tok/s	 301384 sents	   4166 sec	
instruct_eng-fra: 49000	 acc: --	 ppl: 71.90	 xent: 4.28	  10.05 TFLOP/s	 2962/3050 tok/s	 454455 sents	   6165 sec	
instruct_eng-fra: 49500	 acc: --	 ppl: 69.98	 xent: 4.25	   9.04 TFLOP/s	 2670/2740 tok/s	 602628 sents	   8312 sec	
instruct_eng-fra: 50000	 acc: --	 ppl: 68.20	 xent: 4.22	   9.32 TFLOP/s	 2751/2827 tok/s	 750310 sents	  10393 sec	
instruct_eng-fra: 50500	 acc: --	 ppl: 67.29	 xent: 4.21	   8.54 TFLOP/s	 2522/2585 tok/s	 901281 sents	  12715 sec	
instruct_eng-fra: 51000	 acc: --	 ppl: 66.36	 xent: 4.20	   7.75 TFLOP/s	 2288/2350 tok/s	 1048296 sents	  15206 sec	
instruct_eng-fra: 51500	 acc: --	 ppl: 65.73	 xent: 4.19	   8.11 TFLOP/s	 2394/2456 tok/s	 1194337 sents	  17565 sec	
instruct_eng-fra: 52000	 acc: --	 ppl: 64.93	 xent: 4.17	   7.88 TFLOP/s	 2327/2390 tok/s	 1341227 sents	  20007 sec	
instruct_eng-fra: 52500	 acc: --	 ppl: 64.18	 xent: 4.16	   8.18 TFLOP/s	 2414/2478 tok/s	 1493289 sents	  22442 sec	
instruct_eng-fra: 53000	 acc: --	 ppl: 63.51	 xent: 4.15	   7.11 TFLOP/s	 2098/2157 tok/s	 1648509 sents	  25296 sec	
instruct_eng-fra: 53500	 acc: --	 ppl: 63.03	 xent: 4.14	   7.84 TFLOP/s	 2311/2377 tok/s	 1795989 sents	  27771 sec	
instruct_eng-fra: 54000	 acc: --	 ppl: 62.61	 xent: 4.14	   7.65 TFLOP/s	 2261/2317 tok/s	 1940892 sents	  30254 sec	
instruct_eng-fra: 54500	 acc: --	 ppl: 62.55	 xent: 4.14	   7.80 TFLOP/s	 2302/2363 tok/s	 2087624 sents	  32716 sec	
instruct_eng-fra: 55000	 acc: --	 ppl: 61.92	 xent: 4.13	   7.61 TFLOP/s	 2248/2307 tok/s	 2234775 sents	  35252 sec	

instruct_eng-fin: 48000	 acc: --	 ppl: 25.93	 xent: 3.26	  12.75 TFLOP/s	 4439/3309 tok/s	 250565 sents	   2046 sec	
instruct_eng-fin: 48500	 acc: --	 ppl: 21.42	 xent: 3.06	  12.44 TFLOP/s	 4334/3227 tok/s	 504087 sents	   4166 sec	
instruct_eng-fin: 49000	 acc: --	 ppl: 20.27	 xent: 3.01	  13.11 TFLOP/s	 4566/3401 tok/s	 755399 sents	   6165 sec	
instruct_eng-fin: 49500	 acc: --	 ppl: 19.57	 xent: 2.97	  12.28 TFLOP/s	 4276/3185 tok/s	 1008933 sents	   8312 sec	
instruct_eng-fin: 50000	 acc: --	 ppl: 19.14	 xent: 2.95	  12.52 TFLOP/s	 4367/3240 tok/s	 1259251 sents	  10394 sec	
instruct_eng-fin: 50500	 acc: --	 ppl: 18.22	 xent: 2.90	  11.02 TFLOP/s	 3728/2951 tok/s	 1512435 sents	  12715 sec	
