mt_bos-eng: 20500	 acc: --	 ppl: 10.42	 xent: 2.34	  11.53 TFLOP/s	 11058/12696 tok/s	 4371721 sents	  58929 sec	
mt_bos-eng: 21000	 acc: --	 ppl: 10.39	 xent: 2.34	  14.38 TFLOP/s	 13783/15831 tok/s	 4479516 sents	  60290 sec	
mt_bos-eng: 21500	 acc: --	 ppl: 10.38	 xent: 2.34	  14.07 TFLOP/s	 13489/15491 tok/s	 4584915 sents	  61654 sec	
mt_bos-eng: 22000	 acc: --	 ppl: 10.37	 xent: 2.34	  14.33 TFLOP/s	 13727/15785 tok/s	 4692332 sents	  63014 sec	
mt_bos-eng: 22500	 acc: --	 ppl: 10.33	 xent: 2.34	  14.25 TFLOP/s	 13668/15673 tok/s	 4798594 sents	  64372 sec	
mt_bos-eng: 23000	 acc: --	 ppl: 10.38	 xent: 2.34	  11.79 TFLOP/s	 11297/12974 tok/s	 4907826 sents	  66055 sec	
mt_bos-eng: 23500	 acc: --	 ppl: 10.33	 xent: 2.34	  14.37 TFLOP/s	 13788/15815 tok/s	 5015039 sents	  67410 sec	
mt_bos-eng: 24000	 acc: --	 ppl: 10.28	 xent: 2.33	  14.21 TFLOP/s	 13640/15630 tok/s	 5120496 sents	  68756 sec	
mt_bos-eng: 24500	 acc: --	 ppl: 10.30	 xent: 2.33	  14.60 TFLOP/s	 14008/16071 tok/s	 5229683 sents	  70110 sec	
mt_bos-eng: 25000	 acc: --	 ppl: 10.27	 xent: 2.33	  13.28 TFLOP/s	 12733/14626 tok/s	 5337846 sents	  71584 sec	
mt_bos-eng: 25500	 acc: --	 ppl: 10.24	 xent: 2.33	  11.84 TFLOP/s	 11367/13023 tok/s	 5448110 sents	  73273 sec	
mt_bos-eng: 26000	 acc: --	 ppl: 10.24	 xent: 2.33	  14.12 TFLOP/s	 13532/15550 tok/s	 5555680 sents	  74654 sec	
mt_bos-eng: 26500	 acc: --	 ppl: 10.21	 xent: 2.32	  13.95 TFLOP/s	 13373/15348 tok/s	 5659075 sents	  76001 sec	
mt_bos-eng: 27000	 acc: --	 ppl: 10.22	 xent: 2.32	  14.71 TFLOP/s	 14097/16191 tok/s	 5769105 sents	  77356 sec	
mt_bos-eng: 27500	 acc: --	 ppl: 10.18	 xent: 2.32	  14.21 TFLOP/s	 13632/15634 tok/s	 5874622 sents	  78708 sec	
mt_bos-eng: 28000	 acc: --	 ppl: 10.15	 xent: 2.32	  11.56 TFLOP/s	 11081/12719 tok/s	 5980416 sents	  80370 sec	
mt_bos-eng: 28500	 acc: --	 ppl: 10.13	 xent: 2.32	  14.26 TFLOP/s	 13667/15702 tok/s	 6086786 sents	  81723 sec	
mt_bos-eng: 29000	 acc: --	 ppl: 10.06	 xent: 2.31	  14.47 TFLOP/s	 13874/15920 tok/s	 6194165 sents	  83075 sec	
mt_bos-eng: 29500	 acc: --	 ppl: 10.02	 xent: 2.30	  14.64 TFLOP/s	 14045/16110 tok/s	 6303686 sents	  84430 sec	
mt_bos-eng: 30000	 acc: --	 ppl: 10.05	 xent: 2.31	  14.34 TFLOP/s	 13746/15788 tok/s	 6410899 sents	  85786 sec	
mt_bos-eng: 30500	 acc: --	 ppl: 10.01	 xent: 2.30	  11.55 TFLOP/s	 11074/12712 tok/s	 6517874 sents	  87460 sec	
mt_bos-eng: 31000	 acc: --	 ppl: 10.14	 xent: 2.32	  14.26 TFLOP/s	 13655/15717 tok/s	 6623598 sents	  88802 sec	
mt_bos-eng: 31500	 acc: --	 ppl: 10.06	 xent: 2.31	  14.53 TFLOP/s	 13928/15999 tok/s	 6731179 sents	  90143 sec	
mt_bos-eng: 32000	 acc: --	 ppl:  9.99	 xent: 2.30	  13.18 TFLOP/s	 12642/14503 tok/s	 6838687 sents	  91621 sec	
mt_bos-eng: 32500	 acc: --	 ppl: 10.02	 xent: 2.30	  14.92 TFLOP/s	 14301/16426 tok/s	 6949670 sents	  92969 sec	
mt_bos-eng: 33000	 acc: --	 ppl: 10.02	 xent: 2.31	  11.41 TFLOP/s	 10939/12568 tok/s	 7054486 sents	  94633 sec	
mt_bos-eng: 33500	 acc: --	 ppl:  9.97	 xent: 2.30	  14.43 TFLOP/s	 13843/15889 tok/s	 7161613 sents	  95977 sec	
mt_bos-eng: 34000	 acc: --	 ppl:  9.98	 xent: 2.30	  13.99 TFLOP/s	 13407/15400 tok/s	 7267500 sents	  97358 sec	
mt_bos-eng: 34500	 acc: --	 ppl: 10.03	 xent: 2.31	  14.24 TFLOP/s	 13627/15689 tok/s	 7373335 sents	  98703 sec	
mt_bos-eng: 35000	 acc: --	 ppl:  9.92	 xent: 2.29	  14.46 TFLOP/s	 13861/15915 tok/s	 7480678 sents	 100052 sec	
mt_bos-eng: 35500	 acc: --	 ppl:  9.92	 xent: 2.29	  11.73 TFLOP/s	 11252/12915 tok/s	 7588975 sents	 101728 sec	
mt_bos-eng: 36000	 acc: --	 ppl:  9.96	 xent: 2.30	  14.14 TFLOP/s	 13563/15567 tok/s	 7694202 sents	 103078 sec	
mt_bos-eng: 36500	 acc: --	 ppl:  9.88	 xent: 2.29	  13.27 TFLOP/s	 12733/14598 tok/s	 7800581 sents	 104533 sec	
mt_bos-eng: 37000	 acc: --	 ppl:  9.93	 xent: 2.30	  14.51 TFLOP/s	 13912/15974 tok/s	 7908164 sents	 105877 sec	
mt_bos-eng: 37500	 acc: --	 ppl:  9.90	 xent: 2.29	  14.63 TFLOP/s	 14026/16100 tok/s	 8017153 sents	 107230 sec	
