wiki_fin-eng: 27000	 acc: --	 ppl:  8.41	 xent: 2.13	  13.46 TFLOP/s	 30287/31169 tok/s	 13824072 sents	  94146 sec	
wiki_fin-eng: 27500	 acc: --	 ppl:  8.44	 xent: 2.13	  13.24 TFLOP/s	 29828/30628 tok/s	 14080020 sents	  95867 sec	
wiki_fin-eng: 28000	 acc: --	 ppl:  8.38	 xent: 2.13	  12.66 TFLOP/s	 28486/29352 tok/s	 14336084 sents	  97636 sec	
wiki_fin-eng: 28500	 acc: --	 ppl:  8.38	 xent: 2.13	  13.29 TFLOP/s	 29923/30740 tok/s	 14592072 sents	  99349 sec	
wiki_fin-eng: 29000	 acc: --	 ppl:  8.47	 xent: 2.14	  13.50 TFLOP/s	 30322/31211 tok/s	 14848060 sents	 101076 sec	
wiki_fin-eng: 29500	 acc: --	 ppl:  8.39	 xent: 2.13	  13.27 TFLOP/s	 29869/30685 tok/s	 15104072 sents	 102813 sec	
wiki_fin-eng: 30000	 acc: --	 ppl:  8.32	 xent: 2.12	  13.36 TFLOP/s	 30064/30872 tok/s	 15360060 sents	 104556 sec	
wiki_fin-eng: 30500	 acc: --	 ppl:  8.37	 xent: 2.12	  13.04 TFLOP/s	 29297/30152 tok/s	 15616068 sents	 106332 sec	
wiki_fin-eng: 31000	 acc: --	 ppl:  8.35	 xent: 2.12	  13.13 TFLOP/s	 29561/30370 tok/s	 15872060 sents	 108082 sec	
wiki_fin-eng: 31500	 acc: --	 ppl:  8.34	 xent: 2.12	  13.05 TFLOP/s	 29390/30192 tok/s	 16128064 sents	 109820 sec	
wiki_fin-eng: 32000	 acc: --	 ppl:  8.30	 xent: 2.12	  13.24 TFLOP/s	 29799/30625 tok/s	 16384096 sents	 111551 sec	
wiki_fin-eng: 32500	 acc: --	 ppl:  8.31	 xent: 2.12	  13.22 TFLOP/s	 29760/30579 tok/s	 16640080 sents	 113266 sec	
wiki_fin-eng: 33000	 acc: --	 ppl:  8.25	 xent: 2.11	  12.82 TFLOP/s	 28834/29590 tok/s	 16896040 sents	 115094 sec	
wiki_fin-eng: 33500	 acc: --	 ppl:  8.30	 xent: 2.12	  13.22 TFLOP/s	 29745/30574 tok/s	 17152052 sents	 116841 sec	
wiki_fin-eng: 34000	 acc: --	 ppl:  8.28	 xent: 2.11	  13.30 TFLOP/s	 29880/30763 tok/s	 17408080 sents	 118594 sec	
wiki_fin-eng: 34500	 acc: --	 ppl:  8.35	 xent: 2.12	  13.59 TFLOP/s	 30496/31403 tok/s	 17664064 sents	 120344 sec	
wiki_fin-eng: 35000	 acc: --	 ppl:  8.26	 xent: 2.11	  13.50 TFLOP/s	 30333/31214 tok/s	 17920032 sents	 122059 sec	
wiki_fin-eng: 35500	 acc: --	 ppl:  8.31	 xent: 2.12	  12.56 TFLOP/s	 28228/29086 tok/s	 18176084 sents	 123864 sec	
wiki_fin-eng: 36000	 acc: --	 ppl:  8.24	 xent: 2.11	  13.24 TFLOP/s	 29771/30625 tok/s	 18432052 sents	 125604 sec	
wiki_fin-eng: 36500	 acc: --	 ppl:  8.28	 xent: 2.11	  13.00 TFLOP/s	 29235/30119 tok/s	 18688072 sents	 127334 sec	
wiki_fin-eng: 37000	 acc: --	 ppl:  8.25	 xent: 2.11	  13.21 TFLOP/s	 29734/30588 tok/s	 18944032 sents	 129049 sec	
wiki_fin-eng: 37500	 acc: --	 ppl:  8.27	 xent: 2.11	  13.37 TFLOP/s	 30028/30979 tok/s	 19200072 sents	 130756 sec	
wiki_fin-eng: 38000	 acc: --	 ppl:  8.27	 xent: 2.11	  12.84 TFLOP/s	 28826/29703 tok/s	 19456064 sents	 132581 sec	
wiki_fin-eng: 38500	 acc: --	 ppl:  8.20	 xent: 2.10	  12.96 TFLOP/s	 29207/30018 tok/s	 19712072 sents	 134298 sec	
wiki_fin-eng: 39000	 acc: --	 ppl:  8.18	 xent: 2.10	  13.15 TFLOP/s	 29613/30430 tok/s	 19968060 sents	 136020 sec	
wiki_fin-eng: 39500	 acc: --	 ppl:  8.24	 xent: 2.11	  12.77 TFLOP/s	 28731/29630 tok/s	 20224092 sents	 137748 sec	
wiki_fin-eng: 40000	 acc: --	 ppl:  8.20	 xent: 2.10	  12.86 TFLOP/s	 28939/29841 tok/s	 20480064 sents	 139477 sec	
wiki_fin-eng: 40500	 acc: --	 ppl:  8.10	 xent: 2.09	  11.78 TFLOP/s	 26489/27265 tok/s	 20736052 sents	 141416 sec	
wiki_fin-eng: 41000	 acc: --	 ppl:  8.16	 xent: 2.10	  12.98 TFLOP/s	 29239/30110 tok/s	 20992104 sents	 143118 sec	
wiki_fin-eng: 41500	 acc: --	 ppl:  8.15	 xent: 2.10	  13.58 TFLOP/s	 30485/31425 tok/s	 21248052 sents	 144841 sec	
wiki_fin-eng: 42000	 acc: --	 ppl:  8.11	 xent: 2.09	  13.25 TFLOP/s	 29800/30701 tok/s	 21504040 sents	 146553 sec	
wiki_fin-eng: 42500	 acc: --	 ppl:  8.11	 xent: 2.09	  13.32 TFLOP/s	 29968/30833 tok/s	 21760064 sents	 148267 sec	
wiki_fin-eng: 43000	 acc: --	 ppl:  8.11	 xent: 2.09	  12.40 TFLOP/s	 27966/28773 tok/s	 22016052 sents	 150012 sec	
wiki_fin-eng: 43500	 acc: --	 ppl:  7.99	 xent: 2.08	  13.29 TFLOP/s	 29920/30757 tok/s	 22272060 sents	 151714 sec	
wiki_fin-eng: 44000	 acc: --	 ppl:  8.00	 xent: 2.08	  13.13 TFLOP/s	 29604/30410 tok/s	 22528032 sents	 153405 sec	
wiki_fin-eng: 44500	 acc: --	 ppl:  7.95	 xent: 2.07	  13.40 TFLOP/s	 30185/31028 tok/s	 22784072 sents	 155086 sec	
wiki_fin-eng: 45000	 acc: --	 ppl:  8.00	 xent: 2.08	  13.42 TFLOP/s	 30205/31055 tok/s	 23040032 sents	 156783 sec	
wiki_fin-eng: 45500	 acc: --	 ppl:  8.07	 xent: 2.09	  13.09 TFLOP/s	 29399/30287 tok/s	 23296060 sents	 158547 sec	
wiki_fin-eng: 46000	 acc: --	 ppl:  7.98	 xent: 2.08	  13.02 TFLOP/s	 29330/30144 tok/s	 23552072 sents	 160273 sec	
wiki_fin-eng: 46500	 acc: --	 ppl:  7.92	 xent: 2.07	  13.11 TFLOP/s	 29558/30354 tok/s	 23808040 sents	 161979 sec	
wiki_fin-eng: 47000	 acc: --	 ppl:  7.98	 xent: 2.08	  12.96 TFLOP/s	 29242/30036 tok/s	 24064084 sents	 163675 sec	
wiki_fin-eng: 47500	 acc: --	 ppl:  7.92	 xent: 2.07	  13.16 TFLOP/s	 29663/30455 tok/s	 24320052 sents	 165379 sec	
wiki_fin-eng: 48000	 acc: --	 ppl:  7.92	 xent: 2.07	  12.74 TFLOP/s	 28708/29483 tok/s	 24576072 sents	 167138 sec	
wiki_fin-eng: 48500	 acc: --	 ppl:  7.95	 xent: 2.07	  13.16 TFLOP/s	 29679/30461 tok/s	 24832052 sents	 168825 sec	
wiki_fin-eng: 49000	 acc: --	 ppl:  8.08	 xent: 2.09	  13.45 TFLOP/s	 30215/31121 tok/s	 25088068 sents	 170550 sec	
