make[3]: Entering directory '/pfs/lustrep2/scratch/project_462001509/members/tiedeman/MARMoT/models/pytorch/docmt-2pivot-denoise-GAenc-big'
make[4]: Entering directory '/pfs/lustrep2/scratch/project_462001509/members/tiedeman/MARMoT/models/pytorch/docmt-2pivot-denoise-GAenc-big'
zero_deu-ukr: 7750	 acc: --	 ppl: 10.22	 xent: 2.32	  17.67 TFLOP/s	 12502/14413 tok/s	 3213370 sents	  47914 sec	
zero_deu-ukr: 8000	 acc: --	 ppl:  9.31	 xent: 2.23	  18.00 TFLOP/s	 12782/14648 tok/s	 3317732 sents	  49381 sec	
zero_deu-ukr: 8250	 acc: --	 ppl:  9.82	 xent: 2.28	  14.72 TFLOP/s	 10444/11993 tok/s	 3419310 sents	  51123 sec	
zero_deu-ukr: 8500	 acc: --	 ppl:  9.34	 xent: 2.23	  17.29 TFLOP/s	 12268/14079 tok/s	 3520843 sents	  52606 sec	
zero_deu-ukr: 8750	 acc: --	 ppl:  9.42	 xent: 2.24	  17.47 TFLOP/s	 12383/14236 tok/s	 3623216 sents	  54084 sec	
zero_deu-ukr: 9000	 acc: --	 ppl:  9.37	 xent: 2.24	  17.89 TFLOP/s	 12675/14592 tok/s	 3727039 sents	  55546 sec	
zero_deu-ukr: 9250	 acc: --	 ppl:  9.59	 xent: 2.26	  14.63 TFLOP/s	 10377/11919 tok/s	 3828880 sents	  57306 sec	
zero_deu-ukr: 9500	 acc: --	 ppl:  9.61	 xent: 2.26	  18.31 TFLOP/s	 12993/14920 tok/s	 3934912 sents	  58766 sec	
zero_deu-ukr: 9750	 acc: --	 ppl:  9.20	 xent: 2.22	  17.61 TFLOP/s	 12498/14343 tok/s	 4037330 sents	  60240 sec	
zero_deu-ukr: 10000	 acc: --	 ppl:  9.42	 xent: 2.24	  17.50 TFLOP/s	 12423/14254 tok/s	 4138411 sents	  61700 sec	
zero_deu-ukr: 10250	 acc: --	 ppl:  9.18	 xent: 2.22	  15.36 TFLOP/s	 10885/12529 tok/s	 4244220 sents	  63437 sec	
zero_deu-ukr: 10500	 acc: --	 ppl:  8.95	 xent: 2.19	  18.14 TFLOP/s	 12858/14785 tok/s	 4351624 sents	  64925 sec	
zero_deu-ukr: 10750	 acc: --	 ppl:  9.21	 xent: 2.22	  17.32 TFLOP/s	 12301/14107 tok/s	 4454060 sents	  66415 sec	
