zero_deu-tur: 500	 acc: --	 ppl: 376.71	 xent: 5.93	  13.31 TFLOP/s	 39220/39830 tok/s	 244779 sents	   1216 sec	
zero_deu-tur: 1000	 acc: --	 ppl: 273.72	 xent: 5.61	  13.14 TFLOP/s	 38759/39265 tok/s	 486782 sents	   2434 sec	
zero_deu-tur: 1500	 acc: --	 ppl: 281.90	 xent: 5.64	  13.09 TFLOP/s	 38633/39116 tok/s	 726695 sents	   3651 sec	
zero_deu-tur: 2000	 acc: --	 ppl: 263.09	 xent: 5.57	  13.24 TFLOP/s	 38877/39735 tok/s	 969389 sents	   4863 sec	
zero_deu-tur: 2500	 acc: --	 ppl: 146.23	 xent: 4.99	  13.49 TFLOP/s	 39689/40388 tok/s	 1219877 sents	   6092 sec	
zero_deu-tur: 3000	 acc: --	 ppl: 39.58	 xent: 3.68	  10.45 TFLOP/s	 30784/31270 tok/s	 1460501 sents	   7615 sec	
zero_deu-tur: 3500	 acc: --	 ppl: 26.60	 xent: 3.28	  13.45 TFLOP/s	 39627/40256 tok/s	 1705989 sents	   8821 sec	

zero_deu-ukr: 500	 acc: --	 ppl: 453.33	 xent: 6.12	  13.18 TFLOP/s	 38759/39470 tok/s	 241209 sents	   1216 sec	
zero_deu-ukr: 1000	 acc: --	 ppl: 284.11	 xent: 5.65	  13.03 TFLOP/s	 38361/39005 tok/s	 480231 sents	   2434 sec	
zero_deu-ukr: 1500	 acc: --	 ppl: 314.17	 xent: 5.75	  12.71 TFLOP/s	 36957/38379 tok/s	 712353 sents	   3651 sec	
zero_deu-ukr: 2000	 acc: --	 ppl: 276.10	 xent: 5.62	  13.09 TFLOP/s	 38297/39394 tok/s	 951246 sents	   4863 sec	
zero_deu-ukr: 2500	 acc: --	 ppl: 171.27	 xent: 5.14	  13.41 TFLOP/s	 39278/40307 tok/s	 1199616 sents	   6092 sec	
zero_deu-ukr: 3000	 acc: --	 ppl: 65.05	 xent: 4.18	  10.40 TFLOP/s	 30991/30849 tok/s	 1438881 sents	   7615 sec	
zero_deu-ukr: 3500	 acc: --	 ppl: 41.64	 xent: 3.73	  13.21 TFLOP/s	 38797/39612 tok/s	 1679376 sents	   8821 sec	

zero_fra-nld: 500	 acc: --	 ppl: 384.69	 xent: 5.95	  13.57 TFLOP/s	 39204/41138 tok/s	 244225 sents	   1216 sec	
zero_fra-nld: 1000	 acc: --	 ppl: 229.81	 xent: 5.44	  13.34 TFLOP/s	 38477/40527 tok/s	 485491 sents	   2434 sec	
zero_fra-nld: 1500	 acc: --	 ppl: 246.92	 xent: 5.51	  13.18 TFLOP/s	 37984/40057 tok/s	 722737 sents	   3651 sec	
zero_fra-nld: 2000	 acc: --	 ppl: 232.29	 xent: 5.45	  13.43 TFLOP/s	 38832/40643 tok/s	 962863 sents	   4863 sec	
zero_fra-nld: 2500	 acc: --	 ppl: 102.42	 xent: 4.63	  13.65 TFLOP/s	 39319/41467 tok/s	 1211346 sents	   6092 sec	
zero_fra-nld: 3000	 acc: --	 ppl: 25.22	 xent: 3.23	  10.69 TFLOP/s	 30856/32435 tok/s	 1452465 sents	   7615 sec	
zero_fra-nld: 3500	 acc: --	 ppl: 19.61	 xent: 2.98	  13.56 TFLOP/s	 39085/41166 tok/s	 1694992 sents	   8821 sec	

zero_swe-fin: 500	 acc: --	 ppl: 273.42	 xent: 5.61	  13.67 TFLOP/s	 41281/39953 tok/s	 242961 sents	   1216 sec	
zero_swe-fin: 1000	 acc: --	 ppl: 249.94	 xent: 5.52	  13.65 TFLOP/s	 41216/39911 tok/s	 487059 sents	   2434 sec	
zero_swe-fin: 1500	 acc: --	 ppl: 272.82	 xent: 5.61	  13.46 TFLOP/s	 40621/39345 tok/s	 726177 sents	   3651 sec	
zero_swe-fin: 2000	 acc: --	 ppl: 246.72	 xent: 5.51	  13.75 TFLOP/s	 41510/40199 tok/s	 969805 sents	   4863 sec	
zero_swe-fin: 2500	 acc: --	 ppl: 89.32	 xent: 4.49	  13.90 TFLOP/s	 41946/40641 tok/s	 1219732 sents	   6092 sec	
zero_swe-fin: 3000	 acc: --	 ppl: 24.52	 xent: 3.20	  10.74 TFLOP/s	 32380/31432 tok/s	 1459451 sents	   7615 sec	
zero_swe-fin: 3500	 acc: --	 ppl: 18.07	 xent: 2.89	  13.66 TFLOP/s	 41214/39931 tok/s	 1700548 sents	   8821 sec	

zero_ces-slk: 500	 acc: --	 ppl: 307.03	 xent: 5.73	  13.85 TFLOP/s	 40680/41252 tok/s	 239985 sents	   1216 sec	
zero_ces-slk: 1000	 acc: --	 ppl: 218.75	 xent: 5.39	  13.72 TFLOP/s	 40288/40898 tok/s	 478671 sents	   2434 sec	
zero_ces-slk: 1500	 acc: --	 ppl: 246.99	 xent: 5.51	  13.44 TFLOP/s	 39479/40055 tok/s	 711281 sents	   3651 sec	
zero_ces-slk: 2000	 acc: --	 ppl: 184.50	 xent: 5.22	  13.74 TFLOP/s	 40368/40946 tok/s	 948170 sents	   4863 sec	
zero_ces-slk: 2500	 acc: --	 ppl: 78.70	 xent: 4.37	  14.11 TFLOP/s	 41484/42015 tok/s	 1195341 sents	   6092 sec	
zero_ces-slk: 3000	 acc: --	 ppl: 25.11	 xent: 3.22	  10.97 TFLOP/s	 32199/32695 tok/s	 1433724 sents	   7615 sec	
zero_ces-slk: 3500	 acc: --	 ppl: 16.93	 xent: 2.83	  13.82 TFLOP/s	 40595/41152 tok/s	 1671271 sents	   8821 sec	

zero_bos-hrv: 500	 acc: --	 ppl: 219.30	 xent: 5.39	  13.83 TFLOP/s	 41001/40948 tok/s	 241804 sents	   1216 sec	
zero_bos-hrv: 1000	 acc: --	 ppl: 215.11	 xent: 5.37	  13.86 TFLOP/s	 41106/41026 tok/s	 484959 sents	   2434 sec	
zero_bos-hrv: 1500	 acc: --	 ppl: 236.20	 xent: 5.46	  13.65 TFLOP/s	 40467/40382 tok/s	 723180 sents	   3651 sec	
zero_bos-hrv: 2000	 acc: --	 ppl: 159.88	 xent: 5.07	  13.88 TFLOP/s	 41125/41079 tok/s	 964574 sents	   4863 sec	
zero_bos-hrv: 2500	 acc: --	 ppl: 45.50	 xent: 3.82	  14.03 TFLOP/s	 41542/41565 tok/s	 1212400 sents	   6092 sec	
zero_bos-hrv: 3000	 acc: --	 ppl: 18.14	 xent: 2.90	  10.91 TFLOP/s	 32333/32324 tok/s	 1451623 sents	   7615 sec	
zero_bos-hrv: 3500	 acc: --	 ppl: 15.17	 xent: 2.72	  13.93 TFLOP/s	 41303/41219 tok/s	 1693379 sents	   8821 sec	

zero_bos-srp_Cyrl: 500	 acc: --	 ppl: 290.61	 xent: 5.67	  13.66 TFLOP/s	 41663/39524 tok/s	 240587 sents	   1216 sec	
zero_bos-srp_Cyrl: 1000	 acc: --	 ppl: 269.23	 xent: 5.60	  13.62 TFLOP/s	 41566/39380 tok/s	 481196 sents	   2434 sec	
zero_bos-srp_Cyrl: 1500	 acc: --	 ppl: 301.45	 xent: 5.71	  13.32 TFLOP/s	 40529/38657 tok/s	 716226 sents	   3651 sec	
zero_bos-srp_Cyrl: 2000	 acc: --	 ppl: 285.30	 xent: 5.65	  13.52 TFLOP/s	 41161/39166 tok/s	 953487 sents	   4863 sec	
zero_bos-srp_Cyrl: 2500	 acc: --	 ppl: 83.09	 xent: 4.42	  13.85 TFLOP/s	 42159/40148 tok/s	 1200300 sents	   6092 sec	
zero_bos-srp_Cyrl: 3000	 acc: --	 ppl: 28.64	 xent: 3.35	  10.70 TFLOP/s	 32583/31001 tok/s	 1436809 sents	   7615 sec	
zero_bos-srp_Cyrl: 3500	 acc: --	 ppl: 19.68	 xent: 2.98	  13.68 TFLOP/s	 41632/39661 tok/s	 1676425 sents	   8821 sec	

zero_hrv-srp_Cyrl: 500	 acc: --	 ppl: 316.59	 xent: 5.76	  13.91 TFLOP/s	 41278/41033 tok/s	 238746 sents	   1216 sec	
zero_hrv-srp_Cyrl: 1000	 acc: --	 ppl: 235.15	 xent: 5.46	  13.68 TFLOP/s	 40604/40356 tok/s	 474239 sents	   2434 sec	
zero_hrv-srp_Cyrl: 1500	 acc: --	 ppl: 258.84	 xent: 5.56	  13.46 TFLOP/s	 39985/39717 tok/s	 705013 sents	   3651 sec	
zero_hrv-srp_Cyrl: 2000	 acc: --	 ppl: 178.96	 xent: 5.19	  13.72 TFLOP/s	 40683/40519 tok/s	 939413 sents	   4863 sec	
zero_hrv-srp_Cyrl: 2500	 acc: --	 ppl: 74.73	 xent: 4.31	  14.07 TFLOP/s	 41774/41530 tok/s	 1183520 sents	   6092 sec	
zero_hrv-srp_Cyrl: 3000	 acc: --	 ppl: 33.06	 xent: 3.50	  11.00 TFLOP/s	 32643/32485 tok/s	 1420416 sents	   7615 sec	
zero_hrv-srp_Cyrl: 3500	 acc: --	 ppl: 19.60	 xent: 2.98	  13.84 TFLOP/s	 41049/40880 tok/s	 1656521 sents	   8821 sec	

zero_slv-bos: 500	 acc: --	 ppl: 237.87	 xent: 5.47	  13.83 TFLOP/s	 41333/40655 tok/s	 239966 sents	   1216 sec	
zero_slv-bos: 1000	 acc: --	 ppl: 232.32	 xent: 5.45	  13.78 TFLOP/s	 41273/40446 tok/s	 479720 sents	   2434 sec	
zero_slv-bos: 1500	 acc: --	 ppl: 259.41	 xent: 5.56	  13.52 TFLOP/s	 40440/39701 tok/s	 714041 sents	   3651 sec	
zero_slv-bos: 2000	 acc: --	 ppl: 201.73	 xent: 5.31	  13.88 TFLOP/s	 41509/40746 tok/s	 953617 sents	   4863 sec	
zero_slv-bos: 2500	 acc: --	 ppl: 57.58	 xent: 4.05	  13.94 TFLOP/s	 41784/40834 tok/s	 1197156 sents	   6092 sec	
zero_slv-bos: 3000	 acc: --	 ppl: 22.49	 xent: 3.11	  11.07 TFLOP/s	 33076/32522 tok/s	 1437764 sents	   7615 sec	
zero_slv-bos: 3500	 acc: --	 ppl: 18.20	 xent: 2.90	  13.69 TFLOP/s	 41048/40129 tok/s	 1672892 sents	   8821 sec	

zero_bul-tur: 500	 acc: --	 ppl: 294.70	 xent: 5.69	  13.38 TFLOP/s	 39392/40033 tok/s	 243675 sents	   1216 sec	
zero_bul-tur: 1000	 acc: --	 ppl: 232.88	 xent: 5.45	  13.52 TFLOP/s	 39830/40429 tok/s	 490721 sents	   2434 sec	
zero_bul-tur: 1500	 acc: --	 ppl: 271.10	 xent: 5.60	  13.17 TFLOP/s	 38768/39389 tok/s	 730152 sents	   3651 sec	
zero_bul-tur: 2000	 acc: --	 ppl: 238.28	 xent: 5.47	  13.52 TFLOP/s	 39791/40454 tok/s	 975280 sents	   4863 sec	
zero_bul-tur: 2500	 acc: --	 ppl: 114.09	 xent: 4.74	  13.67 TFLOP/s	 40238/40882 tok/s	 1226689 sents	   6092 sec	
zero_bul-tur: 3000	 acc: --	 ppl: 28.97	 xent: 3.37	  10.53 TFLOP/s	 30983/31509 tok/s	 1466935 sents	   7615 sec	
zero_bul-tur: 3500	 acc: --	 ppl: 18.36	 xent: 2.91	  13.48 TFLOP/s	 39684/40309 tok/s	 1710249 sents	   8821 sec	

zero_deu-ron: 500	 acc: --	 ppl: 402.15	 xent: 6.00	  13.50 TFLOP/s	 38683/41121 tok/s	 239148 sents	   1216 sec	
zero_deu-ron: 1000	 acc: --	 ppl: 212.66	 xent: 5.36	  13.49 TFLOP/s	 38648/41113 tok/s	 479177 sents	   2434 sec	
zero_deu-ron: 1500	 acc: --	 ppl: 254.21	 xent: 5.54	  13.08 TFLOP/s	 37461/39846 tok/s	 710596 sents	   3651 sec	
zero_deu-ron: 2000	 acc: --	 ppl: 210.89	 xent: 5.35	  13.47 TFLOP/s	 38581/41054 tok/s	 948258 sents	   4863 sec	
zero_deu-ron: 2500	 acc: --	 ppl: 82.75	 xent: 4.42	  13.70 TFLOP/s	 39234/41731 tok/s	 1193711 sents	   6092 sec	
zero_deu-ron: 3000	 acc: --	 ppl: 26.32	 xent: 3.27	  10.72 TFLOP/s	 30715/32645 tok/s	 1431559 sents	   7615 sec	
zero_deu-ron: 3500	 acc: --	 ppl: 17.24	 xent: 2.85	  13.43 TFLOP/s	 38499/40895 tok/s	 1667643 sents	   8821 sec	

zero_glg-por: 500	 acc: --	 ppl: 234.39	 xent: 5.46	  13.57 TFLOP/s	 39247/41081 tok/s	 242403 sents	   1216 sec	
zero_glg-por: 1000	 acc: --	 ppl: 210.93	 xent: 5.35	  13.60 TFLOP/s	 39316/41176 tok/s	 486554 sents	   2434 sec	
zero_glg-por: 1500	 acc: --	 ppl: 246.17	 xent: 5.51	  13.25 TFLOP/s	 38313/40079 tok/s	 723030 sents	   3651 sec	
zero_glg-por: 2000	 acc: --	 ppl: 205.39	 xent: 5.32	  13.67 TFLOP/s	 39507/41420 tok/s	 966569 sents	   4863 sec	
zero_glg-por: 2500	 acc: --	 ppl: 77.86	 xent: 4.35	  13.58 TFLOP/s	 39250/41139 tok/s	 1211874 sents	   6092 sec	
zero_glg-por: 3000	 acc: --	 ppl: 26.45	 xent: 3.28	  10.69 TFLOP/s	 30902/32385 tok/s	 1451502 sents	   7615 sec	
zero_glg-por: 3500	 acc: --	 ppl: 16.47	 xent: 2.80	  13.52 TFLOP/s	 39090/40939 tok/s	 1691424 sents	   8821 sec	

zero_eus-fra: 500	 acc: --	 ppl: 264.79	 xent: 5.58	  13.65 TFLOP/s	 40883/40183 tok/s	 244578 sents	   1216 sec	
zero_eus-fra: 1000	 acc: --	 ppl: 245.37	 xent: 5.50	  13.60 TFLOP/s	 40751/40045 tok/s	 489278 sents	   2434 sec	
zero_eus-fra: 1500	 acc: --	 ppl: 272.91	 xent: 5.61	  13.36 TFLOP/s	 39975/39342 tok/s	 728341 sents	   3651 sec	
zero_eus-fra: 2000	 acc: --	 ppl: 245.17	 xent: 5.50	  13.66 TFLOP/s	 40884/40245 tok/s	 972165 sents	   4863 sec	
zero_eus-fra: 2500	 acc: --	 ppl: 101.98	 xent: 4.62	  13.89 TFLOP/s	 41577/40952 tok/s	 1223994 sents	   6092 sec	
zero_eus-fra: 3000	 acc: --	 ppl: 24.17	 xent: 3.19	  10.71 TFLOP/s	 32054/31570 tok/s	 1464822 sents	   7615 sec	
zero_eus-fra: 3500	 acc: --	 ppl: 17.54	 xent: 2.86	  13.81 TFLOP/s	 41376/40651 tok/s	 1710340 sents	   8821 sec	

zero_dan-nob: 500	 acc: --	 ppl: 345.96	 xent: 5.85	  13.65 TFLOP/s	 39755/41000 tok/s	 238323 sents	   1216 sec	
zero_dan-nob: 1000	 acc: --	 ppl: 208.80	 xent: 5.34	  13.74 TFLOP/s	 40056/41255 tok/s	 479133 sents	   2434 sec	
zero_dan-nob: 1500	 acc: --	 ppl: 252.19	 xent: 5.53	  13.30 TFLOP/s	 38754/39904 tok/s	 710956 sents	   3651 sec	
zero_dan-nob: 2000	 acc: --	 ppl: 196.80	 xent: 5.28	  13.64 TFLOP/s	 39714/40937 tok/s	 947898 sents	   4863 sec	
zero_dan-nob: 2500	 acc: --	 ppl: 82.53	 xent: 4.41	  14.11 TFLOP/s	 41143/42336 tok/s	 1196858 sents	   6092 sec	
zero_dan-nob: 3000	 acc: --	 ppl: 27.34	 xent: 3.31	  10.96 TFLOP/s	 31944/32896 tok/s	 1436703 sents	   7615 sec	
zero_dan-nob: 3500	 acc: --	 ppl: 18.91	 xent: 2.94	  13.80 TFLOP/s	 40219/41380 tok/s	 1675558 sents	   8821 sec	

zero_tur-deu: 500	 acc: --	 ppl: 218.69	 xent: 5.39	  13.84 TFLOP/s	 40709/41290 tok/s	 243903 sents	   1216 sec	
zero_tur-deu: 1000	 acc: --	 ppl: 209.44	 xent: 5.34	  13.82 TFLOP/s	 40668/41231 tok/s	 488120 sents	   2434 sec	
zero_tur-deu: 1500	 acc: --	 ppl: 236.48	 xent: 5.47	  13.54 TFLOP/s	 39789/40374 tok/s	 726287 sents	   3651 sec	
zero_tur-deu: 2000	 acc: --	 ppl: 161.01	 xent: 5.08	  13.82 TFLOP/s	 40628/41192 tok/s	 968480 sents	   4863 sec	
zero_tur-deu: 2500	 acc: --	 ppl: 70.35	 xent: 4.25	  13.98 TFLOP/s	 41075/41719 tok/s	 1217242 sents	   6092 sec	
zero_tur-deu: 3000	 acc: --	 ppl: 21.64	 xent: 3.07	  10.89 TFLOP/s	 32031/32481 tok/s	 1457495 sents	   7615 sec	
