denoise_eng-eng: 250	 acc: --	 ppl: 40360.32	 xent: 10.61	  15.77 TFLOP/s	 44255/48982 tok/s	 122682 sents	    515 sec	
denoise_eng-eng: 500	 acc: --	 ppl: 13816.21	 xent: 9.53	  15.72 TFLOP/s	 43996/48929 tok/s	 245693 sents	   1029 sec	
denoise_eng-eng: 750	 acc: --	 ppl: 4842.65	 xent: 8.49	  15.55 TFLOP/s	 43751/48176 tok/s	 367334 sents	   1548 sec	
denoise_eng-eng: 1000	 acc: --	 ppl: 1848.33	 xent: 7.52	  15.53 TFLOP/s	 43557/48270 tok/s	 487490 sents	   2059 sec	
denoise_eng-eng: 1250	 acc: --	 ppl: 1020.81	 xent: 6.93	   9.54 TFLOP/s	 26733/29632 tok/s	 607623 sents	   2891 sec	
denoise_eng-eng: 1500	 acc: --	 ppl: 1169.92	 xent: 7.06	  15.95 TFLOP/s	 44655/49636 tok/s	 734509 sents	   3415 sec	
denoise_eng-eng: 1750	 acc: --	 ppl: 528.58	 xent: 6.27	  15.73 TFLOP/s	 44197/48829 tok/s	 857411 sents	   3932 sec	
denoise_eng-eng: 2000	 acc: --	 ppl: 276.70	 xent: 5.62	  15.45 TFLOP/s	 43339/47994 tok/s	 978314 sents	   4449 sec	
denoise_eng-eng: 2250	 acc: --	 ppl: 151.55	 xent: 5.02	   9.78 TFLOP/s	 27365/30444 tok/s	 1100267 sents	   5268 sec	
denoise_eng-eng: 2500	 acc: --	 ppl: 55.01	 xent: 4.01	  15.65 TFLOP/s	 43961/48562 tok/s	 1223343 sents	   5788 sec	
denoise_eng-eng: 2750	 acc: --	 ppl: 36.87	 xent: 3.61	  15.59 TFLOP/s	 43905/48265 tok/s	 1344794 sents	   6306 sec	
denoise_eng-eng: 3000	 acc: --	 ppl: 30.46	 xent: 3.42	  15.77 TFLOP/s	 44324/48916 tok/s	 1466349 sents	   6818 sec	
denoise_eng-eng: 3250	 acc: --	 ppl: 20.78	 xent: 3.03	   9.69 TFLOP/s	 27239/30070 tok/s	 1587616 sents	   7645 sec	
denoise_eng-eng: 3500	 acc: --	 ppl: 17.92	 xent: 2.89	  15.63 TFLOP/s	 43796/48657 tok/s	 1710374 sents	   8160 sec	
denoise_eng-eng: 3750	 acc: --	 ppl: 15.75	 xent: 2.76	  15.76 TFLOP/s	 44259/48919 tok/s	 1834344 sents	   8681 sec	
denoise_eng-eng: 4000	 acc: --	 ppl: 15.58	 xent: 2.75	  15.72 TFLOP/s	 44138/48801 tok/s	 1956178 sents	   9194 sec	
denoise_eng-eng: 4250	 acc: --	 ppl: 15.57	 xent: 2.75	   9.63 TFLOP/s	 27049/29869 tok/s	 2076177 sents	  10019 sec	
denoise_eng-eng: 4500	 acc: --	 ppl: 14.40	 xent: 2.67	  15.70 TFLOP/s	 44108/48702 tok/s	 2198398 sents	  10533 sec	
denoise_eng-eng: 4750	 acc: --	 ppl: 14.12	 xent: 2.65	  15.68 TFLOP/s	 44017/48728 tok/s	 2321802 sents	  11051 sec	
denoise_eng-eng: 5000	 acc: --	 ppl: 13.95	 xent: 2.64	  15.63 TFLOP/s	 43862/48601 tok/s	 2445222 sents	  11569 sec	
denoise_eng-eng: 5250	 acc: --	 ppl: 13.53	 xent: 2.60	   9.96 TFLOP/s	 28063/30835 tok/s	 2569252 sents	  12395 sec	
denoise_eng-eng: 5500	 acc: --	 ppl: 13.32	 xent: 2.59	  15.38 TFLOP/s	 43197/47753 tok/s	 2689637 sents	  12912 sec	
denoise_eng-eng: 5750	 acc: --	 ppl: 13.08	 xent: 2.57	  15.31 TFLOP/s	 42923/47566 tok/s	 2809282 sents	  13429 sec	
denoise_eng-eng: 6000	 acc: --	 ppl: 13.15	 xent: 2.58	  15.28 TFLOP/s	 42731/47556 tok/s	 2928096 sents	  13942 sec	
denoise_eng-eng: 6250	 acc: --	 ppl: 12.72	 xent: 2.54	   9.68 TFLOP/s	 27188/30002 tok/s	 3048176 sents	  14767 sec	
denoise_eng-eng: 6500	 acc: --	 ppl: 12.16	 xent: 2.50	  15.40 TFLOP/s	 43329/47696 tok/s	 3168707 sents	  15288 sec	
denoise_eng-eng: 6750	 acc: --	 ppl: 12.58	 xent: 2.53	  15.61 TFLOP/s	 43818/48463 tok/s	 3290186 sents	  15803 sec	
denoise_eng-eng: 7000	 acc: --	 ppl: 12.08	 xent: 2.49	  15.47 TFLOP/s	 43395/48071 tok/s	 3411307 sents	  16320 sec	

denoise_fra-fra: 250	 acc: --	 ppl: 38349.61	 xent: 10.55	  15.96 TFLOP/s	 46009/48447 tok/s	 121149 sents	    515 sec	
denoise_fra-fra: 500	 acc: --	 ppl: 10069.04	 xent: 9.22	  15.82 TFLOP/s	 45449/48177 tok/s	 241472 sents	   1029 sec	
denoise_fra-fra: 750	 acc: --	 ppl: 1933.67	 xent: 7.57	  15.82 TFLOP/s	 45810/47869 tok/s	 362790 sents	   1548 sec	
denoise_fra-fra: 1000	 acc: --	 ppl: 1386.78	 xent: 7.23	  15.81 TFLOP/s	 45673/47919 tok/s	 481886 sents	   2059 sec	
denoise_fra-fra: 1250	 acc: --	 ppl: 593.25	 xent: 6.39	   9.65 TFLOP/s	 27946/29192 tok/s	 600256 sents	   2891 sec	
denoise_fra-fra: 1500	 acc: --	 ppl: 561.70	 xent: 6.33	  16.22 TFLOP/s	 46633/49375 tok/s	 725875 sents	   3415 sec	
denoise_fra-fra: 1750	 acc: --	 ppl: 278.99	 xent: 5.63	  16.06 TFLOP/s	 46464/48609 tok/s	 847993 sents	   3932 sec	
denoise_fra-fra: 2000	 acc: --	 ppl: 213.98	 xent: 5.37	  15.59 TFLOP/s	 45062/47268 tok/s	 967164 sents	   4449 sec	
denoise_fra-fra: 2250	 acc: --	 ppl: 70.69	 xent: 4.26	   9.75 TFLOP/s	 28101/29588 tok/s	 1085059 sents	   5268 sec	
denoise_fra-fra: 2500	 acc: --	 ppl: 39.35	 xent: 3.67	  16.12 TFLOP/s	 46894/48601 tok/s	 1208476 sents	   5788 sec	
denoise_fra-fra: 2750	 acc: --	 ppl: 20.87	 xent: 3.04	  15.57 TFLOP/s	 44855/47314 tok/s	 1327872 sents	   6306 sec	
denoise_fra-fra: 3000	 acc: --	 ppl: 18.68	 xent: 2.93	  16.18 TFLOP/s	 46745/49030 tok/s	 1450052 sents	   6818 sec	
denoise_fra-fra: 3250	 acc: --	 ppl: 17.11	 xent: 2.84	  10.02 TFLOP/s	 28960/30341 tok/s	 1572451 sents	   7645 sec	
denoise_fra-fra: 3500	 acc: --	 ppl: 16.00	 xent: 2.77	  15.96 TFLOP/s	 46023/48438 tok/s	 1694107 sents	   8160 sec	
denoise_fra-fra: 3750	 acc: --	 ppl: 14.39	 xent: 2.67	  15.99 TFLOP/s	 45927/48684 tok/s	 1817212 sents	   8681 sec	
denoise_fra-fra: 4000	 acc: --	 ppl: 14.32	 xent: 2.66	  16.15 TFLOP/s	 46575/49002 tok/s	 1939510 sents	   9194 sec	
denoise_fra-fra: 4250	 acc: --	 ppl: 14.51	 xent: 2.67	   9.69 TFLOP/s	 27864/29471 tok/s	 2057625 sents	  10019 sec	
